intent_name,generator,requested,attempts,accepted,accidental_valid_rejects,compatibility_rejects,checker_rejects,catalog_operation_exclusions,exhaustion
direction+curvature+bound,spline,30,30,30,0,0,0,0,0
direction+curvature+bound,basis,30,30,30,0,0,0,0,0
direction+curvature+bound,ode,30,30,30,0,0,0,0,0
direction+curvature+asymptote,spline,30,30,30,0,0,0,0,0
direction+curvature+asymptote,basis,30,30,30,0,0,0,0,0
direction+curvature+asymptote,ode,30,30,30,0,0,0,0,0
direction+inflection+bound,spline,30,30,30,0,0,0,0,0
direction+inflection+bound,basis,30,30,30,0,0,0,0,0
direction+inflection+bound,ode,30,30,30,0,0,0,0,0
direction+inflection+asymptote,spline,30,30,30,0,0,0,0,0
direction+inflection+asymptote,basis,30,30,30,0,0,0,0,0
direction+inflection+asymptote,ode,30,30,30,0,0,0,0,0
curvature+bound+asymptote,spline,30,30,30,0,0,0,0,0
curvature+bound+asymptote,basis,30,30,30,0,0,0,0,0
curvature+bound+asymptote,ode,30,30,30,0,0,0,0,0
inflection+bound+asymptote,spline,30,30,30,0,0,0,0,0
inflection+bound+asymptote,basis,30,30,30,0,0,0,0,0
inflection+bound+asymptote,ode,30,30,30,0,0,0,0,0
turning+bound+asymptote,spline,30,30,30,0,0,0,0,0
turning+bound+asymptote,basis,30,30,30,0,0,0,0,0
turning+bound+asymptote,ode,30,30,30,0,0,0,0,0
regime+bound+asymptote,spline,30,30,30,0,0,0,0,0
regime+bound+asymptote,basis,30,30,30,0,0,0,0,0
regime+bound+asymptote,ode,30,30,30,0,0,0,0,0
