task_id,operation_id,coverage,expected_coverage,same_ESS,finite_support_audit
direction+curvature+bound:spline:0,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:0,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:0,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:spline:0,add:regime_postchange,0,0,1,1
direction+curvature+bound:spline:0,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:spline:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:spline:1,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:1,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:1,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:spline:1,add:regime_postchange,0,0,1,1
direction+curvature+bound:spline:1,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:spline:1,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:spline:2,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:2,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:2,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:spline:2,add:regime_postchange,0,0,1,1
direction+curvature+bound:spline:2,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:spline:2,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:spline:3,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:3,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:3,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:spline:3,add:regime_postchange,0,0,1,1
direction+curvature+bound:spline:3,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:spline:3,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:spline:4,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:4,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:4,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:spline:4,add:regime_postchange,0,0,1,1
direction+curvature+bound:spline:4,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:spline:4,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:spline:5,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:5,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:5,omit:lower_bound_0,1,1,1,1
