task_id,intent_name,generator,row_role,operation_id,operation_type,source_atom,target_atom,candidate_atoms,coverage,D_violation,D_violation_semantics,S,ESS,N_survive,p_weighted,floor_hit,delta_S,floor_status,sharpness_class
direction+curvature+bound:spline:0,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,3.386494418286972,1695.8995065711829,77,0.033713241033138254,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.4053301296636438,1695.8995065711829,683,0.24522388085954785,0,1.9811642886233283,exact,coverage_preserving_omission
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.7142471249057911,1695.8995065711829,508,0.1800211611665705,0,1.672247293381181,exact,coverage_preserving_omission
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.8126145659085235,1695.8995065711829,245,0.059940377863833307,0,0.5738798523784485,exact,coverage_preserving_omission
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,4.0169586088602935,1695.8995065711829,40,0.017889976131682823,0,0.6304641905733215,exact,inherited_sharp_wrong
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,3.27585953774573,1695.8995065711829,92,0.03767153255764543,0,-0.11063488054124226,exact,inherited_sharp_wrong
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,6.5036137076046066,1695.8995065711829,33,0.0013763114222012096,0,3.1171192893176345,exact,inherited_sharp_wrong
direction+curvature+bound:spline:1,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,9.011157458106817,1404.4308321190808,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:1,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,8.9591656615964,1404.4308321190808,3,6.514538719711748e-06,0,0.05199179651041774,exact,coverage_preserving_omission
direction+curvature+bound:spline:1,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,6.52801848978127,1404.4308321190808,6,0.0013401863476068126,0,2.483138968325547,exact,coverage_preserving_omission
direction+curvature+bound:spline:1,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.462329180315002,1404.4308321190808,448,0.085134928431242,0,6.548828277791815,exact,coverage_preserving_omission
direction+curvature+bound:spline:1,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,1404.4308321190808,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:1,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,1404.4308321190808,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:1,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.011157300431657,1404.4308321190808,1,1.924745755133595e-11,0,-1.5767516003961646e-07,exact,inherited_sharp_wrong
direction+curvature+bound:spline:2,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,9.011157458106817,725.6699056835351,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:2,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,725.6699056835351,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:spline:2,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,725.6699056835351,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:spline:2,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,3.554812797382964,725.6699056835351,564,0.028471634793943948,0,5.456344660723853,exact,coverage_preserving_omission
direction+curvature+bound:spline:2,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,725.6699056835351,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:2,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,725.6699056835351,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:2,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.011157458106817,725.6699056835351,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:3,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,4.281034943834937,1124.211818933915,106,0.013709648867467247,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:3,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.5043506591234233,1124.211818933915,1374,0.22209367388867327,0,2.7766842847115143,exact,coverage_preserving_omission
direction+curvature+bound:spline:3,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.4603107746762287,1124.211818933915,720,0.2320987231694028,0,2.8207241691587086,exact,coverage_preserving_omission
direction+curvature+bound:spline:3,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,4.201822967043376,1124.211818933915,133,0.014849849328860966,0,0.07921197679156133,exact,coverage_preserving_omission
direction+curvature+bound:spline:3,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,5.308900755058375,1124.211818933915,51,0.004826499632056283,0,1.027865811223438,exact,inherited_sharp_wrong
direction+curvature+bound:spline:3,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,3.2300563744873214,1124.211818933915,263,0.0394428555530933,0,-1.050978569347616,exact,inherited_sharp_wrong
direction+curvature+bound:spline:3,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,3.5787845335827644,1124.211818933915,75,0.02779434438476999,0,-0.7022504102521729,exact,inherited_sharp_wrong
direction+curvature+bound:spline:4,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,6.925176324035779,1696.4327802957505,2,0.000860899435756012,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:4,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,4.131882463320197,1696.4327802957505,52,0.01593448065851986,0,2.7932938607155817,exact,coverage_preserving_omission
direction+curvature+bound:spline:4,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,4.012811360473868,1696.4327802957505,86,0.017964831677214042,0,2.9123649635619113,exact,coverage_preserving_omission
direction+curvature+bound:spline:4,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.338760287796027,1696.4327802957505,382,0.0963486071824024,0,4.586416036239752,exact,coverage_preserving_omission
direction+curvature+bound:spline:4,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,7.311769572708537,1696.4327802957505,1,0.0005457272624379273,0,0.38659324867275746,exact,inherited_sharp_wrong
direction+curvature+bound:spline:4,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,6.952502567714518,1696.4327802957505,5,0.0008344022480099983,0,0.027326243678738926,exact,inherited_sharp_wrong
direction+curvature+bound:spline:4,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.00506961840724,1696.4327802957505,6,7.454111642280744e-07,0,2.0798932943714616,exact,inherited_sharp_wrong
direction+curvature+bound:spline:5,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,9.011157458106817,17.28339750855571,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:5,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,17.28339750855571,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:spline:5,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,17.28339750855571,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:spline:5,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,8.339595394970102,17.28339750855571,773,0.00011685697609456057,0,0.6715620631367152,exact,coverage_preserving_omission
direction+curvature+bound:spline:5,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,17.28339750855571,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:5,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,17.28339750855571,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:5,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.011157458106817,17.28339750855571,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:6,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,9.011157458106817,13.819830623809116,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:6,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,13.819830623809116,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:spline:6,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,13.819830623809116,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:spline:6,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,7.308107965816568,13.819830623809116,729,0.000548176956812668,0,1.7030494922902495,exact,coverage_preserving_omission
direction+curvature+bound:spline:6,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,13.819830623809116,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:6,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,13.819830623809116,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:6,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.011157458106817,13.819830623809116,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:spline:7,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,5.52461585539912,830.9445738700416,80,0.0038663033100567166,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:7,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,2.3964744130086446,830.9445738700416,1389,0.09093850763753666,0,3.1281414423904756,exact,coverage_preserving_omission
direction+curvature+bound:spline:7,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.5125272627698518,830.9445738700416,789,0.22028411194154107,0,4.012088592629269,exact,coverage_preserving_omission
