task_id,operation_id,coverage,expected_coverage,same_ESS,finite_support_audit
direction+curvature+bound:spline:0,omit:curvature_convex,1,1,1,1
direction+curvature+bound:spline:0,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:spline:0,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:spline:0,add:regime_postchange,0,0,1,1
direction+curvature+bound:spline:0,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:spline:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:basis:0,omit:curvature_convex,1,1,1,1
direction+curvature+bound:basis:0,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:basis:0,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:basis:0,add:regime_postchange,0,0,1,1
direction+curvature+bound:basis:0,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:basis:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+bound:ode:0,omit:curvature_convex,1,1,1,1
direction+curvature+bound:ode:0,omit:direction_decreasing,1,1,1,1
direction+curvature+bound:ode:0,omit:lower_bound_0,1,1,1,1
direction+curvature+bound:ode:0,add:regime_postchange,0,0,1,1
direction+curvature+bound:ode:0,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+bound:ode:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+asymptote:spline:0,omit:asymptote_to_0_from_above,1,1,1,1
direction+curvature+asymptote:spline:0,omit:curvature_convex,1,1,1,1
direction+curvature+asymptote:spline:0,omit:direction_decreasing,1,1,1,1
direction+curvature+asymptote:spline:0,add:regime_postchange,0,0,1,1
direction+curvature+asymptote:spline:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
direction+curvature+asymptote:spline:0,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+asymptote:spline:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+asymptote:basis:0,omit:asymptote_to_0_from_above,1,1,1,1
direction+curvature+asymptote:basis:0,omit:curvature_convex,1,1,1,1
direction+curvature+asymptote:basis:0,omit:direction_decreasing,1,1,1,1
direction+curvature+asymptote:basis:0,add:regime_postchange,0,0,1,1
direction+curvature+asymptote:basis:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
direction+curvature+asymptote:basis:0,reverse:curvature_convex->curvature_concave,0,0,1,1
