task_id,intent_name,generator,row_role,operation_id,operation_type,source_atom,target_atom,candidate_atoms,coverage,D_violation,D_violation_semantics,S,ESS,N_survive,p_weighted,floor_hit,delta_S,floor_status,sharpness_class
direction+curvature+bound:spline:0,direction+curvature+bound,spline,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,3.386494418286972,1695.8995065711829,77,0.033713241033138254,0,0.0,baseline,valid_baseline
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.4053301296636438,1695.8995065711829,683,0.24522388085954785,0,1.9811642886233283,exact,coverage_preserving_omission
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.7142471249057911,1695.8995065711829,508,0.1800211611665705,0,1.672247293381181,exact,coverage_preserving_omission
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.8126145659085235,1695.8995065711829,245,0.059940377863833307,0,0.5738798523784485,exact,coverage_preserving_omission
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,4.0169586088602935,1695.8995065711829,40,0.017889976131682823,0,0.6304641905733215,exact,inherited_sharp_wrong
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,3.27585953774573,1695.8995065711829,92,0.03767153255764543,0,-0.11063488054124226,exact,inherited_sharp_wrong
direction+curvature+bound:spline:0,direction+curvature+bound,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,6.5036137076046066,1695.8995065711829,33,0.0013763114222012096,0,3.1171192893176345,exact,inherited_sharp_wrong
direction+curvature+bound:basis:0,direction+curvature+bound,basis,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,9.011157458106817,1484.8943612212627,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+bound:basis:0,direction+curvature+bound,basis,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,1484.8943612212627,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+bound:basis:0,direction+curvature+bound,basis,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,8.46082103852327,1484.8943612212627,4,8.957961623779569e-05,0,0.5503364195835481,exact,coverage_preserving_omission
direction+curvature+bound:basis:0,direction+curvature+bound,basis,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.6192962211908695,1484.8943612212627,448,0.07274983431096074,0,6.391861236915948,exact,coverage_preserving_omission
direction+curvature+bound:basis:0,direction+curvature+bound,basis,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,1484.8943612212627,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:basis:0,direction+curvature+bound,basis,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,1484.8943612212627,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:basis:0,direction+curvature+bound,basis,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.00921047517601,1484.8943612212627,1,2.3790033358857132e-07,0,-0.001946982930807195,exact,inherited_sharp_wrong
direction+curvature+bound:ode:0,direction+curvature+bound,ode,baseline,P_full,baseline,,,curvature_convex|direction_decreasing|lower_bound_0,1,0.0,not_applicable_valid_baseline,9.011157458106817,1133.6284454135628,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+bound:ode:0,direction+curvature+bound,ode,operation,omit:curvature_convex,omission,curvature_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,6.475509380481978,1133.6284454135628,3,0.0014190197661897981,0,2.535648077624839,exact,coverage_preserving_omission
direction+curvature+bound:ode:0,direction+curvature+bound,ode,operation,omit:direction_decreasing,omission,direction_decreasing,,curvature_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,8.920493863975368,1133.6284454135628,2,1.1584547400598451e-05,0,0.09066359413144909,exact,coverage_preserving_omission
direction+curvature+bound:ode:0,direction+curvature+bound,ode,operation,omit:lower_bound_0,omission,lower_bound_0,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.7890274071357166,1133.6284454135628,502,0.06137392050166587,0,6.222130050971101,exact,coverage_preserving_omission
direction+curvature+bound:ode:0,direction+curvature+bound,ode,operation,add:regime_postchange,false_addition,,regime_postchange,curvature_convex|direction_decreasing|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,1133.6284454135628,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:ode:0,direction+curvature+bound,ode,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,curvature_concave|direction_decreasing|lower_bound_0,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,1133.6284454135628,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+bound:ode:0,direction+curvature+bound,ode,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,curvature_convex|direction_increasing|lower_bound_0,0,1.0,wrong_sign_derivative_fraction,9.01115745768817,1133.6284454135628,1,5.1104263584966394e-14,0,-4.1864645083933283e-10,exact,inherited_sharp_wrong
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,baseline,P_full,baseline,,,asymptote_to_0_from_above|curvature_convex|direction_decreasing,1,0.0,not_applicable_valid_baseline,7.064933563391011,2330.000932223235,1,0.0007326900102766927,0,0.0,baseline,valid_baseline
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,omit:asymptote_to_0_from_above,omission,asymptote_to_0_from_above,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.119140174192844,2330.000932223235,462,0.12004213867775067,0,4.945793389198167,exact,coverage_preserving_omission
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,omit:curvature_convex,omission,curvature_convex,,asymptote_to_0_from_above|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,7.064933563391011,2330.000932223235,1,0.0007326900102766927,0,0.0,exact,coverage_preserving_omission
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,asymptote_to_0_from_above|curvature_convex,1,0.0,not_applicable_coverage_preserving_omission,6.393771430453241,2330.000932223235,3,0.0015502765710065504,0,0.6711621329377699,exact,coverage_preserving_omission
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,add:regime_postchange,false_addition,,regime_postchange,asymptote_to_0_from_above|curvature_convex|direction_decreasing|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,2330.000932223235,0,0.0,0,1.9462238947158061,exact,inherited_sharp_wrong
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,reversal,asymptote_to_0_from_above,asymptote_to_0_from_below,asymptote_to_0_from_below|curvature_convex|direction_decreasing,0,1.0,latent_mechanism_mismatch_indicator,3.9068316839962565,2330.000932223235,86,0.019986934307934957,0,-3.1581018793947546,exact,inherited_sharp_wrong
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,asymptote_to_0_from_above|curvature_concave|direction_decreasing,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,2330.000932223235,0,0.0,0,1.9462238947158061,exact,inherited_sharp_wrong
direction+curvature+asymptote:spline:0,direction+curvature+asymptote,spline,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,asymptote_to_0_from_above|curvature_convex|direction_increasing,0,1.0,wrong_sign_derivative_fraction,9.011157458106817,2330.000932223235,0,0.0,0,1.9462238947158061,exact,inherited_sharp_wrong
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,baseline,P_full,baseline,,,asymptote_to_0_from_above|curvature_convex|direction_decreasing,1,0.0,not_applicable_valid_baseline,9.011157458106817,864.3937047018346,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,omit:asymptote_to_0_from_above,omission,asymptote_to_0_from_above,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.8839552779465034,864.3937047018346,721,0.05580475312315959,0,6.127202180160314,exact,coverage_preserving_omission
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,omit:curvature_convex,omission,curvature_convex,,asymptote_to_0_from_above|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,864.3937047018346,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,omit:direction_decreasing,omission,direction_decreasing,,asymptote_to_0_from_above|curvature_convex,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,864.3937047018346,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,add:regime_postchange,false_addition,,regime_postchange,asymptote_to_0_from_above|curvature_convex|direction_decreasing|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,864.3937047018346,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,reversal,asymptote_to_0_from_above,asymptote_to_0_from_below,asymptote_to_0_from_below|curvature_convex|direction_decreasing,0,1.0,latent_mechanism_mismatch_indicator,2.8973431585916067,864.3937047018346,712,0.05506100122581152,0,-6.1138142995152105,exact,inherited_sharp_wrong
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,asymptote_to_0_from_above|curvature_concave|direction_decreasing,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,864.3937047018346,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+asymptote:basis:0,direction+curvature+asymptote,basis,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,asymptote_to_0_from_above|curvature_convex|direction_increasing,0,1.0,wrong_sign_derivative_fraction,9.011157458106817,864.3937047018346,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,baseline,P_full,baseline,,,asymptote_to_0_from_above|curvature_convex|direction_decreasing,1,0.0,not_applicable_valid_baseline,9.011157458106817,1019.2537255784429,0,0.0,0,0.0,baseline,valid_baseline
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,omit:asymptote_to_0_from_above,omission,asymptote_to_0_from_above,,curvature_convex|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,2.810511836889801,1019.2537255784429,673,0.06006680579180257,0,6.200645621217016,exact,coverage_preserving_omission
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,omit:curvature_convex,omission,curvature_convex,,asymptote_to_0_from_above|direction_decreasing,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,1019.2537255784429,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,omit:direction_decreasing,omission,direction_decreasing,,asymptote_to_0_from_above|curvature_convex,1,0.0,not_applicable_coverage_preserving_omission,9.011157458106817,1019.2537255784429,0,0.0,0,0.0,exact,coverage_preserving_omission
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,add:regime_postchange,false_addition,,regime_postchange,asymptote_to_0_from_above|curvature_convex|direction_decreasing|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,9.011157458106817,1019.2537255784429,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,reversal,asymptote_to_0_from_above,asymptote_to_0_from_below,asymptote_to_0_from_below|curvature_convex|direction_decreasing,0,1.0,latent_mechanism_mismatch_indicator,2.8133609009056415,1019.2537255784429,669,0.05989556788045613,0,-6.197796557201176,exact,inherited_sharp_wrong
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,reverse:curvature_convex->curvature_concave,reversal,curvature_convex,curvature_concave,asymptote_to_0_from_above|curvature_concave|direction_decreasing,0,1.0,wrong_sign_second_derivative_fraction,9.011157458106817,1019.2537255784429,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+curvature+asymptote:ode:0,direction+curvature+asymptote,ode,operation,reverse:direction_decreasing->direction_increasing,reversal,direction_decreasing,direction_increasing,asymptote_to_0_from_above|curvature_convex|direction_increasing,0,1.0,wrong_sign_derivative_fraction,9.011157458106817,1019.2537255784429,0,0.0,0,0.0,exact,inherited_sharp_wrong
direction+inflection+bound:spline:0,direction+inflection+bound,spline,baseline,P_full,baseline,,,direction_decreasing|inflection_concave_to_convex|lower_bound_0,1,0.0,not_applicable_valid_baseline,2.1026049623150085,356.64873055177844,642,0.12204559749407401,0,0.0,baseline,valid_baseline
direction+inflection+bound:spline:0,direction+inflection+bound,spline,operation,omit:direction_decreasing,omission,direction_decreasing,,inflection_concave_to_convex|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,1.3047285930272576,356.64873055177844,1272,0.2711902950412698,0,0.7978763692877509,exact,coverage_preserving_omission
direction+inflection+bound:spline:0,direction+inflection+bound,spline,operation,omit:inflection_concave_to_convex,omission,inflection_concave_to_convex,,direction_decreasing|lower_bound_0,1,0.0,not_applicable_coverage_preserving_omission,0.7708476288182646,356.64873055177844,1416,0.46261164558763784,0,1.3317573334967439,exact,coverage_preserving_omission
direction+inflection+bound:spline:0,direction+inflection+bound,spline,operation,omit:lower_bound_0,omission,lower_bound_0,,direction_decreasing|inflection_concave_to_convex,1,0.0,not_applicable_coverage_preserving_omission,2.0636754712906096,356.64873055177844,713,0.12689530854814443,0,0.03892949102439891,exact,coverage_preserving_omission
direction+inflection+bound:spline:0,direction+inflection+bound,spline,operation,add:regime_postchange,false_addition,,regime_postchange,direction_decreasing|inflection_concave_to_convex|lower_bound_0|regime_postchange,0,1.0,latent_mechanism_mismatch_indicator,2.6796729473884557,356.64873055177844,329,0.06848025579442694,0,0.5770679850734473,exact,inherited_sharp_wrong
