omitted_atom,is_implied_atom,oracle_size,omitted_count,n,mean_delta_S_miss,median_delta_S_miss,info_complete_rate
lower_bound_0,0,3,2,530,0.45266713110958556,0.42863258132778614,0.1641509433962264
direction_decreasing,0,3,2,530,0.6379133904367207,0.5113517762049369,0.10377358490566038
curvature_convex,0,3,2,530,0.8030033651431036,0.9531635291744869,0.06037735849056604
lower_bound_0,0,3,1,265,6.479048530530653e-05,0.0,1.0
direction_decreasing,0,3,1,265,0.28751288400054215,0.3351796040478259,0.20754716981132076
curvature_convex,0,3,1,265,0.5495344434533046,0.6307122665321008,0.12075471698113208
lower_bound_0,1,4,3,1488,0.33561729414663205,0.2884988449174115,0.271505376344086
direction_decreasing,0,4,3,2256,0.40206048117959187,0.3026120166720532,0.2632978723404255
curvature_convex,0,4,3,1461,0.44110778093727776,0.3233366324109519,0.4010951403148528
asymptote_to_0_from_above,0,4,3,3642,0.4922405420490955,0.379447429567876,0.24794069192751236
lower_bound_0,1,4,2,1488,0.05467595888679429,0.03016009580051371,0.7567204301075269
direction_decreasing,0,4,2,2256,0.14633083486178627,0.10658269513536123,0.49113475177304966
curvature_convex,0,4,2,1461,0.08876915262985079,0.004503864437098715,0.704312114989733
asymptote_to_0_from_above,0,4,2,3642,0.14362887972378652,0.07883584416266953,0.5502471169686985
lower_bound_0,1,4,1,496,0.0,0.0,1.0
direction_decreasing,0,4,1,752,0.05368219190467288,0.0203090678522031,0.7393617021276596
curvature_convex,0,4,1,487,0.03479515486898234,0.002378701733389832,0.8234086242299795
asymptote_to_0_from_above,0,4,1,1214,0.02976849639882842,0.0011701081977533168,0.8640856672158155
inflection_concave_to_convex,0,4,3,2283,0.5444232414169066,0.3744624365895176,0.08541392904073587
lower_bound_0,0,4,3,2922,0.34007280597542233,0.29948540731599627,0.2511978097193703
asymptote_to_0_from_above,1,4,3,768,0.4967632939442905,0.41039625896254495,0.25390625
inflection_concave_to_convex,0,4,2,2283,0.2172222126304043,0.23118135693824282,0.3293911519929917
lower_bound_0,0,4,2,2922,0.06881335966782279,0.03736252436305487,0.6899383983572895
asymptote_to_0_from_above,1,4,2,768,0.16779347548031667,0.09675822337981144,0.5026041666666666
lower_bound_0,0,4,1,974,0.0,0.0,1.0
inflection_concave_to_convex,0,4,1,761,0.06069398586266433,0.05639576309074146,0.7293035479632063
asymptote_to_0_from_above,1,4,1,256,0.05159431191349643,0.01929732456897071,0.75390625
direction_decreasing,1,4,3,1488,0.3510656743872671,0.27627755759700956,0.323252688172043
direction_decreasing,1,4,2,1488,0.1326922816361375,0.07492487471710718,0.5396505376344086
direction_decreasing,1,4,1,496,0.052027917392629096,0.01790181030614102,0.7540322580645161
inflection_concave_to_convex,1,4,3,666,0.4195825003306769,0.3909740916987813,0.2702702702702703
turning_maximum,0,4,3,666,0.5266902858491479,0.5585453317519992,0.22972972972972974
turning_maximum,0,4,2,666,0.22177748385732415,0.14577963910035519,0.4189189189189189
inflection_concave_to_convex,1,4,2,666,0.2132919431551111,0.14865616989765806,0.42492492492492495
turning_maximum,0,4,1,222,0.08308109961551789,0.08050602324252365,0.5495495495495496
inflection_concave_to_convex,1,4,1,222,0.11296876192328176,0.07817732492849916,0.5315315315315315
regime_postchange,0,5,4,988,0.45896516739502946,0.40358758281420315,0.23279352226720648
curvature_convex,1,5,4,988,0.5427843336642125,0.6584034256091048,0.2236842105263158
direction_decreasing,1,5,4,988,0.47184292548677653,0.4253245405670152,0.18421052631578946
lower_bound_0,0,5,4,988,0.483772932747144,0.43010504099273617,0.14777327935222673
asymptote_to_0_from_above,0,5,4,988,0.5662263182394609,0.6584034256091048,0.14271255060728744
lower_bound_0,0,5,3,1482,0.15453189612631302,0.12290336586530515,0.460863697705803
direction_decreasing,1,5,3,1482,0.2050078701477714,0.18873845726269023,0.3873144399460189
regime_postchange,0,5,3,1482,0.137189948840128,0.06302461371493617,0.5587044534412956
curvature_convex,1,5,3,1482,0.22099496409088226,0.1468738678640058,0.45546558704453444
asymptote_to_0_from_above,0,5,3,1482,0.2326278448804928,0.19786578614104822,0.3643724696356275
lower_bound_0,0,5,2,988,0.026661271263435572,0.006011697324842968,0.9311740890688259
regime_postchange,0,5,2,988,0.03092237029182825,0.003821281339472904,0.8775303643724697
direction_decreasing,1,5,2,988,0.08504283703150788,0.03798465232996184,0.6396761133603239
curvature_convex,1,5,2,988,0.06943225914159179,0.023228050281531187,0.7165991902834008
asymptote_to_0_from_above,0,5,2,988,0.06113016655051541,0.014307433969677374,0.7135627530364372
regime_postchange,0,5,1,247,0.00812745657467478,0.00142991828922856,1.0
lower_bound_0,0,5,1,247,0.0,0.0,1.0
direction_decreasing,1,5,1,247,0.025428468457803645,0.008765084289931613,0.9959514170040485
curvature_convex,1,5,1,247,0.022049643009780177,0.0062505317444017106,1.0
asymptote_to_0_from_above,0,5,1,247,0.0001480468384254325,0.0,1.0
