oracle_size,omitted_count,eta,scope,generator,n,reliable_rate,floor_rate
3,2,low,limited,spline,30,0.9,0.0
3,1,low,limited,spline,30,0.9,0.0
3,0,low,limited,spline,10,0.9,0.0
3,2,low,intermediate,spline,30,1.0,0.0
3,1,low,intermediate,spline,30,1.0,0.0
3,0,low,intermediate,spline,10,1.0,0.0
3,2,low,persistent_within_tested_domain,spline,30,1.0,0.0
3,1,low,persistent_within_tested_domain,spline,30,1.0,0.0
3,0,low,persistent_within_tested_domain,spline,10,1.0,0.0
3,2,mid,limited,spline,30,1.0,0.0
3,1,mid,limited,spline,30,1.0,0.0
3,0,mid,limited,spline,10,1.0,0.0
3,2,mid,intermediate,spline,30,1.0,0.0
3,1,mid,intermediate,spline,30,1.0,0.0
3,0,mid,intermediate,spline,10,1.0,0.0
3,2,mid,persistent_within_tested_domain,spline,30,1.0,0.0
3,1,mid,persistent_within_tested_domain,spline,30,1.0,0.0
3,0,mid,persistent_within_tested_domain,spline,10,1.0,0.0
3,2,high,limited,spline,30,1.0,0.0
3,1,high,limited,spline,30,1.0,0.0
3,0,high,limited,spline,10,1.0,0.0
3,2,high,intermediate,spline,30,1.0,0.0
3,1,high,intermediate,spline,30,1.0,0.0
3,0,high,intermediate,spline,10,1.0,0.0
3,2,high,persistent_within_tested_domain,spline,30,1.0,0.0
3,1,high,persistent_within_tested_domain,spline,30,1.0,0.0
3,0,high,persistent_within_tested_domain,spline,10,1.0,0.0
3,2,low,limited,basis,30,1.0,0.0
3,1,low,limited,basis,30,1.0,0.0
3,0,low,limited,basis,10,1.0,0.0
3,2,low,intermediate,basis,30,0.9,0.0
3,1,low,intermediate,basis,30,0.9,0.0
3,0,low,intermediate,basis,10,0.9,0.0
3,2,low,persistent_within_tested_domain,basis,30,1.0,0.0
3,1,low,persistent_within_tested_domain,basis,30,1.0,0.0
3,0,low,persistent_within_tested_domain,basis,10,1.0,0.0
3,2,mid,limited,basis,30,1.0,0.0
3,1,mid,limited,basis,30,1.0,0.0
3,0,mid,limited,basis,10,1.0,0.0
3,2,mid,intermediate,basis,30,1.0,0.0
3,1,mid,intermediate,basis,30,1.0,0.0
3,0,mid,intermediate,basis,10,1.0,0.0
3,2,mid,persistent_within_tested_domain,basis,30,1.0,0.0
3,1,mid,persistent_within_tested_domain,basis,30,1.0,0.0
3,0,mid,persistent_within_tested_domain,basis,10,1.0,0.0
3,2,high,limited,basis,30,1.0,0.0
3,1,high,limited,basis,30,1.0,0.0
3,0,high,limited,basis,10,1.0,0.0
3,2,high,intermediate,basis,30,1.0,0.0
3,1,high,intermediate,basis,30,1.0,0.0
3,0,high,intermediate,basis,10,1.0,0.0
3,2,high,persistent_within_tested_domain,basis,30,1.0,0.0
3,1,high,persistent_within_tested_domain,basis,30,1.0,0.0
3,0,high,persistent_within_tested_domain,basis,10,1.0,0.0
3,2,low,limited,ode,30,1.0,0.0
3,1,low,limited,ode,30,1.0,0.0
3,0,low,limited,ode,10,1.0,0.0
3,2,low,intermediate,ode,30,1.0,0.0
3,1,low,intermediate,ode,30,1.0,0.0
3,0,low,intermediate,ode,10,1.0,0.0
3,2,low,persistent_within_tested_domain,ode,30,0.8,0.0
3,1,low,persistent_within_tested_domain,ode,30,0.8,0.0
3,0,low,persistent_within_tested_domain,ode,10,0.8,0.0
3,2,mid,limited,ode,30,1.0,0.0
3,1,mid,limited,ode,30,1.0,0.0
3,0,mid,limited,ode,10,1.0,0.0
3,2,mid,intermediate,ode,30,1.0,0.0
3,1,mid,intermediate,ode,30,1.0,0.0
3,0,mid,intermediate,ode,10,1.0,0.0
3,2,mid,persistent_within_tested_domain,ode,30,1.0,0.0
3,1,mid,persistent_within_tested_domain,ode,30,1.0,0.0
3,0,mid,persistent_within_tested_domain,ode,10,1.0,0.0
3,2,high,limited,ode,30,1.0,0.0
3,1,high,limited,ode,30,1.0,0.0
3,0,high,limited,ode,10,1.0,0.0
3,2,high,intermediate,ode,30,1.0,0.0
3,1,high,intermediate,ode,30,1.0,0.0
3,0,high,intermediate,ode,10,1.0,0.0
3,2,high,persistent_within_tested_domain,ode,30,0.9,0.0
3,1,high,persistent_within_tested_domain,ode,30,0.9,0.0
3,0,high,persistent_within_tested_domain,ode,10,0.9,0.0
4,3,low,limited,spline,240,0.95,0.0
4,2,low,limited,spline,360,0.95,0.0
4,1,low,limited,spline,240,0.95,0.0
4,0,low,limited,spline,60,0.95,0.0
4,3,low,intermediate,spline,240,0.9666666666666667,0.0
4,2,low,intermediate,spline,360,0.9666666666666667,0.0
