task_id,generator_family,eta,eta_value,intended_atoms,realized_P_star_atoms,P_star_size,base_hash,intervened_core_hash,core_equal,intervention_family,intervention_seed,intervention_parameters,requested_scope_stratum,measured_scope_stratum,atom_Ea_json,atom_Va_json,atom_Ca_json,full_CP_star,measured_H_valid,censored,candidate_count,accepted_attempt,acceptance,rejection_reason
direction+curvature+bound:spline:low:limited:0,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,64d8cb54e780b0e0ef0055584340b01ba9f4bbe37b4127b287bf85c629383577,1109e3fd1f56bb9acf95c8bfa62dd8161912304db2fd2a1638a2e35556dbb3b2,1,c2_negative_level_excursion,2063682337,"{""amplitude"": 0.9272251330579028, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 2063682337, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 9.475345810711544e-12, ""direction_decreasing"": 2.4445189675408605e-06, ""lower_bound_0"": 6.809754772971297e-08}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:1,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,a0249f788ae9c4afc2c210bc7eee0629be1a42b2207a0c2ad649330cb340b4b7,bd40b81e715f2551f4c00b8908421c1bba42c10b38b7e808fbc5522b92192881,1,c2_negative_level_excursion,2022284949,"{""amplitude"": 0.9272248874729327, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 2022284949, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 8.870009302989542e-25, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:2,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,8a810b39478c14cc41dcc6d28922ea5e087368ff583dd4e9f087e189de1d146e,e3e057a99a799393dcdb3cb7d20251f7b850223d29e454b48db8e673b6a23c59,1,c2_negative_level_excursion,123981627,"{""amplitude"": 0.927225136135719, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 123981627, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 8.001038500459488e-09, ""direction_decreasing"": 0.5000000000000008, ""lower_bound_0"": 0.5000000000000008}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:3,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,fb72078029f97dd03450960f677fcac34d977164852d49a2cd9d3b309a8fc181,c0f9e83330ea7394fb1b6a55b2f54130fdc0090066e3a9e543e8bc03fc7d43d8,1,c2_negative_level_excursion,1857351282,"{""amplitude"": 0.9272253037763676, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 1857351282, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 1.6819206732485913e-14, ""direction_decreasing"": 4.3167000228357465e-16, ""lower_bound_0"": 1.0286018258935883e-22}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:4,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,a021c9327f10c0001afe909fc4665a2e3b7376c5849e12b278f0f9bd8f342100,f32e88228e83285da101575b82debda190c825cd300f88b6444921c641d65d9c,1,c2_negative_level_excursion,2030432516,"{""amplitude"": 0.9272252247462939, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 2030432516, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 1.1797603442529858e-11, ""direction_decreasing"": 0.000416280154941649, ""lower_bound_0"": 0.00011230470920577783}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:5,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,4b93448bc1750c269480e2e19c3b8df20c7beeffa75383ced8412b46cdb124fc,4649b174568396d74b4c0dc5f6d00eb6bbe95211ee9923ffff9892458830d32c,1,c2_negative_level_excursion,1657088235,"{""amplitude"": 0.9272247624232789, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 1657088235, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 2.8232404476863915e-09, ""direction_decreasing"": 0.5843326544993613, ""lower_bound_0"": 8.322624222495707e-23}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:6,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,396ec96f585f6c638db21af2b67203a9e560127945769fdd77749dd50605273d,a4b8e7e728026b88099c0264d098d94458e193b35cc4d227b9792dc3eafbb84e,1,c2_negative_level_excursion,34741087,"{""amplitude"": 0.927224979534868, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 34741087, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 1.65444347709572e-08, ""direction_decreasing"": 0.0007694864035790651, ""lower_bound_0"": 1.863057783832443e-12}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:7,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,717e017d6d0f6ddf117d2ce3f6734395bb9b19165c50faaf2b2171b77e37811d,a60da6f6f1f57985384f97f5e0c28cfa4c72bcccad977b42fdade5e40c90d249,1,c2_negative_level_excursion,1621259587,"{""amplitude"": 0.927225104703638, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 1621259587, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 1.7202604597819868e-18, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:8,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,23705185d68806757135a2c0ffd18e8d8b2d34f67404241c9fbc5ae865a66046,885094f904f89b9565416a6b9f633db47a05d92e784e71644c28bd1b44da4041,1,c2_negative_level_excursion,2578770487,"{""amplitude"": 0.9272252876687536, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 2578770487, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 6.158918603516941e-09, ""direction_decreasing"": 0.16758283902304244, ""lower_bound_0"": 7.400212930300618e-16}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
direction+curvature+bound:spline:low:limited:9,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,05102b25b764460aa40a7274dff067fbe69b8523fe362a4aad04f2aef2997e59,a03ef6c308fc7a48ee0d1c6f179a64689e0766cff0d42baa3b05f52ecc2c7415,1,c2_negative_level_excursion,4038536377,"{""amplitude"": 0.9272248718346326, ""family"": ""c2_negative_level_excursion"", ""onset"": 0.8099999999999999, ""seed"": 4038536377, ""width"": 0.040000000000000036}",limited,limited,"{""curvature_convex"": 8.571518898886995e-11, ""direction_decreasing"": 0.005186016359005304, ""lower_bound_0"": 0.0034031052053695113}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [0, 0, 0, 0, 0]}",0|0|0|0|0,0.8,0,7,1,accepted,
