task_id,eta,generator,requested_scope_stratum,measured_scope_stratum,pstar_atoms,candidate_atoms,oracle_size,omitted_count,S,ESS,floor_hit,delta_S_miss,gap_status,N_obs,O_P,C_P,C_Pstar,task_weight
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex,3,2,0.9152186168180122,736.0450124367219,0,0.4302037587282036,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing,3,2,0.7441104311717212,736.0450124367219,0,0.6013119443744946,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,lower_bound_0,3,2,0.28823411215736394,736.0450124367219,0,1.0571882633888519,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|direction_decreasing,3,1,1.3454223755462158,736.0450124367219,0,0.0,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|lower_bound_0,3,1,0.9152186168180122,736.0450124367219,0,0.4302037587282036,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|lower_bound_0,3,1,0.7449819243528213,736.0450124367219,0,0.6004404511933945,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:0,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,0,1.3454223755462158,736.0450124367219,0,0.0,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex,3,2,0.9168226518131986,504.8129524427611,0,0.4545002709526482,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing,3,2,1.203259090882499,504.8129524427611,0,0.16806383188334784,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,lower_bound_0,3,2,0.2876820724517809,504.8129524427611,0,1.0836408503140658,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|direction_decreasing,3,1,1.3713229227658468,504.8129524427611,0,0.0,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|lower_bound_0,3,1,0.9168226518131986,504.8129524427611,0,0.4545002709526482,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|lower_bound_0,3,1,1.203259090882499,504.8129524427611,0,0.16806383188334784,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:1,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,0,1.3713229227658468,504.8129524427611,0,0.0,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex,3,2,0.9414632407264056,725.9797485959579,0,0.37152138287743486,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing,3,2,0.712470691144393,725.9797485959579,0,0.6005139324594475,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,lower_bound_0,3,2,0.28769001266123,725.9797485959579,0,1.0252946109426104,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|direction_decreasing,3,1,1.3129846236038405,725.9797485959579,0,0.0,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|lower_bound_0,3,1,0.9414632407264056,725.9797485959579,0,0.37152138287743486,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|lower_bound_0,3,1,0.7124828338711999,725.9797485959579,0,0.6005017897326406,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:2,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,0,1.3129846236038405,725.9797485959579,0,0.0,exact,0,0,0|0|0|0|0,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:3,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,curvature_convex,3,2,1.3405912700558644,345.9950669479838,0,0.022432229527596714,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
direction+curvature+bound:spline:low:limited:3,low,spline,limited,limited,curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing,3,2,0.32761021061755724,345.9950669479838,0,1.0354132889659038,exact,0,0,1|1|1|1|1,0|0|0|0|0,0.14285714285714285
