task_id,manifest_only,shared_ESS,sharpness_nesting,scope_nesting,evidence_manifest_derived,dynamic_count
direction+curvature+bound:spline:low:limited:0,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:1,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:2,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:3,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:4,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:5,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:6,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:7,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:8,True,True,True,True,True,True
direction+curvature+bound:spline:low:limited:9,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:0,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:1,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:2,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:3,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:4,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:5,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:6,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:7,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:8,True,True,True,True,True,True
direction+curvature+bound:spline:low:intermediate:9,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:0,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:1,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:2,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:3,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:4,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:5,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:6,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:7,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:8,True,True,True,True,True,True
direction+curvature+bound:spline:low:persistent_within_tested_domain:9,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:0,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:1,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:2,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:3,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:4,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:5,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:6,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:7,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:8,True,True,True,True,True,True
direction+curvature+bound:spline:mid:limited:9,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:0,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:1,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:2,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:3,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:4,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:5,True,True,True,True,True,True
direction+curvature+bound:spline:mid:intermediate:6,True,True,True,True,True,True
