intent_name,generator,eta,scope_stratum,target_seed,accepted_attempt,task_seed,generator_intended_atoms,oracle_envelope_atoms,oracle_envelope_size,implied_atoms,candidate_count
direction+curvature+bound,spline,low,limited,0,1,2131780140,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,1,1,1991247479,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,2,1,3808445616,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,3,1,3360326230,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,4,1,1048971481,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,5,1,4199510760,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,6,1,343069586,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,7,1,1549009611,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,8,1,1647000297,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,limited,9,1,332395774,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,0,1,2484995241,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,1,1,251283321,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,2,1,2882513251,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,3,1,440854365,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,4,1,3937978645,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,5,1,2447113494,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,6,1,3696814080,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,7,1,2648012345,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,8,1,680617769,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,intermediate,9,1,848623659,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,0,1,409308074,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,1,1,1816862242,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,2,1,550671674,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,3,1,3909318821,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,4,1,2074215829,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,5,1,3714082629,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,6,1,3037530030,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,7,1,2410222533,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,8,1,4248762699,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,low,persistent_within_tested_domain,9,1,1431969721,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,0,1,2421571483,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,1,1,253662692,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,2,1,2800929334,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,3,1,3313748255,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,4,1,1962814055,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,5,1,637574390,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,6,1,641170094,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,7,1,379648976,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,8,1,7703611,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,limited,9,1,2099879251,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,0,1,3000286285,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,1,1,18384892,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,2,1,1295574753,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,3,1,1100760276,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,4,1,4027511412,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,5,1,2466874448,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,6,1,522705066,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,7,1,2554714359,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,8,1,1787539156,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,intermediate,9,1,825442952,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
direction+curvature+bound,spline,mid,persistent_within_tested_domain,0,1,2164187292,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,4,asymptote_to_0_from_above,15
