intent_name,generator,eta,scope_stratum,requested,accepted,attempts,ambiguous_envelope_rejects,checker_rejects,exhaustion
direction+curvature+bound,spline,low,limited,10,10,10,0,0,0
direction+curvature+bound,spline,low,intermediate,10,10,10,0,0,0
direction+curvature+bound,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,spline,mid,limited,10,10,10,0,0,0
direction+curvature+bound,spline,mid,intermediate,10,10,10,0,0,0
direction+curvature+bound,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,spline,high,limited,10,10,10,0,0,0
direction+curvature+bound,spline,high,intermediate,10,10,10,0,0,0
direction+curvature+bound,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,basis,low,limited,10,10,10,0,0,0
direction+curvature+bound,basis,low,intermediate,10,10,10,0,0,0
direction+curvature+bound,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,basis,mid,limited,10,10,10,0,0,0
direction+curvature+bound,basis,mid,intermediate,10,10,10,0,0,0
direction+curvature+bound,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,basis,high,limited,10,10,10,0,0,0
direction+curvature+bound,basis,high,intermediate,10,10,10,0,0,0
direction+curvature+bound,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,ode,low,limited,10,10,10,0,0,0
direction+curvature+bound,ode,low,intermediate,10,10,10,0,0,0
direction+curvature+bound,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,ode,mid,limited,10,10,10,0,0,0
direction+curvature+bound,ode,mid,intermediate,10,10,10,0,0,0
direction+curvature+bound,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+bound,ode,high,limited,10,10,10,0,0,0
direction+curvature+bound,ode,high,intermediate,10,10,10,0,0,0
direction+curvature+bound,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,spline,low,limited,10,10,10,0,0,0
direction+curvature+asymptote,spline,low,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,spline,mid,limited,10,10,10,0,0,0
direction+curvature+asymptote,spline,mid,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,spline,high,limited,10,10,10,0,0,0
direction+curvature+asymptote,spline,high,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,basis,low,limited,10,10,10,0,0,0
direction+curvature+asymptote,basis,low,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,basis,mid,limited,10,10,10,0,0,0
direction+curvature+asymptote,basis,mid,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,basis,high,limited,10,10,10,0,0,0
direction+curvature+asymptote,basis,high,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,ode,low,limited,10,10,10,0,0,0
direction+curvature+asymptote,ode,low,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,ode,mid,limited,10,10,10,0,0,0
