experiment,family,observability,method,n_valid,mean_gap_closure,ci95_low,ci95_high
exposure_oracle,emergent_curvature,0.5333333333,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,emergent_curvature,0.6,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,emergent_curvature,0.7,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,emergent_curvature,0.8,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,emergent_curvature,0.9,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,regime_change,0.5333333333,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,regime_change,0.6,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,regime_change,0.7,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,regime_change,0.8,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,regime_change,0.9,generative_family_oracle,250,0.0,0.0,0.0
exposure_oracle,emergent_curvature,0.5333333333,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,emergent_curvature,0.6,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,emergent_curvature,0.7,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,emergent_curvature,0.8,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,emergent_curvature,0.9,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,regime_change,0.5333333333,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,regime_change,0.6,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,regime_change,0.7,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,regime_change,0.8,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,regime_change,0.9,parameter_oracle,250,1.0,1.0,1.0
exposure_oracle,emergent_curvature,0.5333333333,full_information_oracle,250,1.2689166465396642,0.9862202856481136,1.7335696352982084
exposure_oracle,emergent_curvature,0.6,full_information_oracle,250,1.0577082038782468,0.9325000101982814,1.1714093682374063
exposure_oracle,emergent_curvature,0.7,full_information_oracle,250,1.5732895910267821,0.8403418110719314,2.839273733446822
exposure_oracle,emergent_curvature,0.8,full_information_oracle,250,1.2935944393361565,0.8947608476307406,1.802435621467354
exposure_oracle,emergent_curvature,0.9,full_information_oracle,250,1.3739928987603534,0.9064766935958046,2.0430673211991044
exposure_oracle,regime_change,0.5333333333,full_information_oracle,250,1.164593452292696,1.0944382090365101,1.2540009230781495
exposure_oracle,regime_change,0.6,full_information_oracle,250,1.085078571610513,0.949755396391226,1.2243347843716408
exposure_oracle,regime_change,0.7,full_information_oracle,250,14.698119387850817,1.0967485870071845,41.86315512188782
exposure_oracle,regime_change,0.8,full_information_oracle,250,1.030310695503259,0.9326322004150935,1.0972709931804776
exposure_oracle,regime_change,0.9,full_information_oracle,250,1.768622359580368,1.0167423926081223,2.9585816743162745
