experiment,metric,band,family,n,mean_selection_regret,ci95_low,ci95_high,winner_disagreement_rate,incompatible_selection_rate
E1_E2_prior_evaluation_metric,bic,D1,asymptotic_bound,900,0.0038432801903078885,0.0030852638528049486,0.0047085537202910645,0.2688888888888889,0.043333333333333335
E1_E2_prior_evaluation_metric,bic,D1,emergent_curvature,900,0.013393779636951647,0.012470709464613398,0.01438147339112912,0.87,0.25666666666666665
E1_E2_prior_evaluation_metric,bic,D1,regime_change,900,0.017076584327991723,0.01575338733060785,0.018454939283678917,0.86,0.38
E1_E2_prior_evaluation_metric,bic,D2,asymptotic_bound,900,0.011065591914717086,0.008288791440549744,0.014024644785126383,0.24333333333333335,0.043333333333333335
E1_E2_prior_evaluation_metric,bic,D2,emergent_curvature,900,0.0344611609803318,0.032266313021679545,0.036857283586566,0.8611111111111112,0.25666666666666665
E1_E2_prior_evaluation_metric,bic,D2,regime_change,900,0.047449931503249526,0.044043341268401474,0.05096149818467124,0.8922222222222222,0.38
E1_E2_prior_evaluation_metric,bic,D3,asymptotic_bound,900,0.031192519049287173,0.02216356396476456,0.04123302050849142,0.2311111111111111,0.043333333333333335
E1_E2_prior_evaluation_metric,bic,D3,emergent_curvature,900,0.08616977446613454,0.08063963303056075,0.091873131624508,0.8566666666666667,0.25666666666666665
E1_E2_prior_evaluation_metric,bic,D3,regime_change,900,0.1277164775956235,0.11886434528366857,0.13646173638277828,0.9022222222222223,0.38
E1_E2_prior_evaluation_metric,delta2_cosine,D1,asymptotic_bound,900,0.03867197081312472,0.033655608899405276,0.04373495349129145,0.5255555555555556,0.45222222222222225
E1_E2_prior_evaluation_metric,delta2_cosine,D1,emergent_curvature,900,0.021195525258428313,0.01941783325045565,0.023054369525651857,0.7677777777777778,0.8011111111111111
E1_E2_prior_evaluation_metric,delta2_cosine,D1,regime_change,900,0.020857773260533563,0.018794273351434958,0.02307117196853,0.6777777777777778,0.5
E1_E2_prior_evaluation_metric,delta2_cosine,D2,asymptotic_bound,900,0.09354847985896965,0.08318518886887996,0.10415168848924088,0.5211111111111111,0.45222222222222225
E1_E2_prior_evaluation_metric,delta2_cosine,D2,emergent_curvature,900,0.05279183534964387,0.04827755415526439,0.05720026368715617,0.78,0.8011111111111111
E1_E2_prior_evaluation_metric,delta2_cosine,D2,regime_change,900,0.05615089207437704,0.05128681015437643,0.0612342947991029,0.7511111111111111,0.5
E1_E2_prior_evaluation_metric,delta2_cosine,D3,asymptotic_bound,900,0.21706851148039916,0.1945791206695177,0.24093111911044965,0.5144444444444445,0.45222222222222225
E1_E2_prior_evaluation_metric,delta2_cosine,D3,emergent_curvature,900,0.13048813972988924,0.11965521552621632,0.14178251374730821,0.7744444444444445,0.8011111111111111
E1_E2_prior_evaluation_metric,delta2_cosine,D3,regime_change,900,0.14306551187319427,0.13180759844379453,0.15458768640091583,0.7744444444444445,0.5
E1_E2_prior_evaluation_metric,delta_cosine,D1,asymptotic_bound,900,0.038252296925090724,0.033938528887543895,0.04267051768098727,0.5244444444444445,0.3888888888888889
E1_E2_prior_evaluation_metric,delta_cosine,D1,emergent_curvature,900,0.024728910034941588,0.0223772378956809,0.027244733353910283,0.7833333333333333,0.8733333333333333
E1_E2_prior_evaluation_metric,delta_cosine,D1,regime_change,900,0.0214806115320632,0.01926748521707794,0.023928038477845425,0.6788888888888889,0.43
E1_E2_prior_evaluation_metric,delta_cosine,D2,asymptotic_bound,900,0.0967475705148977,0.0874828202064063,0.10661618437181988,0.51,0.3888888888888889
E1_E2_prior_evaluation_metric,delta_cosine,D2,emergent_curvature,900,0.06253597972402758,0.05698935411569137,0.06831694149164505,0.7844444444444445,0.8733333333333333
E1_E2_prior_evaluation_metric,delta_cosine,D2,regime_change,900,0.05747095853728224,0.05202529345894399,0.06322704087193422,0.7244444444444444,0.43
