factorial,primitive,engine,action,support_fraction,noise_ratio,exposure,effect_strength,ood_distance,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n
distance_specificity,asymptote,neural,biased-specific,0.525,0.01,0.55,0.55,0.1,0.0,0.0,0.0,0.020710211839422458,0.01969116957837287,0.021809782707598365,1.0,0.0,60
distance_specificity,asymptote,neural,biased-specific,0.525,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.09004008362315473,0.08535519283129847,0.09474186164675073,1.0,0.0,60
distance_specificity,asymptote,neural,biased-specific,0.525,0.01,0.55,0.55,0.8,0.0,0.0,0.0,0.15714113954873882,0.14965176254811013,0.16467296122240432,1.0,0.0,60
distance_specificity,asymptote,neural,true-full,0.525,0.01,0.55,0.55,0.1,0.0,0.0,0.0,0.0125114735224248,0.011719252883480354,0.01331264363691253,1.0,0.0,60
distance_specificity,asymptote,neural,true-full,0.525,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.06555654488824954,0.06204913550390307,0.06901954337287479,1.0,0.0,60
distance_specificity,asymptote,neural,true-full,0.525,0.01,0.55,0.55,0.8,0.0,0.0,0.0,0.13382806527036992,0.12805781526082297,0.13989738248073916,1.0,0.0,60
distance_specificity,asymptote,neural,true-subset,0.525,0.01,0.55,0.55,0.1,0.016666666666666666,0.0,0.05,0.007807139133926446,0.006857900227979102,0.008768797039790764,0.9833333333333333,0.0,60
distance_specificity,asymptote,neural,true-subset,0.525,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.04932100860373478,0.04526508902015577,0.053456366013655825,1.0,0.0,60
distance_specificity,asymptote,neural,true-subset,0.525,0.01,0.55,0.55,0.8,0.0,0.0,0.0,0.10597065903662742,0.09915008393845172,0.11288560144874,1.0,0.0,60
distance_specificity,asymptote,spline,biased-specific,0.525,0.01,0.55,0.55,0.1,0.6833333333333333,0.5666666666666667,0.8,-0.0013163116015069585,-0.003035580270334257,0.00043373804803851764,0.31666666666666665,0.36666666666666664,60
