factorial,primitive,generator,action,support_fraction,noise_ratio,exposure,effect_strength,ood_distance,n,robust_unsafe_rate,robust_catastrophic_rate,mean_raw_utility,beneficial_both_engines_rate
distance_specificity,asymptote,basis,biased-specific,0.525,0.01,0.55,0.55,0.1,20,0.55,0.35,0.009989999452006605,0.45
distance_specificity,asymptote,basis,biased-specific,0.525,0.01,0.55,0.55,0.4,20,0.25,0.15,0.05622010628797332,0.7
distance_specificity,asymptote,basis,biased-specific,0.525,0.01,0.55,0.55,0.8,20,0.05,0.0,0.14220675531819832,0.95
distance_specificity,asymptote,basis,true-full,0.525,0.01,0.55,0.55,0.1,20,0.15,0.1,0.007757588232013485,0.85
distance_specificity,asymptote,basis,true-full,0.525,0.01,0.55,0.55,0.4,20,0.1,0.0,0.04813092318205915,0.85
distance_specificity,asymptote,basis,true-full,0.525,0.01,0.55,0.55,0.8,20,0.05,0.0,0.13315089695080323,0.95
distance_specificity,asymptote,basis,true-subset,0.525,0.01,0.55,0.55,0.1,20,0.55,0.3,0.00430274798332764,0.45
distance_specificity,asymptote,basis,true-subset,0.525,0.01,0.55,0.55,0.4,20,0.25,0.1,0.03771432259168777,0.75
distance_specificity,asymptote,basis,true-subset,0.525,0.01,0.55,0.55,0.8,20,0.05,0.05,0.11735279743228663,0.95
distance_specificity,asymptote,ode,biased-specific,0.525,0.01,0.55,0.55,0.1,20,0.95,0.5,0.007877313661091888,0.05
distance_specificity,asymptote,ode,biased-specific,0.525,0.01,0.55,0.55,0.4,20,0.55,0.25,0.054147611606044165,0.45
distance_specificity,asymptote,ode,biased-specific,0.525,0.01,0.55,0.55,0.8,20,0.05,0.0,0.1316558863711801,0.95
distance_specificity,asymptote,ode,true-full,0.525,0.01,0.55,0.55,0.1,20,0.15,0.05,0.008249231959524959,0.85
distance_specificity,asymptote,ode,true-full,0.525,0.01,0.55,0.55,0.4,20,0.1,0.05,0.0547818486681572,0.9
distance_specificity,asymptote,ode,true-full,0.525,0.01,0.55,0.55,0.8,20,0.0,0.0,0.13051361931624036,1.0
distance_specificity,asymptote,ode,true-subset,0.525,0.01,0.55,0.55,0.1,20,0.25,0.15,0.005041204442022758,0.7
distance_specificity,asymptote,ode,true-subset,0.525,0.01,0.55,0.55,0.4,20,0.15,0.05,0.04301065332186764,0.85
distance_specificity,asymptote,ode,true-subset,0.525,0.01,0.55,0.55,0.8,20,0.0,0.0,0.11508385684589403,1.0
distance_specificity,asymptote,spline,biased-specific,0.525,0.01,0.55,0.55,0.1,20,0.55,0.25,0.011223537243774765,0.45
distance_specificity,asymptote,spline,biased-specific,0.525,0.01,0.55,0.55,0.4,20,0.2,0.1,0.05297409090038123,0.8
distance_specificity,asymptote,spline,biased-specific,0.525,0.01,0.55,0.55,0.8,20,0.1,0.05,0.1231990927737161,0.9
distance_specificity,asymptote,spline,true-full,0.525,0.01,0.55,0.55,0.1,20,0.0,0.0,0.008594537466293815,1.0
distance_specificity,asymptote,spline,true-full,0.525,0.01,0.55,0.55,0.4,20,0.0,0.0,0.049914606412353686,1.0
distance_specificity,asymptote,spline,true-full,0.525,0.01,0.55,0.55,0.8,20,0.0,0.0,0.11648674117687437,1.0
distance_specificity,asymptote,spline,true-subset,0.525,0.01,0.55,0.55,0.1,20,0.55,0.1,0.004387602138339757,0.45
distance_specificity,asymptote,spline,true-subset,0.525,0.01,0.55,0.55,0.4,20,0.05,0.0,0.037460863278287196,0.95
distance_specificity,asymptote,spline,true-subset,0.525,0.01,0.55,0.55,0.8,20,0.05,0.05,0.09836962445235484,0.95
distance_specificity,bound,basis,biased-specific,0.525,0.01,0.55,0.55,0.1,20,0.6,0.4,-0.01944785224349715,0.35
distance_specificity,bound,basis,biased-specific,0.525,0.01,0.55,0.55,0.4,20,0.4,0.2,0.02329943491209265,0.6
distance_specificity,bound,basis,biased-specific,0.525,0.01,0.55,0.55,0.8,20,0.7,0.0,0.23434115640076025,0.1
distance_specificity,bound,basis,true-full,0.525,0.01,0.55,0.55,0.1,20,0.35,0.0,0.006764373451122088,0.55
distance_specificity,bound,basis,true-full,0.525,0.01,0.55,0.55,0.4,20,0.6,0.0,0.015298376918380773,0.2
distance_specificity,bound,basis,true-full,0.525,0.01,0.55,0.55,0.8,20,0.85,0.0,0.2161552843865958,0.0
distance_specificity,bound,basis,true-subset,0.525,0.01,0.55,0.55,0.1,20,0.35,0.0,0.006764373451122088,0.55
distance_specificity,bound,basis,true-subset,0.525,0.01,0.55,0.55,0.4,20,0.6,0.0,0.015298376918380773,0.2
distance_specificity,bound,basis,true-subset,0.525,0.01,0.55,0.55,0.8,20,0.85,0.0,0.2161552843865958,0.0
distance_specificity,bound,ode,biased-specific,0.525,0.01,0.55,0.55,0.1,20,0.5,0.45,-0.023382538726022598,0.4
distance_specificity,bound,ode,biased-specific,0.525,0.01,0.55,0.55,0.4,20,0.45,0.15,0.0325389864519713,0.5
