latent_task_id,factorial,primitive,generator,replicate,engine,action,knowledge_tier,support_fraction,noise_ratio,exposure,ood_distance,effect_strength,sample_count,heterogeneity_cv,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8_00000,support_noise,direction,spline,0,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06020224417601465,203.55522065047197,0.0007384776012849068,0.0007478006002224107,-9.322998937503872e-06,-0.012624619787089564,0,0,0,0
e8_00000,support_noise,direction,spline,0,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06020224417601465,203.55522065047197,0.13061555868058783,0.10726313418977157,0.02335242449081626,0.17878746396455839,1,0,0,0
e8_00001,support_noise,direction,spline,1,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.060262037547398534,203.55522065047197,0.0003371760962340827,0.00035122070393190833,-1.4044607697825603e-05,-0.04165362804389078,0,1,0,0
e8_00001,support_noise,direction,spline,1,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.060262037547398534,203.55522065047197,0.08812674955910453,0.0724573170933943,0.01566943246571023,0.17780563272904004,1,0,0,0
e8_00002,support_noise,direction,spline,2,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05806373185255472,203.55522065047197,0.0007589795959839482,0.0007229242256236096,3.605537036033854e-05,0.04750505883309818,1,0,0,0
e8_00002,support_noise,direction,spline,2,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05806373185255472,203.55522065047197,0.12966585891560914,0.10656496130260522,0.02310089761300392,0.17815713254202678,1,0,0,0
e8_00003,support_noise,direction,spline,3,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05494941405338584,203.55522065047197,0.003216944342334064,0.003371437836548468,-0.00015449349421440411,-0.048024919853699076,0,1,0,0
e8_00003,support_noise,direction,spline,3,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05494941405338584,203.55522065047197,0.1344401371906202,0.11031131600969582,0.02412882118092438,0.17947632072639563,1,0,0,0
e8_00004,support_noise,direction,spline,4,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06041776235866953,203.55522065047197,0.0019003898390998195,0.0020983239577697845,-0.000197934118669965,-0.10415448167399317,0,1,0,0
e8_00004,support_noise,direction,spline,4,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06041776235866953,203.55522065047197,0.1418131429824696,0.11623791228755662,0.025575230694912993,0.18034457284452474,1,0,0,0
e8_00005,support_noise,direction,spline,5,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05859428788500566,203.55522065047197,0.0003094144444768155,0.0003423167000712987,-3.2902255594483205e-05,-0.10633716745227316,0,1,0,0
e8_00005,support_noise,direction,spline,5,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05859428788500566,203.55522065047197,0.0924275811840465,0.07589141197288284,0.01653616921116366,0.1789094661931702,1,0,0,0
e8_00006,support_noise,direction,spline,6,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.058231724982227284,203.55522065047197,0.00010699512682489628,0.00013378652927440677,-2.6791402449510493e-05,-0.2503983428456155,0,1,0,0
e8_00006,support_noise,direction,spline,6,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.058231724982227284,203.55522065047197,0.11530214618155585,0.09447931997432393,0.020822826207231915,0.1805935699969027,1,0,0,0
e8_00007,support_noise,direction,spline,7,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06051123397895099,203.55522065047197,0.000450503053940867,0.0004504268041527899,7.624978807710793e-08,0.00016925476400236894,0,0,0,0
e8_00007,support_noise,direction,spline,7,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06051123397895099,203.55522065047197,0.10787681914660513,0.08874357582111293,0.019133243325492197,0.17736195298352303,1,0,0,0
e8_00008,support_noise,direction,spline,8,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06538677861741224,203.55522065047197,0.0010994189034194163,0.0011748981549857087,-7.547925156629236e-05,-0.06865376912434064,0,1,0,0
e8_00008,support_noise,direction,spline,8,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06538677861741224,203.55522065047197,0.10521380292555596,0.0864137899826619,0.01880001294289406,0.17868390287342822,1,0,0,0
e8_00009,support_noise,direction,spline,9,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05819822558143074,203.55522065047197,0.0002373530425432828,0.00017051548121227553,6.683756133100727e-05,0.28159555325194124,1,0,0,0
e8_00009,support_noise,direction,spline,9,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05819822558143074,203.55522065047197,0.128080887916953,0.10522743062731875,0.02285345728963424,0.17842987865958823,1,0,0,0
e8_00010,support_noise,direction,spline,10,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06314542783860026,203.55522065047197,0.0014396471207028818,0.0016118473905349928,-0.00017220026983211104,-0.11961283244746626,0,1,0,0
e8_00010,support_noise,direction,spline,10,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06314542783860026,203.55522065047197,0.1054367696117216,0.08659264837440409,0.018844121237317518,0.17872437961360477,1,0,0,0
e8_00011,support_noise,direction,spline,11,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05806781347844834,203.55522065047197,0.00023213742643334587,0.00039021604760021325,-0.00015807862116686737,-0.6809699909043182,0,1,0,0
e8_00011,support_noise,direction,spline,11,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05806781347844834,203.55522065047197,0.10025932302197578,0.08233962359880159,0.017919699423174187,0.1787334971257125,1,0,0,0
e8_00012,support_noise,direction,spline,12,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05411964910221681,203.55522065047197,0.0005406104436309609,0.0006485212070320056,-0.00010791076340104465,-0.19960909870011356,0,1,0,0
e8_00012,support_noise,direction,spline,12,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05411964910221681,203.55522065047197,0.11818486408209929,0.097063373943945,0.021121490138154286,0.17871569512896215,1,0,0,0
e8_00013,support_noise,direction,spline,13,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05813399399721849,203.55522065047197,0.002268958504284047,0.002646402175157494,-0.00037744367087344695,-0.16635106819308998,0,1,0,0
e8_00013,support_noise,direction,spline,13,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05813399399721849,203.55522065047197,0.14403339824856445,0.11816557470954234,0.025867823539022117,0.1795960093531983,1,0,0,0
e8_00014,support_noise,direction,spline,14,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05653073016212973,203.55522065047197,0.0015745550965463443,0.0017752921893944263,-0.00020073709284808196,-0.12748813508551216,0,1,0,0
e8_00014,support_noise,direction,spline,14,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05653073016212973,203.55522065047197,0.10898220251160476,0.08959716506329075,0.019385037448314005,0.17787342338075637,1,0,0,0
e8_00015,support_noise,direction,spline,15,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05845697553207869,203.55522065047197,0.0006864468303076862,0.0007351129573259499,-4.866612701826369e-05,-0.07089569777232428,0,1,0,0
e8_00015,support_noise,direction,spline,15,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05845697553207869,203.55522065047197,0.12609766517474555,0.10371349857696269,0.022384166597782862,0.17751452072298873,1,0,0,0
e8_00016,support_noise,direction,spline,16,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06016394254233219,203.55522065047197,0.00015860510556036292,0.0001535901251435576,5.01498041680532e-06,0.031619287406209555,1,0,0,0
e8_00016,support_noise,direction,spline,16,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.06016394254233219,203.55522065047197,0.11222329615648823,0.09234883041502526,0.01987446574146297,0.17709750490441212,1,0,0,0
e8_00017,support_noise,direction,spline,17,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05844893988393444,203.55522065047197,0.0010348673505031353,0.0012524015105592865,-0.0002175341600561512,-0.21020487306937424,0,1,0,0
e8_00017,support_noise,direction,spline,17,neural,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05844893988393444,203.55522065047197,0.15550375818961656,0.12785775448816888,0.02764600370144768,0.17778350840715362,1,0,0,0
e8_00018,support_noise,direction,spline,18,spline,true-full,medium,0.35,0.001,0.55,0.4,0.55,72,0.1,1.0,0.05561656601030303,203.55522065047197,0.001319279792217095,0.0014132795380430382,-9.399974582594331e-05,-0.0712508039465787,0,1,0,0
