study,primitive,engine,action,support_fraction,noise_ratio,ood_distance,n,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.35,0.001,0.6,60,0.0,0.0,0.0,0.08986541146354671,0.08510791448599588,0.09460747545706212,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.35,0.01,0.6,60,0.0,0.0,0.0,0.09202876444576616,0.0883788856316379,0.09583347764129169,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.35,0.05,0.6,60,0.0,0.0,0.0,0.08886329301630565,0.08356754681943727,0.09398640874768123,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.525,0.001,0.3999999999999999,60,0.0,0.0,0.0,0.06569396732394052,0.0633857353502583,0.0680283197598937,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.525,0.01,0.3999999999999999,60,0.0,0.0,0.0,0.0638295937079457,0.060911607830579334,0.06682436516831751,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.525,0.05,0.3999999999999999,60,0.03333333333333333,0.0,0.08333333333333333,0.06113723136471488,0.053340984688925994,0.06898966929350046,0.9666666666666667,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.7,0.001,0.3,60,0.0,0.0,0.0,0.049502115481100416,0.0472403115351813,0.051830618422909834,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.7,0.01,0.3,60,0.0,0.0,0.0,0.046255203135665855,0.044079946473333874,0.048572528537601724,1.0,0.0
A2_fixed_absolute_horizon,asymptote,neural,true-full,0.7,0.05,0.3,60,0.05,0.0,0.11666666666666667,0.04854295374839282,0.041304579130120186,0.05599831052366326,0.95,0.0
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.35,0.001,0.6,60,0.31666666666666665,0.2,0.43333333333333335,0.003151716130523757,0.00171168777212888,0.004611999864645029,0.6666666666666666,0.18333333333333332
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.35,0.01,0.6,60,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.02209848199485227,0.01667999122315471,0.027806204949791535,0.9166666666666666,0.05
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.35,0.05,0.6,60,0.0,0.0,0.0,0.12925216818517413,0.10592158402790773,0.15445055464828406,1.0,0.0
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.525,0.001,0.3999999999999999,60,0.26666666666666666,0.16666666666666666,0.38333333333333336,0.0019279439405148662,0.0010548170022779031,0.0028590360702207295,0.7333333333333333,0.1
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.525,0.01,0.3999999999999999,60,0.016666666666666666,0.0,0.05,0.027026501697163485,0.021106527688792044,0.033386665685979915,0.9666666666666667,0.0
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.525,0.05,0.3999999999999999,60,0.03333333333333333,0.0,0.08333333333333333,0.17688763174723035,0.14796290112394264,0.20735668272014404,0.9666666666666667,0.016666666666666666
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.7,0.001,0.3,60,0.25,0.15,0.36666666666666664,0.00273801831092785,0.0017511258617186895,0.003746634218756624,0.75,0.13333333333333333
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.7,0.01,0.3,60,0.016666666666666666,0.0,0.05,0.03642959164449094,0.030523337054913755,0.04246623565783481,0.9833333333333333,0.0
A2_fixed_absolute_horizon,asymptote,spline,true-full,0.7,0.05,0.3,60,0.016666666666666666,0.0,0.05,0.2315532785617465,0.1875333470384493,0.27804862647904316,0.9833333333333333,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.35,0.001,0.6,60,0.25,0.15,0.36666666666666664,0.017414817172099407,0.010253168057170694,0.024312657159627476,0.5833333333333334,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.35,0.01,0.6,60,0.31666666666666665,0.2,0.43333333333333335,0.021683351243886786,0.013684605607480164,0.02962069189533608,0.65,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.35,0.05,0.6,60,0.26666666666666666,0.15,0.38333333333333336,0.01848299400794346,0.011181333421584413,0.025895917570056604,0.6333333333333333,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.525,0.001,0.3999999999999999,60,0.25,0.15,0.36666666666666664,0.023381318440358713,0.014962554155689466,0.031694295347432705,0.7333333333333333,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.525,0.01,0.3999999999999999,60,0.3333333333333333,0.21666666666666667,0.45,0.018864738786450286,0.010661989999119789,0.027233605245832588,0.5666666666666667,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.525,0.05,0.3999999999999999,60,0.4166666666666667,0.3,0.55,0.009832218090145176,0.0013373742622874983,0.018314792806132442,0.5,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.7,0.001,0.3,60,0.4666666666666667,0.35,0.5833333333333334,0.004903559571885835,-0.003411619104456246,0.01312250156779443,0.45,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.7,0.01,0.3,60,0.5166666666666667,0.4,0.65,-4.6553366666096546e-05,-0.007686153240755652,0.00769330304181627,0.38333333333333336,0.0
A2_fixed_absolute_horizon,bound,neural,true-full,0.7,0.05,0.3,60,0.3333333333333333,0.21666666666666667,0.4666666666666667,0.0132895152448163,0.004578103821834688,0.022102589573957512,0.5666666666666667,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.35,0.001,0.6,60,0.13333333333333333,0.05,0.21666666666666667,0.031180683141616414,0.022160667923130505,0.04075877730169215,0.7833333333333333,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.35,0.01,0.6,60,0.16666666666666666,0.08333333333333333,0.26666666666666666,0.024774046197557187,0.01660683446261369,0.03310594250160306,0.7833333333333333,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.35,0.05,0.6,60,0.35,0.23333333333333334,0.48333333333333334,0.035526198567780345,0.016618728683088866,0.05765382409353481,0.5166666666666667,0.05
A2_fixed_absolute_horizon,bound,spline,true-full,0.525,0.001,0.3999999999999999,60,0.15,0.06666666666666667,0.25,0.027503006051329753,0.019517722706129708,0.035751550933392384,0.7833333333333333,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.525,0.01,0.3999999999999999,60,0.16666666666666666,0.08333333333333333,0.26666666666666666,0.03289181053326753,0.023153777758689594,0.04342247470727509,0.8,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.525,0.05,0.3999999999999999,60,0.36666666666666664,0.25,0.48333333333333334,0.02823086299699112,0.010522975772088676,0.048664812816308155,0.5333333333333333,0.03333333333333333
A2_fixed_absolute_horizon,bound,spline,true-full,0.7,0.001,0.3,60,0.11666666666666667,0.05,0.2,0.025381084921032724,0.018118191072040584,0.033135638854094186,0.7333333333333333,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.7,0.01,0.3,60,0.03333333333333333,0.0,0.08333333333333333,0.03408044336512792,0.02552741441743852,0.04352496365702778,0.85,0.0
A2_fixed_absolute_horizon,bound,spline,true-full,0.7,0.05,0.3,60,0.26666666666666666,0.16666666666666666,0.38333333333333336,0.04858171505565069,0.02559867919212978,0.07310903737464697,0.6333333333333333,0.0
A2_fixed_absolute_horizon,curvature,neural,true-full,0.35,0.001,0.6,60,0.0,0.0,0.0,0.030444440231725923,0.02922059379467811,0.03162837927378036,1.0,0.0
A2_fixed_absolute_horizon,curvature,neural,true-full,0.35,0.01,0.6,60,0.0,0.0,0.0,0.029488413270433965,0.028224262371412498,0.030790451209919762,1.0,0.0
A2_fixed_absolute_horizon,curvature,neural,true-full,0.35,0.05,0.6,60,0.0,0.0,0.0,0.0254934418085738,0.02370336803384921,0.027277669759796144,1.0,0.0
