latent_task_id,study,primitive,generator,replicate,engine,action,knowledge_tier,sample_count,heterogeneity_cv,exposure,effect_strength,support_fraction,noise_ratio,absolute_horizon,ood_distance,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8s_00000,A2_fixed_absolute_horizon,direction,spline,0,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05527485237348698,203.55522065047197,0.004022276358268121,0.004270269317408704,-0.00024799295914058276,-0.06165487824594965,0,1,0,0
e8s_00000,A2_fixed_absolute_horizon,direction,spline,0,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05527485237348698,203.55522065047197,0.1637874946549114,0.13802480901881065,0.025762685636100763,0.1572933616841805,1,0,0,0
e8s_00001,A2_fixed_absolute_horizon,direction,spline,1,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06117077169949674,203.55522065047197,0.0011970749240128534,0.001391892074463422,-0.00019481715045056858,-0.16274432497299288,0,1,0,0
e8s_00001,A2_fixed_absolute_horizon,direction,spline,1,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06117077169949674,203.55522065047197,0.11693553071445384,0.098583349183246,0.018352181531207837,0.15694273091403016,1,0,0,0
e8s_00002,A2_fixed_absolute_horizon,direction,spline,2,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06169385269398063,203.55522065047197,0.0006891260337421397,0.0008288286647524066,-0.00013970263101026695,-0.2027243554443069,0,1,0,0
e8s_00002,A2_fixed_absolute_horizon,direction,spline,2,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06169385269398063,203.55522065047197,0.14200284538287997,0.11988722929292231,0.022115616089957657,0.1557406545645454,1,0,0,0
e8s_00003,A2_fixed_absolute_horizon,direction,spline,3,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06273085285730473,203.55522065047197,0.0009413717408468781,0.0010271036608110456,-8.573191996416748e-05,-0.09107126998208084,0,1,0,0
e8s_00003,A2_fixed_absolute_horizon,direction,spline,3,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06273085285730473,203.55522065047197,0.1409540987098729,0.11886325243309542,0.022090846276777487,0.15672368862609148,1,0,0,0
e8s_00004,A2_fixed_absolute_horizon,direction,spline,4,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05855450176485159,203.55522065047197,0.0008570573027687804,0.001089973524235664,-0.00023291622146688357,-0.27176271728206775,0,1,0,0
e8s_00004,A2_fixed_absolute_horizon,direction,spline,4,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05855450176485159,203.55522065047197,0.15748791707091278,0.1329353261590482,0.02455259091186457,0.15590142639837673,1,0,0,0
e8s_00005,A2_fixed_absolute_horizon,direction,spline,5,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06220209860891537,203.55522065047197,0.004233075588386945,0.004695486969946053,-0.00046241138155910747,-0.10923768591037937,0,1,0,0
e8s_00005,A2_fixed_absolute_horizon,direction,spline,5,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06220209860891537,203.55522065047197,0.20072329568659172,0.16938580512406565,0.03133749056252608,0.15612283793634132,1,0,0,0
e8s_00006,A2_fixed_absolute_horizon,direction,spline,6,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059020831182156744,203.55522065047197,0.0005080379631511868,0.0004426942809684872,6.534368218269959e-05,0.1286196838074756,1,0,0,0
e8s_00006,A2_fixed_absolute_horizon,direction,spline,6,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059020831182156744,203.55522065047197,0.16907575088589896,0.14250614012354207,0.026569610762356893,0.1571461940765677,1,0,0,0
e8s_00007,A2_fixed_absolute_horizon,direction,spline,7,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05830738298610491,203.55522065047197,0.0007653842231047947,0.0006573439190863258,0.00010804030401846882,0.1411582585021173,1,0,0,0
e8s_00007,A2_fixed_absolute_horizon,direction,spline,7,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05830738298610491,203.55522065047197,0.18732042213447336,0.15805554908077654,0.02926487305369682,0.15622895101468537,1,0,0,0
e8s_00008,A2_fixed_absolute_horizon,direction,spline,8,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05445711947492997,203.55522065047197,0.0036830061284598534,0.003953314694281062,-0.0002703085658212084,-0.07339346077445846,0,1,0,0
e8s_00008,A2_fixed_absolute_horizon,direction,spline,8,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05445711947492997,203.55522065047197,0.22525078710119698,0.19033183378649246,0.034918953314704515,0.1550225584739764,1,0,0,0
e8s_00009,A2_fixed_absolute_horizon,direction,spline,9,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05586638851814404,203.55522065047197,0.0005949081102223121,0.0005362174221284801,5.8690688093831936e-05,0.09865504787268697,1,0,0,0
e8s_00009,A2_fixed_absolute_horizon,direction,spline,9,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05586638851814404,203.55522065047197,0.18455795086317156,0.15550869808276585,0.02904925278040571,0.15739908600276117,1,0,0,0
e8s_00010,A2_fixed_absolute_horizon,direction,spline,10,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059749615741789615,203.55522065047197,0.0008950428744784739,0.0009663483849486971,-7.130551047022319e-05,-0.0796671450088597,0,1,0,0
e8s_00010,A2_fixed_absolute_horizon,direction,spline,10,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059749615741789615,203.55522065047197,0.20649209364860305,0.17429442272173426,0.03219767092686879,0.1559268946231957,1,0,0,0
e8s_00011,A2_fixed_absolute_horizon,direction,spline,11,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05575869511556468,203.55522065047197,0.00231889886652679,0.002445949729296082,-0.0001270508627692923,-0.05478930737483479,0,1,0,0
e8s_00011,A2_fixed_absolute_horizon,direction,spline,11,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05575869511556468,203.55522065047197,0.16882807783836462,0.14238047804706577,0.026447599791298848,0.15665403604618233,1,0,0,0
e8s_00012,A2_fixed_absolute_horizon,direction,spline,12,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0646963679090755,203.55522065047197,0.0010473149727853145,0.0012267421202110846,-0.00017942714742577017,-0.1713210945018642,0,1,0,0
e8s_00012,A2_fixed_absolute_horizon,direction,spline,12,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0646963679090755,203.55522065047197,0.1350798452993147,0.11397033025344439,0.021109515045870303,0.1562743501748547,1,0,0,0
e8s_00013,A2_fixed_absolute_horizon,direction,spline,13,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.061153737824622,203.55522065047197,0.0006174159407796046,0.00046438444643490774,0.00015303149434469683,0.2478580228289305,1,0,0,0
e8s_00013,A2_fixed_absolute_horizon,direction,spline,13,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.061153737824622,203.55522065047197,0.1844087148863904,0.1556012792113724,0.028807435675018006,0.15621515334980532,1,0,0,0
