task_id,intent_atom_ids_match,unique_envelope,coverage_preserving,shared_bank_candidates,nonnegative_gap,nested_floor_zero,no_utility_engine_api
direction+curvature+bound:spline:0,True,True,True,True,True,True,True
direction+curvature+bound:spline:1,True,True,True,True,True,True,True
direction+curvature+bound:spline:2,True,True,True,True,True,True,True
direction+curvature+bound:spline:3,True,True,True,True,True,True,True
direction+curvature+bound:spline:4,True,True,True,True,True,True,True
direction+curvature+bound:spline:5,True,True,True,True,True,True,True
direction+curvature+bound:spline:6,True,True,True,True,True,True,True
direction+curvature+bound:spline:7,True,True,True,True,True,True,True
direction+curvature+bound:spline:8,True,True,True,True,True,True,True
direction+curvature+bound:spline:9,True,True,True,True,True,True,True
direction+curvature+bound:spline:10,True,True,True,True,True,True,True
direction+curvature+bound:spline:11,True,True,True,True,True,True,True
direction+curvature+bound:spline:12,True,True,True,True,True,True,True
direction+curvature+bound:spline:13,True,True,True,True,True,True,True
direction+curvature+bound:spline:14,True,True,True,True,True,True,True
direction+curvature+bound:spline:15,True,True,True,True,True,True,True
direction+curvature+bound:spline:16,True,True,True,True,True,True,True
direction+curvature+bound:spline:17,True,True,True,True,True,True,True
direction+curvature+bound:spline:18,True,True,True,True,True,True,True
direction+curvature+bound:spline:19,True,True,True,True,True,True,True
direction+curvature+bound:spline:20,True,True,True,True,True,True,True
direction+curvature+bound:spline:21,True,True,True,True,True,True,True
direction+curvature+bound:spline:22,True,True,True,True,True,True,True
direction+curvature+bound:spline:23,True,True,True,True,True,True,True
direction+curvature+bound:spline:24,True,True,True,True,True,True,True
direction+curvature+bound:spline:25,True,True,True,True,True,True,True
direction+curvature+bound:spline:26,True,True,True,True,True,True,True
direction+curvature+bound:spline:27,True,True,True,True,True,True,True
direction+curvature+bound:spline:28,True,True,True,True,True,True,True
direction+curvature+bound:spline:29,True,True,True,True,True,True,True
direction+curvature+bound:basis:0,True,True,True,True,True,True,True
direction+curvature+bound:basis:1,True,True,True,True,True,True,True
direction+curvature+bound:basis:2,True,True,True,True,True,True,True
direction+curvature+bound:basis:3,True,True,True,True,True,True,True
direction+curvature+bound:basis:4,True,True,True,True,True,True,True
direction+curvature+bound:basis:5,True,True,True,True,True,True,True
direction+curvature+bound:basis:6,True,True,True,True,True,True,True
direction+curvature+bound:basis:7,True,True,True,True,True,True,True
direction+curvature+bound:basis:8,True,True,True,True,True,True,True
direction+curvature+bound:basis:9,True,True,True,True,True,True,True
direction+curvature+bound:basis:10,True,True,True,True,True,True,True
direction+curvature+bound:basis:11,True,True,True,True,True,True,True
direction+curvature+bound:basis:12,True,True,True,True,True,True,True
direction+curvature+bound:basis:13,True,True,True,True,True,True,True
direction+curvature+bound:basis:14,True,True,True,True,True,True,True
direction+curvature+bound:basis:15,True,True,True,True,True,True,True
direction+curvature+bound:basis:16,True,True,True,True,True,True,True
direction+curvature+bound:basis:17,True,True,True,True,True,True,True
direction+curvature+bound:basis:18,True,True,True,True,True,True,True
direction+curvature+bound:basis:19,True,True,True,True,True,True,True
direction+curvature+bound:basis:20,True,True,True,True,True,True,True
direction+curvature+bound:basis:21,True,True,True,True,True,True,True
direction+curvature+bound:basis:22,True,True,True,True,True,True,True
direction+curvature+bound:basis:23,True,True,True,True,True,True,True
direction+curvature+bound:basis:24,True,True,True,True,True,True,True
direction+curvature+bound:basis:25,True,True,True,True,True,True,True
direction+curvature+bound:basis:26,True,True,True,True,True,True,True
direction+curvature+bound:basis:27,True,True,True,True,True,True,True
direction+curvature+bound:basis:28,True,True,True,True,True,True,True
direction+curvature+bound:basis:29,True,True,True,True,True,True,True
direction+curvature+bound:ode:0,True,True,True,True,True,True,True
direction+curvature+bound:ode:1,True,True,True,True,True,True,True
direction+curvature+bound:ode:2,True,True,True,True,True,True,True
direction+curvature+bound:ode:3,True,True,True,True,True,True,True
direction+curvature+bound:ode:4,True,True,True,True,True,True,True
direction+curvature+bound:ode:5,True,True,True,True,True,True,True
direction+curvature+bound:ode:6,True,True,True,True,True,True,True
direction+curvature+bound:ode:7,True,True,True,True,True,True,True
direction+curvature+bound:ode:8,True,True,True,True,True,True,True
direction+curvature+bound:ode:9,True,True,True,True,True,True,True
direction+curvature+bound:ode:10,True,True,True,True,True,True,True
direction+curvature+bound:ode:11,True,True,True,True,True,True,True
direction+curvature+bound:ode:12,True,True,True,True,True,True,True
direction+curvature+bound:ode:13,True,True,True,True,True,True,True
direction+curvature+bound:ode:14,True,True,True,True,True,True,True
direction+curvature+bound:ode:15,True,True,True,True,True,True,True
direction+curvature+bound:ode:16,True,True,True,True,True,True,True
direction+curvature+bound:ode:17,True,True,True,True,True,True,True
direction+curvature+bound:ode:18,True,True,True,True,True,True,True
direction+curvature+bound:ode:19,True,True,True,True,True,True,True
direction+curvature+bound:ode:20,True,True,True,True,True,True,True
direction+curvature+bound:ode:21,True,True,True,True,True,True,True
direction+curvature+bound:ode:22,True,True,True,True,True,True,True
direction+curvature+bound:ode:23,True,True,True,True,True,True,True
direction+curvature+bound:ode:24,True,True,True,True,True,True,True
direction+curvature+bound:ode:25,True,True,True,True,True,True,True
direction+curvature+bound:ode:26,True,True,True,True,True,True,True
direction+curvature+bound:ode:27,True,True,True,True,True,True,True
direction+curvature+bound:ode:28,True,True,True,True,True,True,True
direction+curvature+bound:ode:29,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:0,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:1,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:2,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:3,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:4,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:5,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:6,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:7,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:8,True,True,True,True,True,True,True
