intent_name,generator,requested,attempts,accepted,ambiguous_envelope_rejects,coverage_checker_rejects,other_rejects,exhaustion
direction+curvature+bound,spline,1,1,1,0,0,0,0
direction+curvature+bound,basis,1,1,1,0,0,0,0
direction+curvature+bound,ode,1,1,1,0,0,0,0
direction+curvature+asymptote,spline,1,1,1,0,0,0,0
direction+curvature+asymptote,basis,1,1,1,0,0,0,0
direction+curvature+asymptote,ode,1,1,1,0,0,0,0
direction+inflection+bound,spline,1,1,1,0,0,0,0
direction+inflection+bound,basis,1,1,1,0,0,0,0
direction+inflection+bound,ode,1,1,1,0,0,0,0
direction+inflection+asymptote,spline,1,1,1,0,0,0,0
direction+inflection+asymptote,basis,1,1,1,0,0,0,0
direction+inflection+asymptote,ode,1,1,1,0,0,0,0
curvature+bound+asymptote,spline,1,1,1,0,0,0,0
curvature+bound+asymptote,basis,1,1,1,0,0,0,0
curvature+bound+asymptote,ode,1,1,1,0,0,0,0
inflection+bound+asymptote,spline,1,1,1,0,0,0,0
inflection+bound+asymptote,basis,1,1,1,0,0,0,0
inflection+bound+asymptote,ode,1,1,1,0,0,0,0
turning+bound+asymptote,spline,1,1,1,0,0,0,0
turning+bound+asymptote,basis,1,1,1,0,0,0,0
turning+bound+asymptote,ode,1,1,1,0,0,0,0
regime+bound+asymptote,spline,1,1,1,0,0,0,0
regime+bound+asymptote,basis,1,1,1,0,0,0,0
regime+bound+asymptote,ode,1,1,1,0,0,0,0
