task_id,intent_atom_ids_match,unique_envelope,coverage_preserving,shared_bank_candidates,nonnegative_gap,nested_floor_zero,no_utility_engine_api
direction+curvature+bound:spline:0,True,True,True,True,True,True,True
direction+curvature+bound:basis:0,True,True,True,True,True,True,True
direction+curvature+bound:ode:0,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:0,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:0,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:0,True,True,True,True,True,True,True
direction+inflection+bound:spline:0,True,True,True,True,True,True,True
direction+inflection+bound:basis:0,True,True,True,True,True,True,True
direction+inflection+bound:ode:0,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:0,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:0,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:0,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:0,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:0,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:0,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:0,True,True,True,True,True,True,True
inflection+bound+asymptote:basis:0,True,True,True,True,True,True,True
inflection+bound+asymptote:ode:0,True,True,True,True,True,True,True
turning+bound+asymptote:spline:0,True,True,True,True,True,True,True
turning+bound+asymptote:basis:0,True,True,True,True,True,True,True
turning+bound+asymptote:ode:0,True,True,True,True,True,True,True
regime+bound+asymptote:spline:0,True,True,True,True,True,True,True
regime+bound+asymptote:basis:0,True,True,True,True,True,True,True
regime+bound+asymptote:ode:0,True,True,True,True,True,True,True
