task_id,intent_name,generator,seed,candidate_role,supplied_atoms,pstar_atoms,intended_atoms,incidental_atoms,C_atom,atom_status,S_supplied,S_star,delta_S_miss,ESS,candidate_floor_hit,oracle_floor_hit,gap_lower_bound,information_status,missing_atoms,marginal_json,nested_floor_violation
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,direction_decreasing,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,0.5470432656278503,1.322467620486884,0.7754243548590336,1695.899506571183,0,0,0,informationally_incomplete,asymptote_to_0_from_above|curvature_convex|lower_bound_0,"{""asymptote_to_0_from_above"": 0.6618379903809508, ""curvature_convex"": 0.7260288839534652, ""lower_bound_0"": 0.44017450945825587}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,curvature_convex,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,1.0231798788548145,1.322467620486884,0.2992877416320694,1695.899506571183,0,0,0,informationally_incomplete,asymptote_to_0_from_above|direction_decreasing|lower_bound_0,"{""asymptote_to_0_from_above"": 0.18203831856887276, ""direction_decreasing"": 0.249892270726501, ""lower_bound_0"": 0.055598663638709134}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,0.6358269847095601,1.322467620486884,0.6866406357773238,1695.899506571183,0,0,0,informationally_incomplete,asymptote_to_0_from_above|curvature_convex|direction_decreasing,"{""asymptote_to_0_from_above"": 0.36320041396837965, ""curvature_convex"": 0.44295155778396356, ""direction_decreasing"": 0.3513907903765461}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,curvature_convex|direction_decreasing,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,1.2730721495813155,1.322467620486884,0.049395470905568395,1695.899506571183,0,0,0,informationally_complete,asymptote_to_0_from_above|lower_bound_0,"{""asymptote_to_0_from_above"": 0.049395470905568395, ""lower_bound_0"": 0.04797161704828623}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,0.9872177750861062,1.322467620486884,0.33524984540077774,1695.899506571183,0,0,0,informationally_incomplete,asymptote_to_0_from_above|curvature_convex,"{""asymptote_to_0_from_above"": 0.22166348092269494, ""curvature_convex"": 0.33382599154349557}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,curvature_convex|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,1.0787785424935237,1.322467620486884,0.24368907799336026,1695.899506571183,0,0,0,informationally_incomplete,asymptote_to_0_from_above|direction_decreasing,"{""asymptote_to_0_from_above"": 0.12643965493016363, ""direction_decreasing"": 0.2422652241360781}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,supplied,curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,1.3210437666296018,1.322467620486884,0.0014238538572821646,1695.899506571183,0,0,0,informationally_complete,asymptote_to_0_from_above,"{""asymptote_to_0_from_above"": 0.0014238538572821646}",0
direction+curvature+bound:spline:0,direction+curvature+bound,spline,0,oracle_envelope,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,1,atom_complete,1.322467620486884,1.322467620486884,0.0,1695.899506571183,0,0,0,oracle_reference,,{},0
direction+curvature+bound:basis:0,direction+curvature+bound,basis,0,supplied,direction_decreasing,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,0.3203193613089466,1.3862943611198906,1.065974999810944,1484.8943612212624,0,0,0,informationally_incomplete,asymptote_to_0_from_above|curvature_convex|lower_bound_0,"{""asymptote_to_0_from_above"": 1.065974999810944, ""curvature_convex"": 0.9301340661864157, ""lower_bound_0"": 1.065974999810944}",0
direction+curvature+bound:basis:0,direction+curvature+bound,basis,0,supplied,curvature_convex,asymptote_to_0_from_above|curvature_convex|direction_decreasing|lower_bound_0,direction_decreasing|curvature_convex|lower_bound_0,asymptote_to_0_from_above,0,atom_incomplete,1.2001470790393018,1.3862943611198906,0.18614728208058873,1484.8943612212624,0,0,0,informationally_incomplete,asymptote_to_0_from_above|direction_decreasing|lower_bound_0,"{""asymptote_to_0_from_above"": 0.18614652926689335, ""direction_decreasing"": 0.05030634845606041, ""lower_bound_0"": 0.1859681388952119}",0
