field,baseline_specification_state,sign,endpoint_rows,break_observed_rate,CW_observed_rate,median_epsilon_break,median_epsilon_CW,median_delta_epsilon_CW
asymptotic_limit,r0=+0.0,-1,90,1.0,1.0,0.05,0.05,0.0
asymptotic_limit,r0=+0.0,1,90,1.0,1.0,0.05,0.05,0.0
asymptotic_limit,r0=+0.8,-1,90,1.0,1.0,0.025,0.025,0.0
asymptotic_limit,r0=+0.8,1,90,1.0,1.0,0.05,0.05,0.0
asymptotic_limit,r0=-0.8,-1,90,1.0,1.0,0.05,0.05,0.0
asymptotic_limit,r0=-0.8,1,90,1.0,1.0,0.025,0.025,0.0
inflection_location,r0=+0.0,-1,90,1.0,1.0,0.05,0.05,0.0
inflection_location,r0=+0.0,1,90,1.0,1.0,0.05,0.05,0.0
inflection_location,r0=+0.8,-1,90,1.0,1.0,0.025,0.025,0.0
inflection_location,r0=+0.8,1,90,1.0,1.0,0.05,0.05,0.0
inflection_location,r0=-0.8,-1,90,1.0,1.0,0.05,0.05,0.0
inflection_location,r0=-0.8,1,90,1.0,1.0,0.025,0.025,0.0
lower_bound_level,m0=0.005,-1,90,0.0,0.0,,,
lower_bound_level,m0=0.005,1,90,1.0,1.0,0.025,0.025,0.0
lower_bound_level,m0=0.035,-1,90,0.0,0.0,,,
lower_bound_level,m0=0.035,1,90,1.0,1.0,0.05,0.05,0.0
lower_bound_level,m0=0.075,-1,90,0.0,0.0,,,
lower_bound_level,m0=0.075,1,90,1.0,1.0,0.1,0.1,0.0
regime_onset,r0=+0.0,-1,90,1.0,1.0,0.05,0.05,0.0
regime_onset,r0=+0.0,1,90,1.0,1.0,0.05,0.05,0.0
regime_onset,r0=+0.8,-1,90,1.0,1.0,0.025,0.025,0.0
regime_onset,r0=+0.8,1,90,1.0,1.0,0.05,0.05,0.0
regime_onset,r0=-0.8,-1,90,1.0,1.0,0.05,0.05,0.0
regime_onset,r0=-0.8,1,90,1.0,1.0,0.025,0.025,0.0
turning_location,r0=+0.0,-1,90,1.0,1.0,0.05,0.05,0.0
turning_location,r0=+0.0,1,90,1.0,1.0,0.05,0.05,0.0
turning_location,r0=+0.8,-1,90,1.0,1.0,0.025,0.025,0.0
turning_location,r0=+0.8,1,90,1.0,1.0,0.05,0.05,0.0
turning_location,r0=-0.8,-1,90,1.0,1.0,0.05,0.05,0.0
turning_location,r0=-0.8,1,90,1.0,1.0,0.025,0.025,0.0
