field,baseline_specification_state,sign,epsilon,rows,coverage_rate,violation_mean,sharpness_mean,sharpness_median,CW_rate,ESS_median
asymptotic_limit,r0=+0.0,-1,0.025,90,1.0,4.1066497674744286e-18,1.340568307388725,1.3410812030402972,0.0,988.5517042156598
asymptotic_limit,r0=+0.0,-1,0.05,90,0.0,0.025,1.3423448485748086,1.343022645043883,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,-1,0.1,90,0.0,0.07499999999999996,1.343560072590118,1.3438137123395972,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,-1,0.2,90,0.0,0.175,1.3443394587491804,1.3448350190291345,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,-1,0.3,90,0.0,0.27499999999999997,1.3464118216032945,1.3472059805538632,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,0,0.0,90,1.0,0.0,1.3388471644337339,1.3380882705548711,0.0,988.5517042156598
asymptotic_limit,r0=+0.0,1,0.025,90,1.0,4.1066497674744286e-18,1.3396820756264738,1.3369658458206297,0.0,988.5517042156598
asymptotic_limit,r0=+0.0,1,0.05,90,0.0,0.025,1.3402771395901685,1.340295923543346,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,1,0.1,90,0.0,0.07499999999999996,1.3374027865219569,1.3359389545014313,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,1,0.2,90,0.0,0.17499999999999996,1.3361017015599197,1.3367795675782554,1.0,988.5517042156598
asymptotic_limit,r0=+0.0,1,0.3,90,0.0,0.2749999999999999,1.335118860504631,1.3351686396001,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,-1,0.025,90,0.0,0.019999999999999966,1.342672903825702,1.3435777751953015,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,-1,0.05,90,0.0,0.04499999999999997,1.3425462873207226,1.3446061545739754,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,-1,0.1,90,0.0,0.09499999999999997,1.34283240858291,1.343330477924959,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,-1,0.2,90,0.0,0.19499999999999998,1.3451549860057452,1.3466887898288213,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,-1,0.3,90,0.0,0.29499999999999993,1.3462561838282916,1.347173125714824,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,0,0.0,90,1.0,0.0,1.3397789286339357,1.340186105547898,0.0,988.5517042156598
asymptotic_limit,r0=+0.8,1,0.025,90,1.0,0.0,1.3391087529706138,1.3399957709257522,0.0,988.5517042156598
asymptotic_limit,r0=+0.8,1,0.05,90,0.0,0.004999999999999967,1.3399688593953503,1.339821113115967,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,1,0.1,90,0.0,0.05499999999999993,1.338631972260298,1.33959344620178,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,1,0.2,90,0.0,0.155,1.336917212663209,1.3387761612400801,1.0,988.5517042156598
asymptotic_limit,r0=+0.8,1,0.3,90,0.0,0.25499999999999995,1.336278110691344,1.3371617179207544,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,-1,0.025,90,1.0,0.0,1.3394439025777019,1.3406057925443395,0.0,988.5517042156598
asymptotic_limit,r0=-0.8,-1,0.05,90,0.0,0.004999999999999967,1.3409630793734344,1.341634359711358,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,-1,0.1,90,0.0,0.05499999999999993,1.3426178264924673,1.3430763729694932,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,-1,0.2,90,0.0,0.155,1.3433367675569232,1.3430719953483328,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,-1,0.3,90,0.0,0.25499999999999995,1.3472012748639095,1.346907571012362,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,0,0.0,90,1.0,0.0,1.3394370053828903,1.3392442230795163,0.0,988.5517042156598
asymptotic_limit,r0=-0.8,1,0.025,90,0.0,0.019999999999999966,1.340243855135353,1.3417674285699404,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,1,0.05,90,0.0,0.04499999999999997,1.339438427307062,1.3395679457439473,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,1,0.1,90,0.0,0.09499999999999993,1.3377601020170815,1.3376702383312709,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,1,0.2,90,0.0,0.195,1.3364707811297112,1.3362155248586096,1.0,988.5517042156598
asymptotic_limit,r0=-0.8,1,0.3,90,0.0,0.29499999999999993,1.3347724867198107,1.334891435468467,1.0,988.5517042156598
inflection_location,r0=+0.0,-1,0.025,90,1.0,1.7347234759768068e-17,1.280613510602776,1.2814891148618142,0.0,3320.009116890913
inflection_location,r0=+0.0,-1,0.05,90,0.0,0.025,1.2811355498355168,1.2812814664088408,1.0,3320.009116890913
inflection_location,r0=+0.0,-1,0.1,90,0.0,0.075,1.2828801398365444,1.284128283909393,1.0,3320.009116890913
inflection_location,r0=+0.0,-1,0.2,90,0.0,0.17499999999999993,1.2892199360717354,1.2888373864954366,1.0,3320.009116890913
inflection_location,r0=+0.0,-1,0.3,90,0.0,0.2749999999999999,1.3035924116166822,1.3023070743651939,1.0,3320.009116890913
inflection_location,r0=+0.0,0,0.0,90,1.0,0.0,1.280155298188709,1.2805055204752098,0.0,3320.009116890913
inflection_location,r0=+0.0,1,0.025,90,1.0,1.7347234759768068e-17,1.2793211192014096,1.280362497965291,0.0,3320.009116890913
inflection_location,r0=+0.0,1,0.05,90,0.0,0.025,1.278716743490786,1.27847733985054,1.0,3320.009116890913
inflection_location,r0=+0.0,1,0.1,90,0.0,0.075,1.2804784246080616,1.2816203105520256,1.0,3320.009116890913
inflection_location,r0=+0.0,1,0.2,90,0.0,0.17499999999999993,1.280160578268486,1.2809673593328301,1.0,3320.009116890913
inflection_location,r0=+0.0,1,0.3,90,0.0,0.2749999999999999,1.2831448564208556,1.2829474907014542,1.0,3320.009116890913
inflection_location,r0=+0.8,-1,0.025,90,0.0,0.02,1.2809467633956106,1.281534595864601,1.0,3320.009116890913
inflection_location,r0=+0.8,-1,0.05,90,0.0,0.045,1.281381681821536,1.281472189795998,1.0,3320.009116890913
inflection_location,r0=+0.8,-1,0.1,90,0.0,0.09500000000000011,1.2836150066885492,1.284018601642115,1.0,3320.009116890913
inflection_location,r0=+0.8,-1,0.2,90,0.0,0.195,1.2913068172631463,1.289917989562816,1.0,3320.009116890913
inflection_location,r0=+0.8,-1,0.3,90,0.0,0.295,1.3070363012743624,1.305421129744134,1.0,3320.009116890913
inflection_location,r0=+0.8,0,0.0,90,1.0,0.0,1.2801741258379091,1.2800485359944695,0.0,3320.009116890913
inflection_location,r0=+0.8,1,0.025,90,1.0,0.0,1.280013800384633,1.2812459568861359,0.0,3320.009116890913
inflection_location,r0=+0.8,1,0.05,90,0.0,0.005,1.2794727819115668,1.2800119325417079,1.0,3320.009116890913
inflection_location,r0=+0.8,1,0.1,90,0.0,0.055,1.2795316666710266,1.2806724131006537,1.0,3320.009116890913
inflection_location,r0=+0.8,1,0.2,90,0.0,0.15499999999999994,1.2802464186539833,1.2796452635124078,1.0,3320.009116890913
inflection_location,r0=+0.8,1,0.3,90,0.0,0.2549999999999999,1.2825387319865844,1.282216956524138,1.0,3320.009116890913
inflection_location,r0=-0.8,-1,0.025,90,1.0,0.0,1.2802971707186883,1.2807348410061747,0.0,3320.009116890913
inflection_location,r0=-0.8,-1,0.05,90,0.0,0.005,1.2810982471675192,1.2819224183864766,1.0,3320.009116890913
inflection_location,r0=-0.8,-1,0.1,90,0.0,0.055,1.28163658894029,1.2818513512550607,1.0,3320.009116890913
inflection_location,r0=-0.8,-1,0.2,90,0.0,0.15499999999999994,1.2873998643784559,1.2882790196005947,1.0,3320.009116890913
inflection_location,r0=-0.8,-1,0.3,90,0.0,0.2549999999999999,1.2990555903175267,1.297544850595353,1.0,3320.009116890913
inflection_location,r0=-0.8,0,0.0,90,1.0,0.0,1.2793807012894545,1.280098847273603,0.0,3320.009116890913
inflection_location,r0=-0.8,1,0.025,90,0.0,0.02,1.279196147746322,1.2795451570707777,1.0,3320.009116890913
inflection_location,r0=-0.8,1,0.05,90,0.0,0.045,1.2788387628330458,1.2788504447124076,1.0,3320.009116890913
inflection_location,r0=-0.8,1,0.1,90,0.0,0.09500000000000011,1.2796220409899635,1.280808638974928,1.0,3320.009116890913
inflection_location,r0=-0.8,1,0.2,90,0.0,0.195,1.2805532299976992,1.2800829851629456,1.0,3320.009116890913
inflection_location,r0=-0.8,1,0.3,90,0.0,0.295,1.282893363214407,1.2834927980315776,1.0,3320.009116890913
lower_bound_level,m0=0.005,-1,0.025,90,1.0,0.0,0.6275371937988942,0.6231555409588365,0.0,1345.498869450002
lower_bound_level,m0=0.005,-1,0.05,90,1.0,0.0,0.6045637041735714,0.6010598784969499,0.0,1345.498869450002
lower_bound_level,m0=0.005,-1,0.1,90,1.0,0.0,0.5609537394899652,0.5543336842257358,0.0,1345.498869450002
lower_bound_level,m0=0.005,-1,0.2,90,1.0,0.0,0.48110506896023286,0.4759986055161729,0.0,1345.498869450002
lower_bound_level,m0=0.005,-1,0.3,90,1.0,0.0,0.4147707914355981,0.4101634683810106,0.0,1345.498869450002
lower_bound_level,m0=0.005,0,0.0,90,1.0,0.0,0.6514122212913794,0.649397109346658,0.0,1345.498869450002
lower_bound_level,m0=0.005,1,0.025,90,0.0,0.019999999999999934,0.676206769041705,0.6744812366825308,1.0,1345.498869450002
lower_bound_level,m0=0.005,1,0.05,90,0.0,0.04499999999999997,0.7024112971220676,0.6992833297520809,1.0,1345.498869450002
lower_bound_level,m0=0.005,1,0.1,90,0.0,0.0949999999999999,0.7547410467041616,0.748405485792448,1.0,1345.498869450002
lower_bound_level,m0=0.005,1,0.2,90,0.0,0.19500000000000003,0.8670730926566265,0.865711477168355,1.0,1345.498869450002
lower_bound_level,m0=0.005,1,0.3,90,0.0,0.295,0.987354479001551,0.9878955289226194,1.0,1345.498869450002
lower_bound_level,m0=0.035,-1,0.025,90,1.0,0.0,0.6000735664841704,0.5969365999187983,0.0,1345.498869450002
lower_bound_level,m0=0.035,-1,0.05,90,1.0,0.0,0.5781993664400539,0.5734399209137229,0.0,1345.498869450002
lower_bound_level,m0=0.035,-1,0.1,90,1.0,0.0,0.5352788005444873,0.5285604666596837,0.0,1345.498869450002
lower_bound_level,m0=0.035,-1,0.2,90,1.0,0.0,0.4594731918781063,0.4538558758126461,0.0,1345.498869450002
lower_bound_level,m0=0.035,-1,0.3,90,1.0,0.0,0.39803540326878206,0.39581815409668664,0.0,1345.498869450002
lower_bound_level,m0=0.035,0,0.0,90,1.0,0.0,0.6228592917793876,0.6188987487008436,0.0,1345.498869450002
lower_bound_level,m0=0.035,1,0.025,90,1.0,0.0,0.6469132800400429,0.6432201965424554,0.0,1345.498869450002
lower_bound_level,m0=0.035,1,0.05,90,0.0,0.015000000000000001,0.6711091060606966,0.6691286568560428,1.0,1345.498869450002
lower_bound_level,m0=0.035,1,0.1,90,0.0,0.06499999999999993,0.7231297423095456,0.7167108614685027,1.0,1345.498869450002
lower_bound_level,m0=0.035,1,0.2,90,0.0,0.16500000000000004,0.8320332474952242,0.8286275763578403,1.0,1345.498869450002
lower_bound_level,m0=0.035,1,0.3,90,0.0,0.26499999999999996,0.9503210430637774,0.9504078674344916,1.0,1345.498869450002
lower_bound_level,m0=0.075,-1,0.025,90,1.0,0.0,0.5651666329377613,0.5596340535503515,0.0,1345.498869450002
lower_bound_level,m0=0.075,-1,0.05,90,1.0,0.0,0.5437430943537294,0.5366478329877404,0.0,1345.498869450002
lower_bound_level,m0=0.075,-1,0.1,90,1.0,0.0,0.5032837424276166,0.4977058448449147,0.0,1345.498869450002
lower_bound_level,m0=0.075,-1,0.2,90,1.0,0.0,0.4331267637409232,0.42810608948230355,0.0,1345.498869450002
lower_bound_level,m0=0.075,-1,0.3,90,1.0,0.0,0.37693127667731263,0.3751203956470467,0.0,1345.498869450002
lower_bound_level,m0=0.075,0,0.0,90,1.0,0.0,0.5866983723027421,0.5801185566572377,0.0,1345.498869450002
lower_bound_level,m0=0.075,1,0.025,90,1.0,0.0,0.6092319194567272,0.605125836232129,0.0,1345.498869450002
lower_bound_level,m0=0.075,1,0.05,90,1.0,0.0,0.6320998255347039,0.6282160622193824,0.0,1345.498869450002
lower_bound_level,m0=0.075,1,0.1,90,0.0,0.025,0.6815162624666279,0.6794702371802808,1.0,1345.498869450002
lower_bound_level,m0=0.075,1,0.2,90,0.0,0.125,0.7869954367548677,0.7800019183981468,1.0,1345.498869450002
lower_bound_level,m0=0.075,1,0.3,90,0.0,0.22499999999999992,0.9027297659076344,0.9012144615274671,1.0,1345.498869450002
regime_onset,r0=+0.0,-1,0.025,90,1.0,1.7347234759768068e-17,1.3020147710499987,1.3015972596051961,0.0,3938.9815733660935
regime_onset,r0=+0.0,-1,0.05,90,0.0,0.025,1.302565273738666,1.3034544694026808,1.0,3938.9815733660935
regime_onset,r0=+0.0,-1,0.1,90,0.0,0.075,1.3019338065188921,1.3018416507100448,1.0,3938.9815733660935
regime_onset,r0=+0.0,-1,0.2,90,0.0,0.17499999999999993,1.3022337394726664,1.3024339958509783,1.0,3938.9815733660935
regime_onset,r0=+0.0,-1,0.3,90,0.0,0.2749999999999999,1.3015016939233601,1.3007815805904457,1.0,3938.9815733660935
regime_onset,r0=+0.0,0,0.0,90,1.0,0.0,1.3023135058729705,1.3031618049866465,0.0,3938.9815733660935
regime_onset,r0=+0.0,1,0.025,90,1.0,1.7347234759768068e-17,1.3021988800529487,1.301397305381469,0.0,3938.9815733660935
regime_onset,r0=+0.0,1,0.05,90,0.0,0.025,1.3016425765678095,1.3019304916710974,1.0,3938.9815733660935
regime_onset,r0=+0.0,1,0.1,90,0.0,0.075,1.300382200780157,1.2999468845666575,1.0,3938.9815733660935
regime_onset,r0=+0.0,1,0.2,90,0.0,0.17499999999999993,1.3019380871307913,1.3027609356571364,1.0,3938.9815733660935
regime_onset,r0=+0.0,1,0.3,90,0.0,0.2749999999999999,1.3023848442244037,1.302778283868965,1.0,3938.9815733660935
regime_onset,r0=+0.8,-1,0.025,90,0.0,0.02,1.3025035870448212,1.302735816277933,1.0,3938.9815733660935
regime_onset,r0=+0.8,-1,0.05,90,0.0,0.045,1.3025233796068465,1.3028054234404252,1.0,3938.9815733660935
regime_onset,r0=+0.8,-1,0.1,90,0.0,0.09500000000000011,1.3015780380692905,1.3011914229882355,1.0,3938.9815733660935
regime_onset,r0=+0.8,-1,0.2,90,0.0,0.195,1.302378950354115,1.3028748893661537,1.0,3938.9815733660935
regime_onset,r0=+0.8,-1,0.3,90,0.0,0.295,1.3011853093618257,1.3012343478384163,1.0,3938.9815733660935
regime_onset,r0=+0.8,0,0.0,90,1.0,0.0,1.3019553978425116,1.302009890139698,0.0,3938.9815733660935
regime_onset,r0=+0.8,1,0.025,90,1.0,0.0,1.3017145020881893,1.3014173304726255,0.0,3938.9815733660935
regime_onset,r0=+0.8,1,0.05,90,0.0,0.005,1.3022436056121371,1.302025276691219,1.0,3938.9815733660935
regime_onset,r0=+0.8,1,0.1,90,0.0,0.055,1.301024416261974,1.301836978817875,1.0,3938.9815733660935
regime_onset,r0=+0.8,1,0.2,90,0.0,0.15499999999999994,1.3017485056815215,1.3029531725987278,1.0,3938.9815733660935
regime_onset,r0=+0.8,1,0.3,90,0.0,0.2549999999999999,1.3025948716218771,1.3023260375881938,1.0,3938.9815733660935
regime_onset,r0=-0.8,-1,0.025,90,1.0,0.0,1.3019074970634577,1.3027134681026022,0.0,3938.9815733660935
regime_onset,r0=-0.8,-1,0.05,90,0.0,0.005,1.302215676294031,1.302610195153696,1.0,3938.9815733660935
regime_onset,r0=-0.8,-1,0.1,90,0.0,0.055,1.3022818499059472,1.3022133957869553,1.0,3938.9815733660935
regime_onset,r0=-0.8,-1,0.2,90,0.0,0.15499999999999994,1.3025069649632441,1.302274478047909,1.0,3938.9815733660935
regime_onset,r0=-0.8,-1,0.3,90,0.0,0.2549999999999999,1.3010766710078656,1.3017889282685724,1.0,3938.9815733660935
regime_onset,r0=-0.8,0,0.0,90,1.0,0.0,1.3020488437832343,1.3019241355392568,0.0,3938.9815733660935
regime_onset,r0=-0.8,1,0.025,90,0.0,0.02,1.3021599682417608,1.3027670782582792,1.0,3938.9815733660935
regime_onset,r0=-0.8,1,0.05,90,0.0,0.045,1.3015120600128296,1.3021110920539105,1.0,3938.9815733660935
regime_onset,r0=-0.8,1,0.1,90,0.0,0.09500000000000011,1.3003884369362986,1.3011388904600332,1.0,3938.9815733660935
regime_onset,r0=-0.8,1,0.2,90,0.0,0.19499999999999998,1.301813534215145,1.302263111900932,1.0,3938.9815733660935
regime_onset,r0=-0.8,1,0.3,90,0.0,0.295,1.3032040378730543,1.3029878341041168,1.0,3938.9815733660935
turning_location,r0=+0.0,-1,0.025,90,1.0,1.7347234759768068e-17,0.8777367983206108,0.8713924764168834,0.0,533.7078833848724
turning_location,r0=+0.0,-1,0.05,90,0.0,0.025,1.0372833919242004,1.0379204374131308,1.0,533.7078833848724
turning_location,r0=+0.0,-1,0.1,90,0.0,0.075,1.3032812343108213,1.33048836718433,1.0,533.7078833848724
turning_location,r0=+0.0,-1,0.2,90,0.0,0.17499999999999996,1.3849197321972164,1.3862877907964295,1.0,533.7078833848724
turning_location,r0=+0.0,-1,0.3,90,0.0,0.2749999999999999,1.3862914040069314,1.3862943611197789,1.0,533.7078833848724
turning_location,r0=+0.0,0,0.0,90,1.0,0.0,0.8089365064529311,0.7830755973560046,0.0,533.7078833848724
turning_location,r0=+0.0,1,0.025,90,1.0,1.7347234759768068e-17,0.8530865244919283,0.8287507374373687,0.0,533.7078833848724
turning_location,r0=+0.0,1,0.05,90,0.0,0.025,0.9808414491814238,0.9812777047655097,1.0,533.7078833848724
turning_location,r0=+0.0,1,0.1,90,0.0,0.075,1.2522193808440332,1.2671182760376332,1.0,533.7078833848724
turning_location,r0=+0.0,1,0.2,90,0.0,0.17499999999999996,1.3793553259790312,1.3859909324656159,1.0,533.7078833848724
turning_location,r0=+0.0,1,0.3,90,0.0,0.2749999999999999,1.3860677715354466,1.386294321664852,1.0,533.7078833848724
turning_location,r0=+0.8,-1,0.025,90,0.0,0.02,1.0001995611567625,0.9982518040475864,1.0,533.7078833848724
turning_location,r0=+0.8,-1,0.05,90,0.0,0.045,1.1711174727552618,1.1797110748546364,1.0,533.7078833848724
turning_location,r0=+0.8,-1,0.1,90,0.0,0.09500000000000011,1.3452710846226081,1.3690045329587486,1.0,533.7078833848724
turning_location,r0=+0.8,-1,0.2,90,0.0,0.195,1.3858026379878037,1.3862940664184165,1.0,533.7078833848724
turning_location,r0=+0.8,-1,0.3,90,0.0,0.295,1.3862937067468775,1.38629436111989,1.0,533.7078833848724
