task_id,baseline_coverage_one,ESS_invariant,finite_values,paired_bank_semantics,oracle_not_in_scorer,location_safe_interior,metadata_invariant
regime_onset:spline:0,True,True,True,True,True,True,True
regime_onset:spline:1,True,True,True,True,True,True,True
regime_onset:spline:2,True,True,True,True,True,True,True
regime_onset:spline:3,True,True,True,True,True,True,True
regime_onset:spline:4,True,True,True,True,True,True,True
regime_onset:spline:5,True,True,True,True,True,True,True
regime_onset:spline:6,True,True,True,True,True,True,True
regime_onset:spline:7,True,True,True,True,True,True,True
regime_onset:spline:8,True,True,True,True,True,True,True
regime_onset:spline:9,True,True,True,True,True,True,True
regime_onset:spline:10,True,True,True,True,True,True,True
regime_onset:spline:11,True,True,True,True,True,True,True
regime_onset:spline:12,True,True,True,True,True,True,True
regime_onset:spline:13,True,True,True,True,True,True,True
regime_onset:spline:14,True,True,True,True,True,True,True
regime_onset:spline:15,True,True,True,True,True,True,True
regime_onset:spline:16,True,True,True,True,True,True,True
regime_onset:spline:17,True,True,True,True,True,True,True
regime_onset:spline:18,True,True,True,True,True,True,True
regime_onset:spline:19,True,True,True,True,True,True,True
regime_onset:spline:20,True,True,True,True,True,True,True
regime_onset:spline:21,True,True,True,True,True,True,True
regime_onset:spline:22,True,True,True,True,True,True,True
regime_onset:spline:23,True,True,True,True,True,True,True
regime_onset:spline:24,True,True,True,True,True,True,True
regime_onset:spline:25,True,True,True,True,True,True,True
regime_onset:spline:26,True,True,True,True,True,True,True
regime_onset:spline:27,True,True,True,True,True,True,True
regime_onset:spline:28,True,True,True,True,True,True,True
regime_onset:spline:29,True,True,True,True,True,True,True
regime_onset:basis:0,True,True,True,True,True,True,True
regime_onset:basis:1,True,True,True,True,True,True,True
regime_onset:basis:2,True,True,True,True,True,True,True
regime_onset:basis:3,True,True,True,True,True,True,True
regime_onset:basis:4,True,True,True,True,True,True,True
regime_onset:basis:5,True,True,True,True,True,True,True
regime_onset:basis:6,True,True,True,True,True,True,True
regime_onset:basis:7,True,True,True,True,True,True,True
regime_onset:basis:8,True,True,True,True,True,True,True
regime_onset:basis:9,True,True,True,True,True,True,True
regime_onset:basis:10,True,True,True,True,True,True,True
regime_onset:basis:11,True,True,True,True,True,True,True
regime_onset:basis:12,True,True,True,True,True,True,True
regime_onset:basis:13,True,True,True,True,True,True,True
regime_onset:basis:14,True,True,True,True,True,True,True
regime_onset:basis:15,True,True,True,True,True,True,True
regime_onset:basis:16,True,True,True,True,True,True,True
regime_onset:basis:17,True,True,True,True,True,True,True
regime_onset:basis:18,True,True,True,True,True,True,True
regime_onset:basis:19,True,True,True,True,True,True,True
regime_onset:basis:20,True,True,True,True,True,True,True
regime_onset:basis:21,True,True,True,True,True,True,True
regime_onset:basis:22,True,True,True,True,True,True,True
regime_onset:basis:23,True,True,True,True,True,True,True
regime_onset:basis:24,True,True,True,True,True,True,True
regime_onset:basis:25,True,True,True,True,True,True,True
regime_onset:basis:26,True,True,True,True,True,True,True
regime_onset:basis:27,True,True,True,True,True,True,True
regime_onset:basis:28,True,True,True,True,True,True,True
regime_onset:basis:29,True,True,True,True,True,True,True
regime_onset:ode:0,True,True,True,True,True,True,True
regime_onset:ode:1,True,True,True,True,True,True,True
regime_onset:ode:2,True,True,True,True,True,True,True
regime_onset:ode:3,True,True,True,True,True,True,True
regime_onset:ode:4,True,True,True,True,True,True,True
regime_onset:ode:5,True,True,True,True,True,True,True
regime_onset:ode:6,True,True,True,True,True,True,True
regime_onset:ode:7,True,True,True,True,True,True,True
regime_onset:ode:8,True,True,True,True,True,True,True
regime_onset:ode:9,True,True,True,True,True,True,True
regime_onset:ode:10,True,True,True,True,True,True,True
