field,generator,requested,attempts,accepted,degenerate_range_rejects,other_checker_rejects,exhaustion
regime_onset,spline,1,1,1,0,0,0
regime_onset,basis,1,1,1,0,0,0
regime_onset,ode,1,1,1,0,0,0
inflection_location,spline,1,1,1,0,0,0
inflection_location,basis,1,1,1,0,0,0
inflection_location,ode,1,1,1,0,0,0
turning_location,spline,1,1,1,0,0,0
turning_location,basis,1,1,1,0,0,0
turning_location,ode,1,1,1,0,0,0
lower_bound_level,spline,1,1,1,0,0,0
lower_bound_level,basis,1,1,1,0,0,0
lower_bound_level,ode,1,1,1,0,0,0
asymptotic_limit,spline,1,1,1,0,0,0
asymptotic_limit,basis,1,1,1,0,0,0
asymptotic_limit,ode,1,1,1,0,0,0
