task_id,field,generator,draw,baseline_specification_state,sign,epsilon_break,break_status,epsilon_CW,CW_status,delta_epsilon_CW
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
regime_onset:spline:0,regime_onset,spline,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
regime_onset:basis:0,regime_onset,basis,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
regime_onset:basis:0,regime_onset,basis,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
regime_onset:ode:0,regime_onset,ode,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
inflection_location:spline:0,inflection_location,spline,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
inflection_location:spline:0,inflection_location,spline,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
inflection_location:spline:0,inflection_location,spline,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
inflection_location:basis:0,inflection_location,basis,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
inflection_location:basis:0,inflection_location,basis,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
inflection_location:basis:0,inflection_location,basis,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
inflection_location:basis:0,inflection_location,basis,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
inflection_location:basis:0,inflection_location,basis,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
