primitive,separability,dof,prefix,attainment,denominator
asymptote,high,1,0.2,1.0,60
asymptote,high,1,0.3,1.0,60
asymptote,high,1,0.4,1.0,60
asymptote,high,1,0.5,1.0,60
asymptote,high,1,0.6,1.0,60
asymptote,high,1,0.7,1.0,60
asymptote,high,3,0.2,1.0,60
asymptote,high,3,0.3,1.0,60
asymptote,high,3,0.4,1.0,60
asymptote,high,3,0.5,1.0,60
asymptote,high,3,0.6,1.0,60
asymptote,high,3,0.7,1.0,60
asymptote,high,5,0.2,1.0,60
asymptote,high,5,0.3,1.0,60
asymptote,high,5,0.4,1.0,60
asymptote,high,5,0.5,1.0,60
asymptote,high,5,0.6,1.0,60
asymptote,high,5,0.7,1.0,60
asymptote,low,1,0.2,1.0,60
asymptote,low,1,0.3,1.0,60
asymptote,low,1,0.4,1.0,60
asymptote,low,1,0.5,1.0,60
asymptote,low,1,0.6,1.0,60
asymptote,low,1,0.7,1.0,60
asymptote,low,3,0.2,1.0,60
asymptote,low,3,0.3,1.0,60
asymptote,low,3,0.4,1.0,60
asymptote,low,3,0.5,1.0,60
asymptote,low,3,0.6,1.0,60
asymptote,low,3,0.7,1.0,60
asymptote,low,5,0.2,1.0,60
asymptote,low,5,0.3,1.0,60
asymptote,low,5,0.4,1.0,60
asymptote,low,5,0.5,1.0,60
asymptote,low,5,0.6,1.0,60
asymptote,low,5,0.7,1.0,60
asymptote,mid,1,0.2,1.0,60
asymptote,mid,1,0.3,1.0,60
asymptote,mid,1,0.4,1.0,60
asymptote,mid,1,0.5,1.0,60
asymptote,mid,1,0.6,1.0,60
asymptote,mid,1,0.7,1.0,60
asymptote,mid,3,0.2,1.0,60
asymptote,mid,3,0.3,1.0,60
asymptote,mid,3,0.4,1.0,60
asymptote,mid,3,0.5,1.0,60
asymptote,mid,3,0.6,1.0,60
asymptote,mid,3,0.7,1.0,60
asymptote,mid,5,0.2,1.0,60
asymptote,mid,5,0.3,1.0,60
asymptote,mid,5,0.4,1.0,60
asymptote,mid,5,0.5,1.0,60
asymptote,mid,5,0.6,1.0,60
asymptote,mid,5,0.7,1.0,60
bound,high,1,0.2,1.0,60
bound,high,1,0.3,1.0,60
bound,high,1,0.4,1.0,60
bound,high,1,0.5,1.0,60
bound,high,1,0.6,1.0,60
bound,high,1,0.7,1.0,60
bound,high,3,0.2,1.0,60
bound,high,3,0.3,1.0,60
bound,high,3,0.4,1.0,60
bound,high,3,0.5,1.0,60
bound,high,3,0.6,1.0,60
bound,high,3,0.7,1.0,60
bound,high,5,0.2,1.0,60
bound,high,5,0.3,1.0,60
bound,high,5,0.4,1.0,60
bound,high,5,0.5,1.0,60
bound,high,5,0.6,1.0,60
bound,high,5,0.7,1.0,60
bound,low,1,0.2,1.0,60
bound,low,1,0.3,1.0,60
bound,low,1,0.4,1.0,60
bound,low,1,0.5,1.0,60
bound,low,1,0.6,1.0,60
bound,low,1,0.7,1.0,60
bound,low,3,0.2,1.0,60
bound,low,3,0.3,1.0,60
bound,low,3,0.4,1.0,60
bound,low,3,0.5,1.0,60
bound,low,3,0.6,1.0,60
bound,low,3,0.7,1.0,60
bound,low,5,0.2,1.0,60
bound,low,5,0.3,1.0,60
bound,low,5,0.4,1.0,60
bound,low,5,0.5,1.0,60
bound,low,5,0.6,1.0,60
bound,low,5,0.7,1.0,60
bound,mid,1,0.2,1.0,60
bound,mid,1,0.3,1.0,60
bound,mid,1,0.4,1.0,60
bound,mid,1,0.5,1.0,60
bound,mid,1,0.6,1.0,60
bound,mid,1,0.7,1.0,60
bound,mid,3,0.2,1.0,60
bound,mid,3,0.3,1.0,60
bound,mid,3,0.4,1.0,60
bound,mid,3,0.5,1.0,60
bound,mid,3,0.6,1.0,60
bound,mid,3,0.7,1.0,60
bound,mid,5,0.2,1.0,60
bound,mid,5,0.3,1.0,60
bound,mid,5,0.4,1.0,60
bound,mid,5,0.5,1.0,60
bound,mid,5,0.6,1.0,60
bound,mid,5,0.7,1.0,60
curvature,high,1,0.2,1.0,60
curvature,high,1,0.3,1.0,60
curvature,high,1,0.4,1.0,60
curvature,high,1,0.5,1.0,60
curvature,high,1,0.6,1.0,60
curvature,high,1,0.7,1.0,60
curvature,high,3,0.2,1.0,60
curvature,high,3,0.3,1.0,60
curvature,high,3,0.4,1.0,60
curvature,high,3,0.5,1.0,60
curvature,high,3,0.6,1.0,60
curvature,high,3,0.7,1.0,60
curvature,high,5,0.2,1.0,60
curvature,high,5,0.3,1.0,60
curvature,high,5,0.4,1.0,60
curvature,high,5,0.5,1.0,60
curvature,high,5,0.6,1.0,60
curvature,high,5,0.7,1.0,60
curvature,low,1,0.2,1.0,60
curvature,low,1,0.3,1.0,60
curvature,low,1,0.4,1.0,60
curvature,low,1,0.5,1.0,60
curvature,low,1,0.6,1.0,60
curvature,low,1,0.7,1.0,60
curvature,low,3,0.2,1.0,60
curvature,low,3,0.3,1.0,60
curvature,low,3,0.4,1.0,60
curvature,low,3,0.5,1.0,60
curvature,low,3,0.6,1.0,60
curvature,low,3,0.7,1.0,60
curvature,low,5,0.2,1.0,60
curvature,low,5,0.3,1.0,60
curvature,low,5,0.4,1.0,60
curvature,low,5,0.5,1.0,60
curvature,low,5,0.6,1.0,60
curvature,low,5,0.7,1.0,60
curvature,mid,1,0.2,1.0,60
curvature,mid,1,0.3,1.0,60
curvature,mid,1,0.4,1.0,60
curvature,mid,1,0.5,1.0,60
curvature,mid,1,0.6,1.0,60
curvature,mid,1,0.7,1.0,60
curvature,mid,3,0.2,1.0,60
curvature,mid,3,0.3,1.0,60
curvature,mid,3,0.4,1.0,60
curvature,mid,3,0.5,1.0,60
curvature,mid,3,0.6,1.0,60
curvature,mid,3,0.7,1.0,60
curvature,mid,5,0.2,1.0,60
curvature,mid,5,0.3,1.0,60
curvature,mid,5,0.4,1.0,60
curvature,mid,5,0.5,1.0,60
curvature,mid,5,0.6,1.0,60
curvature,mid,5,0.7,1.0,60
direction,high,1,0.2,1.0,60
direction,high,1,0.3,1.0,60
direction,high,1,0.4,1.0,60
direction,high,1,0.5,1.0,60
direction,high,1,0.6,1.0,60
direction,high,1,0.7,1.0,60
direction,high,3,0.2,1.0,60
direction,high,3,0.3,1.0,60
direction,high,3,0.4,1.0,60
direction,high,3,0.5,1.0,60
