primitive,separability,dof,prefix,attainment,denominator
asymptote,high,1,0.2,0.4,60
asymptote,high,1,0.3,0.5,60
asymptote,high,1,0.4,0.5666666666666667,60
asymptote,high,1,0.5,0.6666666666666666,60
asymptote,high,1,0.6,0.6666666666666666,60
asymptote,high,1,0.7,0.6833333333333333,60
asymptote,high,3,0.2,0.4,60
asymptote,high,3,0.3,0.5,60
asymptote,high,3,0.4,0.5666666666666667,60
asymptote,high,3,0.5,0.6666666666666666,60
asymptote,high,3,0.6,0.6666666666666666,60
asymptote,high,3,0.7,0.6833333333333333,60
asymptote,high,5,0.2,0.4,60
asymptote,high,5,0.3,0.5,60
asymptote,high,5,0.4,0.5666666666666667,60
asymptote,high,5,0.5,0.6666666666666666,60
asymptote,high,5,0.6,0.6666666666666666,60
asymptote,high,5,0.7,0.6833333333333333,60
asymptote,low,1,0.2,0.0,60
asymptote,low,1,0.3,0.0,60
asymptote,low,1,0.4,0.0,60
asymptote,low,1,0.5,0.0,60
asymptote,low,1,0.6,0.0,60
asymptote,low,1,0.7,0.0,60
asymptote,low,3,0.2,0.0,60
asymptote,low,3,0.3,0.0,60
asymptote,low,3,0.4,0.0,60
asymptote,low,3,0.5,0.0,60
asymptote,low,3,0.6,0.0,60
asymptote,low,3,0.7,0.0,60
asymptote,low,5,0.2,0.0,60
asymptote,low,5,0.3,0.0,60
asymptote,low,5,0.4,0.0,60
asymptote,low,5,0.5,0.0,60
asymptote,low,5,0.6,0.0,60
asymptote,low,5,0.7,0.0,60
asymptote,mid,1,0.2,0.1,60
asymptote,mid,1,0.3,0.3333333333333333,60
asymptote,mid,1,0.4,0.43333333333333335,60
asymptote,mid,1,0.5,0.48333333333333334,60
asymptote,mid,1,0.6,0.5333333333333333,60
asymptote,mid,1,0.7,0.55,60
asymptote,mid,3,0.2,0.1,60
asymptote,mid,3,0.3,0.3333333333333333,60
asymptote,mid,3,0.4,0.43333333333333335,60
asymptote,mid,3,0.5,0.48333333333333334,60
asymptote,mid,3,0.6,0.5333333333333333,60
asymptote,mid,3,0.7,0.55,60
asymptote,mid,5,0.2,0.1,60
asymptote,mid,5,0.3,0.3333333333333333,60
asymptote,mid,5,0.4,0.43333333333333335,60
asymptote,mid,5,0.5,0.48333333333333334,60
asymptote,mid,5,0.6,0.5333333333333333,60
asymptote,mid,5,0.7,0.55,60
bound,high,1,0.2,0.0,60
bound,high,1,0.3,0.0,60
bound,high,1,0.4,0.0,60
bound,high,1,0.5,0.0,60
bound,high,1,0.6,0.0,60
bound,high,1,0.7,0.0,60
bound,high,3,0.2,0.0,60
bound,high,3,0.3,0.0,60
bound,high,3,0.4,0.0,60
bound,high,3,0.5,0.0,60
bound,high,3,0.6,0.0,60
bound,high,3,0.7,0.0,60
bound,high,5,0.2,0.0,60
bound,high,5,0.3,0.0,60
bound,high,5,0.4,0.0,60
bound,high,5,0.5,0.0,60
bound,high,5,0.6,0.0,60
bound,high,5,0.7,0.0,60
bound,low,1,0.2,0.0,60
bound,low,1,0.3,0.0,60
bound,low,1,0.4,0.0,60
bound,low,1,0.5,0.0,60
bound,low,1,0.6,0.0,60
bound,low,1,0.7,0.0,60
bound,low,3,0.2,0.0,60
bound,low,3,0.3,0.0,60
bound,low,3,0.4,0.0,60
bound,low,3,0.5,0.0,60
bound,low,3,0.6,0.0,60
bound,low,3,0.7,0.0,60
bound,low,5,0.2,0.0,60
bound,low,5,0.3,0.0,60
bound,low,5,0.4,0.0,60
bound,low,5,0.5,0.0,60
bound,low,5,0.6,0.0,60
bound,low,5,0.7,0.0,60
bound,mid,1,0.2,0.0,60
bound,mid,1,0.3,0.0,60
bound,mid,1,0.4,0.0,60
bound,mid,1,0.5,0.0,60
bound,mid,1,0.6,0.0,60
bound,mid,1,0.7,0.0,60
bound,mid,3,0.2,0.0,60
bound,mid,3,0.3,0.0,60
bound,mid,3,0.4,0.0,60
bound,mid,3,0.5,0.0,60
bound,mid,3,0.6,0.0,60
bound,mid,3,0.7,0.0,60
bound,mid,5,0.2,0.0,60
bound,mid,5,0.3,0.0,60
bound,mid,5,0.4,0.0,60
bound,mid,5,0.5,0.0,60
bound,mid,5,0.6,0.0,60
bound,mid,5,0.7,0.0,60
curvature,high,1,0.2,0.0,60
curvature,high,1,0.3,0.0,60
curvature,high,1,0.4,0.0,60
curvature,high,1,0.5,0.18333333333333332,60
curvature,high,1,0.6,0.2833333333333333,60
curvature,high,1,0.7,0.2833333333333333,60
curvature,high,3,0.2,0.0,60
curvature,high,3,0.3,0.0,60
curvature,high,3,0.4,0.0,60
curvature,high,3,0.5,0.18333333333333332,60
curvature,high,3,0.6,0.2833333333333333,60
curvature,high,3,0.7,0.2833333333333333,60
curvature,high,5,0.2,0.0,60
curvature,high,5,0.3,0.0,60
curvature,high,5,0.4,0.0,60
curvature,high,5,0.5,0.18333333333333332,60
