primitive,separability,dof,prefix,attainment,denominator
asymptote,high,1,0.2,0.0,41
asymptote,high,1,0.3,0.0,41
asymptote,high,1,0.4,0.0,41
asymptote,high,1,0.5,0.0,41
asymptote,high,1,0.6,0.0,41
asymptote,high,1,0.7,0.0,41
asymptote,high,3,0.2,0.0,41
asymptote,high,3,0.3,0.0,41
asymptote,high,3,0.4,0.0,41
asymptote,high,3,0.5,0.0,41
asymptote,high,3,0.6,0.0,41
asymptote,high,3,0.7,0.0,41
asymptote,high,5,0.2,0.0,41
asymptote,high,5,0.3,0.0,41
asymptote,high,5,0.4,0.0,41
asymptote,high,5,0.5,0.0,41
asymptote,high,5,0.6,0.0,41
asymptote,high,5,0.7,0.0,41
asymptote,low,1,0.2,,0
asymptote,low,1,0.3,,0
asymptote,low,1,0.4,,0
asymptote,low,1,0.5,,0
asymptote,low,1,0.6,,0
asymptote,low,1,0.7,,0
asymptote,low,3,0.2,,0
asymptote,low,3,0.3,,0
asymptote,low,3,0.4,,0
asymptote,low,3,0.5,,0
asymptote,low,3,0.6,,0
asymptote,low,3,0.7,,0
asymptote,low,5,0.2,,0
asymptote,low,5,0.3,,0
asymptote,low,5,0.4,,0
asymptote,low,5,0.5,,0
asymptote,low,5,0.6,,0
asymptote,low,5,0.7,,0
asymptote,mid,1,0.2,0.0,33
asymptote,mid,1,0.3,0.0,33
asymptote,mid,1,0.4,0.0,33
asymptote,mid,1,0.5,0.0,33
asymptote,mid,1,0.6,0.0,33
asymptote,mid,1,0.7,0.0,33
asymptote,mid,3,0.2,0.0,32
asymptote,mid,3,0.3,0.0,32
asymptote,mid,3,0.4,0.0,32
asymptote,mid,3,0.5,0.0,32
asymptote,mid,3,0.6,0.0,32
asymptote,mid,3,0.7,0.0,32
asymptote,mid,5,0.2,0.0,32
asymptote,mid,5,0.3,0.0,32
asymptote,mid,5,0.4,0.0,32
asymptote,mid,5,0.5,0.0,32
asymptote,mid,5,0.6,0.0,32
asymptote,mid,5,0.7,0.0,32
bound,high,1,0.2,,0
bound,high,1,0.3,,0
bound,high,1,0.4,,0
bound,high,1,0.5,,0
bound,high,1,0.6,,0
bound,high,1,0.7,,0
bound,high,3,0.2,,0
bound,high,3,0.3,,0
bound,high,3,0.4,,0
bound,high,3,0.5,,0
bound,high,3,0.6,,0
bound,high,3,0.7,,0
bound,high,5,0.2,,0
bound,high,5,0.3,,0
bound,high,5,0.4,,0
bound,high,5,0.5,,0
bound,high,5,0.6,,0
bound,high,5,0.7,,0
bound,low,1,0.2,,0
bound,low,1,0.3,,0
bound,low,1,0.4,,0
bound,low,1,0.5,,0
bound,low,1,0.6,,0
bound,low,1,0.7,,0
bound,low,3,0.2,,0
bound,low,3,0.3,,0
bound,low,3,0.4,,0
bound,low,3,0.5,,0
bound,low,3,0.6,,0
bound,low,3,0.7,,0
bound,low,5,0.2,,0
bound,low,5,0.3,,0
bound,low,5,0.4,,0
bound,low,5,0.5,,0
bound,low,5,0.6,,0
bound,low,5,0.7,,0
bound,mid,1,0.2,,0
bound,mid,1,0.3,,0
bound,mid,1,0.4,,0
bound,mid,1,0.5,,0
bound,mid,1,0.6,,0
bound,mid,1,0.7,,0
bound,mid,3,0.2,,0
bound,mid,3,0.3,,0
bound,mid,3,0.4,,0
bound,mid,3,0.5,,0
bound,mid,3,0.6,,0
bound,mid,3,0.7,,0
bound,mid,5,0.2,,0
bound,mid,5,0.3,,0
bound,mid,5,0.4,,0
bound,mid,5,0.5,,0
bound,mid,5,0.6,,0
bound,mid,5,0.7,,0
curvature,high,1,0.2,0.0,8
curvature,high,1,0.3,0.0,8
curvature,high,1,0.4,0.0,8
curvature,high,1,0.5,0.0,8
curvature,high,1,0.6,0.0,8
curvature,high,1,0.7,0.0,8
curvature,high,3,0.2,0.0,10
curvature,high,3,0.3,0.0,10
curvature,high,3,0.4,0.0,10
curvature,high,3,0.5,0.0,10
curvature,high,3,0.6,0.0,10
curvature,high,3,0.7,0.0,10
curvature,high,5,0.2,0.0,10
curvature,high,5,0.3,0.0,10
curvature,high,5,0.4,0.0,10
curvature,high,5,0.5,0.0,10
curvature,high,5,0.6,0.0,10
curvature,high,5,0.7,0.0,10
curvature,low,1,0.2,,0
curvature,low,1,0.3,,0
curvature,low,1,0.4,,0
curvature,low,1,0.5,,0
curvature,low,1,0.6,,0
curvature,low,1,0.7,,0
curvature,low,3,0.2,,0
curvature,low,3,0.3,,0
curvature,low,3,0.4,,0
curvature,low,3,0.5,,0
curvature,low,3,0.6,,0
curvature,low,3,0.7,,0
curvature,low,5,0.2,,0
curvature,low,5,0.3,,0
curvature,low,5,0.4,,0
curvature,low,5,0.5,,0
curvature,low,5,0.6,,0
curvature,low,5,0.7,,0
curvature,mid,1,0.2,0.0,4
curvature,mid,1,0.3,0.0,4
curvature,mid,1,0.4,0.0,4
curvature,mid,1,0.5,0.0,4
curvature,mid,1,0.6,0.0,4
curvature,mid,1,0.7,0.0,4
curvature,mid,3,0.2,0.0,4
curvature,mid,3,0.3,0.0,4
curvature,mid,3,0.4,0.0,4
curvature,mid,3,0.5,0.0,4
curvature,mid,3,0.6,0.0,4
curvature,mid,3,0.7,0.0,4
curvature,mid,5,0.2,0.0,3
curvature,mid,5,0.3,0.0,3
curvature,mid,5,0.4,0.0,3
curvature,mid,5,0.5,0.0,3
curvature,mid,5,0.6,0.0,3
curvature,mid,5,0.7,0.0,3
direction,high,1,0.2,0.0,9
direction,high,1,0.3,0.0,9
direction,high,1,0.4,0.0,9
direction,high,1,0.5,0.0,9
direction,high,1,0.6,0.0,9
direction,high,1,0.7,0.0,9
direction,high,3,0.2,0.0,9
direction,high,3,0.3,0.0,9
direction,high,3,0.4,0.0,9
direction,high,3,0.5,0.0,9
direction,high,3,0.6,0.0,9
direction,high,3,0.7,0.0,9
direction,high,5,0.2,0.0,8
direction,high,5,0.3,0.0,8
direction,high,5,0.4,0.0,8
direction,high,5,0.5,0.0,8
direction,high,5,0.6,0.0,8
direction,high,5,0.7,0.0,8
direction,low,1,0.2,,0
direction,low,1,0.3,,0
direction,low,1,0.4,,0
direction,low,1,0.5,,0
direction,low,1,0.6,,0
direction,low,1,0.7,,0
direction,low,3,0.2,,0
direction,low,3,0.3,,0
direction,low,3,0.4,,0
direction,low,3,0.5,,0
direction,low,3,0.6,,0
direction,low,3,0.7,,0
direction,low,5,0.2,,0
direction,low,5,0.3,,0
direction,low,5,0.4,,0
direction,low,5,0.5,,0
direction,low,5,0.6,,0
direction,low,5,0.7,,0
direction,mid,1,0.2,0.0,4
direction,mid,1,0.3,0.0,4
direction,mid,1,0.4,0.0,4
direction,mid,1,0.5,0.0,4
direction,mid,1,0.6,0.0,4
direction,mid,1,0.7,0.0,4
direction,mid,3,0.2,0.0,4
direction,mid,3,0.3,0.0,4
direction,mid,3,0.4,0.0,4
direction,mid,3,0.5,0.0,4
direction,mid,3,0.6,0.0,4
direction,mid,3,0.7,0.0,4
direction,mid,5,0.2,0.0,3
direction,mid,5,0.3,0.0,3
direction,mid,5,0.4,0.0,3
direction,mid,5,0.5,0.0,3
direction,mid,5,0.6,0.0,3
direction,mid,5,0.7,0.0,3
inflection,high,1,0.2,,0
inflection,high,1,0.3,,0
inflection,high,1,0.4,,0
inflection,high,1,0.5,,0
inflection,high,1,0.6,,0
inflection,high,1,0.7,,0
inflection,high,3,0.2,,0
inflection,high,3,0.3,,0
inflection,high,3,0.4,,0
inflection,high,3,0.5,,0
inflection,high,3,0.6,,0
inflection,high,3,0.7,,0
inflection,high,5,0.2,,0
inflection,high,5,0.3,,0
inflection,high,5,0.4,,0
inflection,high,5,0.5,,0
inflection,high,5,0.6,,0
inflection,high,5,0.7,,0
inflection,low,1,0.2,,0
inflection,low,1,0.3,,0
inflection,low,1,0.4,,0
inflection,low,1,0.5,,0
inflection,low,1,0.6,,0
inflection,low,1,0.7,,0
inflection,low,3,0.2,,0
inflection,low,3,0.3,,0
inflection,low,3,0.4,,0
inflection,low,3,0.5,,0
inflection,low,3,0.6,,0
inflection,low,3,0.7,,0
inflection,low,5,0.2,,0
inflection,low,5,0.3,,0
inflection,low,5,0.4,,0
inflection,low,5,0.5,,0
inflection,low,5,0.6,,0
inflection,low,5,0.7,,0
inflection,mid,1,0.2,,0
inflection,mid,1,0.3,,0
inflection,mid,1,0.4,,0
inflection,mid,1,0.5,,0
inflection,mid,1,0.6,,0
inflection,mid,1,0.7,,0
inflection,mid,3,0.2,,0
inflection,mid,3,0.3,,0
inflection,mid,3,0.4,,0
inflection,mid,3,0.5,,0
