primitive,separability,dof,prefix,lo,hi
asymptote,high,1,0.2,1.0,1.0
asymptote,high,1,0.3,1.0,1.0
asymptote,high,1,0.4,1.0,1.0
asymptote,high,1,0.5,1.0,1.0
asymptote,high,1,0.6,1.0,1.0
asymptote,high,1,0.7,1.0,1.0
asymptote,high,3,0.2,1.0,1.0
asymptote,high,3,0.3,1.0,1.0
asymptote,high,3,0.4,1.0,1.0
asymptote,high,3,0.5,1.0,1.0
asymptote,high,3,0.6,1.0,1.0
asymptote,high,3,0.7,1.0,1.0
asymptote,high,5,0.2,1.0,1.0
asymptote,high,5,0.3,1.0,1.0
asymptote,high,5,0.4,1.0,1.0
asymptote,high,5,0.5,1.0,1.0
asymptote,high,5,0.6,1.0,1.0
asymptote,high,5,0.7,1.0,1.0
asymptote,low,1,0.2,1.0,1.0
asymptote,low,1,0.3,1.0,1.0
asymptote,low,1,0.4,1.0,1.0
asymptote,low,1,0.5,1.0,1.0
asymptote,low,1,0.6,1.0,1.0
asymptote,low,1,0.7,1.0,1.0
asymptote,low,3,0.2,1.0,1.0
asymptote,low,3,0.3,1.0,1.0
asymptote,low,3,0.4,1.0,1.0
asymptote,low,3,0.5,1.0,1.0
asymptote,low,3,0.6,1.0,1.0
asymptote,low,3,0.7,1.0,1.0
asymptote,low,5,0.2,1.0,1.0
asymptote,low,5,0.3,1.0,1.0
asymptote,low,5,0.4,1.0,1.0
asymptote,low,5,0.5,1.0,1.0
asymptote,low,5,0.6,1.0,1.0
asymptote,low,5,0.7,1.0,1.0
asymptote,mid,1,0.2,1.0,1.0
asymptote,mid,1,0.3,1.0,1.0
asymptote,mid,1,0.4,1.0,1.0
asymptote,mid,1,0.5,1.0,1.0
asymptote,mid,1,0.6,1.0,1.0
asymptote,mid,1,0.7,1.0,1.0
asymptote,mid,3,0.2,1.0,1.0
asymptote,mid,3,0.3,1.0,1.0
asymptote,mid,3,0.4,1.0,1.0
asymptote,mid,3,0.5,1.0,1.0
asymptote,mid,3,0.6,1.0,1.0
asymptote,mid,3,0.7,1.0,1.0
asymptote,mid,5,0.2,1.0,1.0
asymptote,mid,5,0.3,1.0,1.0
asymptote,mid,5,0.4,1.0,1.0
asymptote,mid,5,0.5,1.0,1.0
asymptote,mid,5,0.6,1.0,1.0
asymptote,mid,5,0.7,1.0,1.0
bound,high,1,0.2,1.0,1.0
bound,high,1,0.3,1.0,1.0
bound,high,1,0.4,1.0,1.0
bound,high,1,0.5,1.0,1.0
bound,high,1,0.6,1.0,1.0
bound,high,1,0.7,1.0,1.0
bound,high,3,0.2,1.0,1.0
bound,high,3,0.3,1.0,1.0
bound,high,3,0.4,1.0,1.0
bound,high,3,0.5,1.0,1.0
bound,high,3,0.6,1.0,1.0
bound,high,3,0.7,1.0,1.0
bound,high,5,0.2,1.0,1.0
bound,high,5,0.3,1.0,1.0
bound,high,5,0.4,1.0,1.0
bound,high,5,0.5,1.0,1.0
bound,high,5,0.6,1.0,1.0
bound,high,5,0.7,1.0,1.0
bound,low,1,0.2,1.0,1.0
bound,low,1,0.3,1.0,1.0
bound,low,1,0.4,1.0,1.0
bound,low,1,0.5,1.0,1.0
bound,low,1,0.6,1.0,1.0
bound,low,1,0.7,1.0,1.0
bound,low,3,0.2,1.0,1.0
bound,low,3,0.3,1.0,1.0
bound,low,3,0.4,1.0,1.0
bound,low,3,0.5,1.0,1.0
bound,low,3,0.6,1.0,1.0
bound,low,3,0.7,1.0,1.0
bound,low,5,0.2,1.0,1.0
bound,low,5,0.3,1.0,1.0
bound,low,5,0.4,1.0,1.0
bound,low,5,0.5,1.0,1.0
bound,low,5,0.6,1.0,1.0
bound,low,5,0.7,1.0,1.0
bound,mid,1,0.2,1.0,1.0
bound,mid,1,0.3,1.0,1.0
bound,mid,1,0.4,1.0,1.0
bound,mid,1,0.5,1.0,1.0
bound,mid,1,0.6,1.0,1.0
bound,mid,1,0.7,1.0,1.0
bound,mid,3,0.2,1.0,1.0
bound,mid,3,0.3,1.0,1.0
bound,mid,3,0.4,1.0,1.0
bound,mid,3,0.5,1.0,1.0
bound,mid,3,0.6,1.0,1.0
bound,mid,3,0.7,1.0,1.0
bound,mid,5,0.2,1.0,1.0
bound,mid,5,0.3,1.0,1.0
bound,mid,5,0.4,1.0,1.0
bound,mid,5,0.5,1.0,1.0
bound,mid,5,0.6,1.0,1.0
bound,mid,5,0.7,1.0,1.0
curvature,high,1,0.2,1.0,1.0
curvature,high,1,0.3,1.0,1.0
curvature,high,1,0.4,1.0,1.0
curvature,high,1,0.5,1.0,1.0
curvature,high,1,0.6,1.0,1.0
curvature,high,1,0.7,1.0,1.0
curvature,high,3,0.2,1.0,1.0
curvature,high,3,0.3,1.0,1.0
curvature,high,3,0.4,1.0,1.0
curvature,high,3,0.5,1.0,1.0
curvature,high,3,0.6,1.0,1.0
curvature,high,3,0.7,1.0,1.0
curvature,high,5,0.2,1.0,1.0
curvature,high,5,0.3,1.0,1.0
curvature,high,5,0.4,1.0,1.0
curvature,high,5,0.5,1.0,1.0
curvature,high,5,0.6,1.0,1.0
curvature,high,5,0.7,1.0,1.0
curvature,low,1,0.2,1.0,1.0
curvature,low,1,0.3,1.0,1.0
curvature,low,1,0.4,1.0,1.0
curvature,low,1,0.5,1.0,1.0
curvature,low,1,0.6,1.0,1.0
curvature,low,1,0.7,1.0,1.0
curvature,low,3,0.2,1.0,1.0
curvature,low,3,0.3,1.0,1.0
curvature,low,3,0.4,1.0,1.0
curvature,low,3,0.5,1.0,1.0
curvature,low,3,0.6,1.0,1.0
curvature,low,3,0.7,1.0,1.0
curvature,low,5,0.2,1.0,1.0
curvature,low,5,0.3,1.0,1.0
curvature,low,5,0.4,1.0,1.0
curvature,low,5,0.5,1.0,1.0
curvature,low,5,0.6,1.0,1.0
curvature,low,5,0.7,1.0,1.0
curvature,mid,1,0.2,1.0,1.0
curvature,mid,1,0.3,1.0,1.0
curvature,mid,1,0.4,1.0,1.0
curvature,mid,1,0.5,1.0,1.0
curvature,mid,1,0.6,1.0,1.0
curvature,mid,1,0.7,1.0,1.0
curvature,mid,3,0.2,1.0,1.0
curvature,mid,3,0.3,1.0,1.0
curvature,mid,3,0.4,1.0,1.0
curvature,mid,3,0.5,1.0,1.0
curvature,mid,3,0.6,1.0,1.0
curvature,mid,3,0.7,1.0,1.0
curvature,mid,5,0.2,1.0,1.0
curvature,mid,5,0.3,1.0,1.0
curvature,mid,5,0.4,1.0,1.0
curvature,mid,5,0.5,1.0,1.0
curvature,mid,5,0.6,1.0,1.0
curvature,mid,5,0.7,1.0,1.0
direction,high,1,0.2,1.0,1.0
direction,high,1,0.3,1.0,1.0
direction,high,1,0.4,1.0,1.0
direction,high,1,0.5,1.0,1.0
direction,high,1,0.6,1.0,1.0
direction,high,1,0.7,1.0,1.0
direction,high,3,0.2,1.0,1.0
direction,high,3,0.3,1.0,1.0
direction,high,3,0.4,1.0,1.0
direction,high,3,0.5,1.0,1.0
direction,high,3,0.6,1.0,1.0
direction,high,3,0.7,1.0,1.0
direction,high,5,0.2,1.0,1.0
direction,high,5,0.3,1.0,1.0
direction,high,5,0.4,1.0,1.0
direction,high,5,0.5,1.0,1.0
direction,high,5,0.6,1.0,1.0
direction,high,5,0.7,1.0,1.0
direction,low,1,0.2,1.0,1.0
direction,low,1,0.3,1.0,1.0
direction,low,1,0.4,1.0,1.0
direction,low,1,0.5,1.0,1.0
direction,low,1,0.6,1.0,1.0
direction,low,1,0.7,1.0,1.0
direction,low,3,0.2,1.0,1.0
direction,low,3,0.3,1.0,1.0
direction,low,3,0.4,1.0,1.0
direction,low,3,0.5,1.0,1.0
direction,low,3,0.6,1.0,1.0
direction,low,3,0.7,1.0,1.0
direction,low,5,0.2,1.0,1.0
direction,low,5,0.3,1.0,1.0
direction,low,5,0.4,1.0,1.0
direction,low,5,0.5,1.0,1.0
direction,low,5,0.6,1.0,1.0
direction,low,5,0.7,1.0,1.0
direction,mid,1,0.2,1.0,1.0
direction,mid,1,0.3,1.0,1.0
direction,mid,1,0.4,1.0,1.0
direction,mid,1,0.5,1.0,1.0
direction,mid,1,0.6,1.0,1.0
direction,mid,1,0.7,1.0,1.0
direction,mid,3,0.2,1.0,1.0
direction,mid,3,0.3,1.0,1.0
direction,mid,3,0.4,1.0,1.0
direction,mid,3,0.5,1.0,1.0
direction,mid,3,0.6,1.0,1.0
direction,mid,3,0.7,1.0,1.0
direction,mid,5,0.2,1.0,1.0
direction,mid,5,0.3,1.0,1.0
direction,mid,5,0.4,1.0,1.0
direction,mid,5,0.5,1.0,1.0
direction,mid,5,0.6,1.0,1.0
direction,mid,5,0.7,1.0,1.0
inflection,high,1,0.2,1.0,1.0
inflection,high,1,0.3,1.0,1.0
inflection,high,1,0.4,1.0,1.0
inflection,high,1,0.5,1.0,1.0
inflection,high,1,0.6,1.0,1.0
inflection,high,1,0.7,1.0,1.0
inflection,high,3,0.2,1.0,1.0
inflection,high,3,0.3,1.0,1.0
inflection,high,3,0.4,1.0,1.0
inflection,high,3,0.5,1.0,1.0
inflection,high,3,0.6,1.0,1.0
inflection,high,3,0.7,1.0,1.0
inflection,high,5,0.2,0.9500000000000001,1.0
inflection,high,5,0.3,0.9500000000000001,1.0
inflection,high,5,0.4,0.9500000000000001,1.0
inflection,high,5,0.5,0.9500000000000001,1.0
inflection,high,5,0.6,0.9500000000000001,1.0
inflection,high,5,0.7,0.9500000000000001,1.0
inflection,low,1,0.2,1.0,1.0
inflection,low,1,0.3,1.0,1.0
inflection,low,1,0.4,1.0,1.0
inflection,low,1,0.5,1.0,1.0
inflection,low,1,0.6,1.0,1.0
inflection,low,1,0.7,1.0,1.0
inflection,low,3,0.2,1.0,1.0
inflection,low,3,0.3,1.0,1.0
inflection,low,3,0.4,1.0,1.0
inflection,low,3,0.5,1.0,1.0
inflection,low,3,0.6,1.0,1.0
inflection,low,3,0.7,1.0,1.0
inflection,low,5,0.2,0.8666666666666667,1.0
inflection,low,5,0.3,0.8666666666666667,1.0
inflection,low,5,0.4,0.8666666666666667,1.0
inflection,low,5,0.5,0.8666666666666667,1.0
inflection,low,5,0.6,0.8666666666666667,1.0
inflection,low,5,0.7,0.8666666666666667,1.0
inflection,mid,1,0.2,1.0,1.0
inflection,mid,1,0.3,1.0,1.0
inflection,mid,1,0.4,1.0,1.0
inflection,mid,1,0.5,1.0,1.0
inflection,mid,1,0.6,1.0,1.0
