primitive,separability,dof,prefix,lo,hi
asymptote,high,1,0.2,0.21666666666666667,0.6
asymptote,high,1,0.3,0.3,0.7000000000000001
asymptote,high,1,0.4,0.35000000000000003,0.7666666666666666
asymptote,high,1,0.5,0.4666666666666666,0.85
asymptote,high,1,0.6,0.4666666666666666,0.85
asymptote,high,1,0.7,0.4833333333333334,0.8666666666666667
asymptote,high,3,0.2,0.21666666666666667,0.6
asymptote,high,3,0.3,0.3,0.7000000000000001
asymptote,high,3,0.4,0.3666666666666667,0.7666666666666666
asymptote,high,3,0.5,0.4666666666666666,0.85
asymptote,high,3,0.6,0.4666666666666666,0.85
asymptote,high,3,0.7,0.4833333333333334,0.8666666666666667
asymptote,high,5,0.2,0.21666666666666667,0.6
asymptote,high,5,0.3,0.3,0.7166666666666667
asymptote,high,5,0.4,0.3666666666666667,0.7666666666666666
asymptote,high,5,0.5,0.4666666666666666,0.85
asymptote,high,5,0.6,0.4666666666666666,0.8666666666666667
asymptote,high,5,0.7,0.4833333333333334,0.8666666666666667
asymptote,low,1,0.2,0.0,0.0
asymptote,low,1,0.3,0.0,0.0
asymptote,low,1,0.4,0.0,0.0
asymptote,low,1,0.5,0.0,0.0
asymptote,low,1,0.6,0.0,0.0
asymptote,low,1,0.7,0.0,0.0
asymptote,low,3,0.2,0.0,0.0
asymptote,low,3,0.3,0.0,0.0
asymptote,low,3,0.4,0.0,0.0
asymptote,low,3,0.5,0.0,0.0
asymptote,low,3,0.6,0.0,0.0
asymptote,low,3,0.7,0.0,0.0
asymptote,low,5,0.2,0.0,0.0
asymptote,low,5,0.3,0.0,0.0
asymptote,low,5,0.4,0.0,0.0
asymptote,low,5,0.5,0.0,0.0
asymptote,low,5,0.6,0.0,0.0
asymptote,low,5,0.7,0.0,0.0
asymptote,mid,1,0.2,0.0,0.2333333333333333
asymptote,mid,1,0.3,0.13333333333333333,0.5333333333333333
asymptote,mid,1,0.4,0.2333333333333333,0.6333333333333333
asymptote,mid,1,0.5,0.2833333333333333,0.6833333333333332
asymptote,mid,1,0.6,0.3333333333333333,0.7333333333333334
asymptote,mid,1,0.7,0.3499999999999999,0.75
asymptote,mid,3,0.2,0.0,0.2333333333333333
asymptote,mid,3,0.3,0.13333333333333333,0.5166666666666667
asymptote,mid,3,0.4,0.21666666666666667,0.6166666666666667
asymptote,mid,3,0.5,0.26666666666666666,0.6666666666666666
asymptote,mid,3,0.6,0.31666666666666665,0.7333333333333334
asymptote,mid,3,0.7,0.3333333333333333,0.7333333333333334
asymptote,mid,5,0.2,0.0,0.2333333333333333
asymptote,mid,5,0.3,0.13333333333333333,0.5166666666666667
