primitive,separability,dof,prefix,state,fraction
asymptote,high,1,0.2,external-informative,0.6
asymptote,high,1,0.2,observed+informative,0.39999999999999997
asymptote,high,1,0.3,external-informative,0.5166666666666667
asymptote,high,1,0.3,observed+informative,0.48333333333333334
asymptote,high,1,0.4,external-informative,0.5333333333333333
asymptote,high,1,0.4,measurement-unreliable,0.05
asymptote,high,1,0.4,observed+informative,0.45
asymptote,high,1,0.5,external-informative,0.4166666666666667
asymptote,high,1,0.5,measurement-unreliable,0.21666666666666667
asymptote,high,1,0.5,observed+informative,0.3666666666666667
asymptote,high,1,0.6,external-informative,0.26666666666666666
asymptote,high,1,0.6,measurement-unreliable,0.4833333333333334
asymptote,high,1,0.6,observed+informative,0.25
asymptote,high,1,0.7,external-informative,0.16666666666666666
asymptote,high,1,0.7,measurement-unreliable,0.65
asymptote,high,1,0.7,observed+informative,0.18333333333333335
asymptote,high,3,0.2,external-informative,0.6
asymptote,high,3,0.2,observed+informative,0.39999999999999997
asymptote,high,3,0.3,external-informative,0.5166666666666667
asymptote,high,3,0.3,measurement-unreliable,0.07500000000000001
asymptote,high,3,0.3,observed+informative,0.43333333333333335
asymptote,high,3,0.4,external-informative,0.5
asymptote,high,3,0.4,measurement-unreliable,0.21666666666666667
asymptote,high,3,0.4,observed+informative,0.2833333333333334
asymptote,high,3,0.5,external-informative,0.35000000000000003
asymptote,high,3,0.5,measurement-unreliable,0.35000000000000003
asymptote,high,3,0.5,observed+informative,0.3
asymptote,high,3,0.6,external-informative,0.26666666666666666
asymptote,high,3,0.6,measurement-unreliable,0.5166666666666667
asymptote,high,3,0.6,observed+informative,0.21666666666666667
asymptote,high,3,0.7,external-informative,0.16666666666666666
asymptote,high,3,0.7,measurement-unreliable,0.65
asymptote,high,3,0.7,observed+informative,0.18333333333333335
asymptote,high,5,0.2,external-informative,0.6
asymptote,high,5,0.2,observed+informative,0.39999999999999997
asymptote,high,5,0.3,external-informative,0.5166666666666667
asymptote,high,5,0.3,measurement-unreliable,0.18333333333333335
asymptote,high,5,0.3,observed+informative,0.3
asymptote,high,5,0.4,external-informative,0.4166666666666667
asymptote,high,5,0.4,measurement-unreliable,0.43333333333333335
asymptote,high,5,0.4,observed+informative,0.15
asymptote,high,5,0.5,external-informative,0.21666666666666667
asymptote,high,5,0.5,measurement-unreliable,0.5833333333333334
asymptote,high,5,0.5,observed+informative,0.19999999999999998
asymptote,high,5,0.6,external-informative,0.16666666666666666
asymptote,high,5,0.6,measurement-unreliable,0.6666666666666666
asymptote,high,5,0.6,observed+informative,0.16666666666666666
asymptote,high,5,0.7,external-informative,0.09999999999999999
asymptote,high,5,0.7,measurement-unreliable,0.75
asymptote,high,5,0.7,observed+informative,0.15
asymptote,low,1,0.2,external-informative,1.0
asymptote,low,1,0.3,external-informative,1.0
asymptote,low,1,0.4,external-informative,0.9833333333333334
asymptote,low,1,0.4,measurement-unreliable,0.05
asymptote,low,1,0.5,external-informative,0.9500000000000001
asymptote,low,1,0.5,measurement-unreliable,0.07500000000000001
asymptote,low,1,0.6,external-informative,0.7833333333333333
