task_id,primitive,separability,eta,generator,seed,dof,E_add,E_obs,E_joint,E_red,E_red_at_risk,E_red_reentry,informational_null,sampler_unresolved_final,joint_unresolved
direction:low:spline:0,direction,low,0.2,spline,0,1,0.2,,,,0,,0,0,1
direction:low:spline:0,direction,low,0.2,spline,0,3,0.2,,,,0,,0,0,1
direction:low:spline:0,direction,low,0.2,spline,0,5,0.2,,,,0,,0,0,1
direction:low:spline:1,direction,low,0.2,spline,1,1,0.2,,,,0,,0,1,0
direction:low:spline:1,direction,low,0.2,spline,1,3,0.2,,,,0,,0,1,0
direction:low:spline:1,direction,low,0.2,spline,1,5,0.2,,,,0,,0,1,0
direction:low:spline:2,direction,low,0.2,spline,2,1,0.2,,,,0,,0,1,0
direction:low:spline:2,direction,low,0.2,spline,2,3,0.2,,,,0,,0,1,0
direction:low:spline:2,direction,low,0.2,spline,2,5,0.2,,,,0,,0,1,0
direction:low:spline:3,direction,low,0.2,spline,3,1,0.2,,,,0,,0,0,1
direction:low:spline:3,direction,low,0.2,spline,3,3,0.2,,,,0,,0,0,1
direction:low:spline:3,direction,low,0.2,spline,3,5,0.2,,,,0,,0,0,1
direction:low:spline:4,direction,low,0.2,spline,4,1,0.2,,,,0,,0,0,1
direction:low:spline:4,direction,low,0.2,spline,4,3,0.2,,,,0,,0,0,1
direction:low:spline:4,direction,low,0.2,spline,4,5,0.2,,,,0,,0,1,0
direction:low:spline:5,direction,low,0.2,spline,5,1,0.2,,,,0,,0,0,1
direction:low:spline:5,direction,low,0.2,spline,5,3,0.2,,,,0,,0,1,0
direction:low:spline:5,direction,low,0.2,spline,5,5,0.2,,,,0,,0,0,1
direction:low:spline:6,direction,low,0.2,spline,6,1,0.2,,,,0,,0,0,1
direction:low:spline:6,direction,low,0.2,spline,6,3,0.2,,,,0,,0,0,1
direction:low:spline:6,direction,low,0.2,spline,6,5,0.2,,,,0,,0,0,1
direction:low:spline:7,direction,low,0.2,spline,7,1,0.2,,,,0,,0,1,0
direction:low:spline:7,direction,low,0.2,spline,7,3,0.2,,,,0,,0,1,0
direction:low:spline:7,direction,low,0.2,spline,7,5,0.2,,,,0,,0,1,0
direction:low:spline:8,direction,low,0.2,spline,8,1,0.2,,,,0,,0,0,1
direction:low:spline:8,direction,low,0.2,spline,8,3,0.2,,,,0,,0,0,1
direction:low:spline:8,direction,low,0.2,spline,8,5,0.2,,,,0,,0,0,1
direction:low:spline:9,direction,low,0.2,spline,9,1,0.2,,,,0,,0,0,1
direction:low:spline:9,direction,low,0.2,spline,9,3,0.2,,,,0,,0,0,1
direction:low:spline:9,direction,low,0.2,spline,9,5,0.2,,,,0,,0,0,1
direction:low:spline:10,direction,low,0.2,spline,10,1,0.2,,,,0,,0,0,1
direction:low:spline:10,direction,low,0.2,spline,10,3,0.2,,,,0,,0,0,1
direction:low:spline:10,direction,low,0.2,spline,10,5,0.2,,,,0,,0,0,1
direction:low:spline:11,direction,low,0.2,spline,11,1,0.2,,,,0,,0,0,1
direction:low:spline:11,direction,low,0.2,spline,11,3,0.2,,,,0,,0,0,1
direction:low:spline:11,direction,low,0.2,spline,11,5,0.2,,,,0,,0,0,1
direction:low:spline:12,direction,low,0.2,spline,12,1,0.2,,,,0,,0,1,0
direction:low:spline:12,direction,low,0.2,spline,12,3,0.2,,,,0,,0,1,0
direction:low:spline:12,direction,low,0.2,spline,12,5,0.2,,,,0,,0,1,0
direction:low:spline:13,direction,low,0.2,spline,13,1,0.2,,,,0,,0,1,0
direction:low:spline:13,direction,low,0.2,spline,13,3,0.2,,,,0,,0,1,0
direction:low:spline:13,direction,low,0.2,spline,13,5,0.2,,,,0,,0,1,0
direction:low:spline:14,direction,low,0.2,spline,14,1,0.2,,,,0,,0,0,1
direction:low:spline:14,direction,low,0.2,spline,14,3,0.2,,,,0,,0,0,1
direction:low:spline:14,direction,low,0.2,spline,14,5,0.2,,,,0,,0,0,1
direction:low:spline:15,direction,low,0.2,spline,15,1,0.2,,,,0,,0,0,1
direction:low:spline:15,direction,low,0.2,spline,15,3,0.2,,,,0,,0,0,1
direction:low:spline:15,direction,low,0.2,spline,15,5,0.2,,,,0,,0,0,1
direction:low:spline:16,direction,low,0.2,spline,16,1,0.2,,,,0,,0,0,1
direction:low:spline:16,direction,low,0.2,spline,16,3,0.2,,,,0,,0,0,1
direction:low:spline:16,direction,low,0.2,spline,16,5,0.2,,,,0,,0,0,1
direction:low:spline:17,direction,low,0.2,spline,17,1,0.2,,,,0,,0,0,1
direction:low:spline:17,direction,low,0.2,spline,17,3,0.2,,,,0,,0,0,1
