task_id,rows,nested_prefixes,shared_bank,inactive_zero,fixed_grid,coverage_all_one,finite_metrics,toy_endpoint_logic,future_free_scoring_api
direction:low:spline:0,18,True,True,True,True,True,True,True,True
direction:low:basis:0,18,True,True,True,True,True,True,True,True
direction:low:ode:0,18,True,True,True,True,True,True,True,True
direction:mid:spline:0,18,True,True,True,True,True,True,True,True
direction:mid:basis:0,18,True,True,True,True,True,True,True,True
direction:mid:ode:0,18,True,True,True,True,True,True,True,True
direction:high:spline:0,18,True,True,True,True,True,True,True,True
direction:high:basis:0,18,True,True,True,True,True,True,True,True
direction:high:ode:0,18,True,True,True,True,True,True,True,True
curvature:low:spline:0,18,True,True,True,True,True,True,True,True
curvature:low:basis:0,18,True,True,True,True,True,True,True,True
curvature:low:ode:0,18,True,True,True,True,True,True,True,True
curvature:mid:spline:0,18,True,True,True,True,True,True,True,True
curvature:mid:basis:0,18,True,True,True,True,True,True,True,True
curvature:mid:ode:0,18,True,True,True,True,True,True,True,True
curvature:high:spline:0,18,True,True,True,True,True,True,True,True
curvature:high:basis:0,18,True,True,True,True,True,True,True,True
curvature:high:ode:0,18,True,True,True,True,True,True,True,True
inflection:low:spline:0,18,True,True,True,True,True,True,True,True
inflection:low:basis:0,18,True,True,True,True,True,True,True,True
inflection:low:ode:0,18,True,True,True,True,True,True,True,True
inflection:mid:spline:0,18,True,True,True,True,True,True,True,True
inflection:mid:basis:0,18,True,True,True,True,True,True,True,True
inflection:mid:ode:0,18,True,True,True,True,True,True,True,True
inflection:high:spline:0,18,True,True,True,True,True,True,True,True
inflection:high:basis:0,18,True,True,True,True,True,True,True,True
inflection:high:ode:0,18,True,True,True,True,True,True,True,True
turning:low:spline:0,18,True,True,True,True,True,True,True,True
turning:low:basis:0,18,True,True,True,True,True,True,True,True
turning:low:ode:0,18,True,True,True,True,True,True,True,True
turning:mid:spline:0,18,True,True,True,True,True,True,True,True
turning:mid:basis:0,18,True,True,True,True,True,True,True,True
turning:mid:ode:0,18,True,True,True,True,True,True,True,True
turning:high:spline:0,18,True,True,True,True,True,True,True,True
turning:high:basis:0,18,True,True,True,True,True,True,True,True
turning:high:ode:0,18,True,True,True,True,True,True,True,True
regime:low:spline:0,18,True,True,True,True,True,True,True,True
regime:low:basis:0,18,True,True,True,True,True,True,True,True
regime:low:ode:0,18,True,True,True,True,True,True,True,True
regime:mid:spline:0,18,True,True,True,True,True,True,True,True
regime:mid:basis:0,18,True,True,True,True,True,True,True,True
regime:mid:ode:0,18,True,True,True,True,True,True,True,True
regime:high:spline:0,18,True,True,True,True,True,True,True,True
regime:high:basis:0,18,True,True,True,True,True,True,True,True
regime:high:ode:0,18,True,True,True,True,True,True,True,True
bound:low:spline:0,18,True,True,True,True,True,True,True,True
bound:low:basis:0,18,True,True,True,True,True,True,True,True
bound:low:ode:0,18,True,True,True,True,True,True,True,True
bound:mid:spline:0,18,True,True,True,True,True,True,True,True
bound:mid:basis:0,18,True,True,True,True,True,True,True,True
bound:mid:ode:0,18,True,True,True,True,True,True,True,True
bound:high:spline:0,18,True,True,True,True,True,True,True,True
bound:high:basis:0,18,True,True,True,True,True,True,True,True
bound:high:ode:0,18,True,True,True,True,True,True,True,True
asymptote:low:spline:0,18,True,True,True,True,True,True,True,True
asymptote:low:basis:0,18,True,True,True,True,True,True,True,True
asymptote:low:ode:0,18,True,True,True,True,True,True,True,True
asymptote:mid:spline:0,18,True,True,True,True,True,True,True,True
asymptote:mid:basis:0,18,True,True,True,True,True,True,True,True
asymptote:mid:ode:0,18,True,True,True,True,True,True,True,True
asymptote:high:spline:0,18,True,True,True,True,True,True,True,True
asymptote:high:basis:0,18,True,True,True,True,True,True,True,True
asymptote:high:ode:0,18,True,True,True,True,True,True,True,True
