primitive,tier,persistent
asymptote,local,0.0
asymptote,medium,0.0
asymptote,persistent_within_domain,1.0
bound,local,0.0
bound,medium,0.0
bound,persistent_within_domain,1.0
curvature,local,0.0
curvature,medium,0.0
curvature,persistent_within_domain,1.0
direction,local,0.0
direction,medium,0.0
direction,persistent_within_domain,1.0
inflection,local,0.0
inflection,medium,0.0
inflection,persistent_within_domain,1.0
regime,local,0.0
regime,medium,0.0
regime,persistent_within_domain,1.0
turning,local,0.0
turning,medium,0.0
turning,persistent_within_domain,1.0
