primitive,tier,horizon,V_raw,C_contiguous
asymptote,local,0.45,1.0,1.0
asymptote,local,0.5,1.0,1.0
asymptote,local,0.6,0.0,0.0
asymptote,local,0.7,0.0,0.0
asymptote,local,0.8,0.0,0.0
asymptote,local,0.9,0.0,0.0
asymptote,local,1.0,0.0,0.0
asymptote,medium,0.45,1.0,1.0
asymptote,medium,0.5,1.0,1.0
asymptote,medium,0.6,1.0,1.0
asymptote,medium,0.7,1.0,1.0
asymptote,medium,0.8,0.17777777777777778,0.17777777777777778
asymptote,medium,0.9,0.0,0.0
asymptote,medium,1.0,0.0,0.0
asymptote,persistent_within_domain,0.45,1.0,1.0
asymptote,persistent_within_domain,0.5,1.0,1.0
asymptote,persistent_within_domain,0.6,1.0,1.0
asymptote,persistent_within_domain,0.7,1.0,1.0
asymptote,persistent_within_domain,0.8,1.0,1.0
asymptote,persistent_within_domain,0.9,1.0,1.0
asymptote,persistent_within_domain,1.0,1.0,1.0
bound,local,0.45,1.0,1.0
bound,local,0.5,1.0,1.0
bound,local,0.6,1.0,1.0
bound,local,0.7,0.0,0.0
bound,local,0.8,0.0,0.0
bound,local,0.9,0.0,0.0
bound,local,1.0,0.0,0.0
bound,medium,0.45,1.0,1.0
bound,medium,0.5,1.0,1.0
bound,medium,0.6,1.0,1.0
bound,medium,0.7,1.0,1.0
bound,medium,0.8,1.0,1.0
bound,medium,0.9,0.05555555555555555,0.05555555555555555
bound,medium,1.0,0.0,0.0
bound,persistent_within_domain,0.45,1.0,1.0
bound,persistent_within_domain,0.5,1.0,1.0
bound,persistent_within_domain,0.6,1.0,1.0
bound,persistent_within_domain,0.7,1.0,1.0
bound,persistent_within_domain,0.8,1.0,1.0
bound,persistent_within_domain,0.9,1.0,1.0
bound,persistent_within_domain,1.0,1.0,1.0
curvature,local,0.45,1.0,1.0
curvature,local,0.5,1.0,1.0
curvature,local,0.6,0.09999999999999999,0.09999999999999999
curvature,local,0.7,0.0,0.0
curvature,local,0.8,0.0,0.0
curvature,local,0.9,0.0,0.0
curvature,local,1.0,0.0,0.0
curvature,medium,0.45,1.0,1.0
curvature,medium,0.5,1.0,1.0
curvature,medium,0.6,1.0,1.0
curvature,medium,0.7,1.0,1.0
curvature,medium,0.8,0.7444444444444445,0.7444444444444445
curvature,medium,0.9,0.0,0.0
curvature,medium,1.0,0.0,0.0
curvature,persistent_within_domain,0.45,1.0,1.0
curvature,persistent_within_domain,0.5,1.0,1.0
curvature,persistent_within_domain,0.6,1.0,1.0
curvature,persistent_within_domain,0.7,1.0,1.0
curvature,persistent_within_domain,0.8,1.0,1.0
curvature,persistent_within_domain,0.9,1.0,1.0
curvature,persistent_within_domain,1.0,1.0,1.0
direction,local,0.45,1.0,1.0
direction,local,0.5,1.0,1.0
direction,local,0.6,1.0,1.0
direction,local,0.7,0.0,0.0
direction,local,0.8,0.0,0.0
direction,local,0.9,0.0,0.0
direction,local,1.0,0.0,0.0
direction,medium,0.45,1.0,1.0
direction,medium,0.5,1.0,1.0
direction,medium,0.6,1.0,1.0
direction,medium,0.7,1.0,1.0
direction,medium,0.8,1.0,1.0
direction,medium,0.9,0.2222222222222222,0.2222222222222222
direction,medium,1.0,0.0,0.0
direction,persistent_within_domain,0.45,1.0,1.0
direction,persistent_within_domain,0.5,1.0,1.0
direction,persistent_within_domain,0.6,1.0,1.0
direction,persistent_within_domain,0.7,1.0,1.0
direction,persistent_within_domain,0.8,1.0,1.0
direction,persistent_within_domain,0.9,1.0,1.0
direction,persistent_within_domain,1.0,1.0,1.0
inflection,local,0.45,1.0,1.0
inflection,local,0.5,1.0,1.0
inflection,local,0.6,0.0,0.0
inflection,local,0.7,0.0,0.0
inflection,local,0.8,0.0,0.0
inflection,local,0.9,0.0,0.0
inflection,local,1.0,0.0,0.0
inflection,medium,0.45,1.0,1.0
inflection,medium,0.5,1.0,1.0
inflection,medium,0.6,1.0,1.0
inflection,medium,0.7,1.0,1.0
inflection,medium,0.8,0.5555555555555555,0.5555555555555555
inflection,medium,0.9,0.0,0.0
inflection,medium,1.0,0.0,0.0
inflection,persistent_within_domain,0.45,1.0,1.0
inflection,persistent_within_domain,0.5,1.0,1.0
inflection,persistent_within_domain,0.6,1.0,1.0
inflection,persistent_within_domain,0.7,1.0,1.0
inflection,persistent_within_domain,0.8,1.0,1.0
inflection,persistent_within_domain,0.9,1.0,1.0
inflection,persistent_within_domain,1.0,1.0,1.0
regime,local,0.45,1.0,1.0
regime,local,0.5,1.0,1.0
regime,local,0.6,0.0,0.0
regime,local,0.7,0.0,0.0
regime,local,0.8,0.0,0.0
regime,local,0.9,0.0,0.0
regime,local,1.0,0.0,0.0
regime,medium,0.45,1.0,1.0
regime,medium,0.5,1.0,1.0
regime,medium,0.6,1.0,1.0
regime,medium,0.7,1.0,1.0
regime,medium,0.8,0.2888888888888889,0.2888888888888889
regime,medium,0.9,0.0,0.0
regime,medium,1.0,0.0,0.0
regime,persistent_within_domain,0.45,1.0,1.0
