index,primitive,tier,count,median,mean
0,asymptote,local,90,0.5,0.5
1,asymptote,medium,90,0.7,0.7177777777777777
2,asymptote,persistent_within_domain,90,1.0,1.0
3,bound,local,90,0.6,0.6
4,bound,medium,90,0.8,0.8055555555555556
5,bound,persistent_within_domain,90,1.0,1.0
6,curvature,local,90,0.5,0.51
7,curvature,medium,90,0.8,0.7744444444444445
8,curvature,persistent_within_domain,90,1.0,1.0
9,direction,local,90,0.6,0.6
10,direction,medium,90,0.8,0.8222222222222222
11,direction,persistent_within_domain,90,1.0,1.0
12,inflection,local,90,0.5,0.5
13,inflection,medium,90,0.8,0.7555555555555555
14,inflection,persistent_within_domain,90,1.0,1.0
15,regime,local,90,0.5,0.5
16,regime,medium,90,0.7,0.7288888888888888
17,regime,persistent_within_domain,90,1.0,1.0
18,turning,local,90,0.6,0.5566666666666666
19,turning,medium,90,0.8,0.7844444444444445
20,turning,persistent_within_domain,90,1.0,1.0
