task_id,first_interval_valid,event_preboundary,contiguous_nonincreasing,expected_scope_bracket,clean_oracle_only
direction:local:spline:0,True,True,True,True,True
direction:local:spline:1,True,True,True,True,True
direction:local:spline:2,True,True,True,True,True
direction:local:spline:3,True,True,True,True,True
direction:local:spline:4,True,True,True,True,True
direction:local:spline:5,True,True,True,True,True
direction:local:spline:6,True,True,True,True,True
direction:local:spline:7,True,True,True,True,True
direction:local:spline:8,True,True,True,True,True
direction:local:spline:9,True,True,True,True,True
direction:local:spline:10,True,True,True,True,True
direction:local:spline:11,True,True,True,True,True
direction:local:spline:12,True,True,True,True,True
direction:local:spline:13,True,True,True,True,True
direction:local:spline:14,True,True,True,True,True
direction:local:spline:15,True,True,True,True,True
direction:local:spline:16,True,True,True,True,True
direction:local:spline:17,True,True,True,True,True
direction:local:spline:18,True,True,True,True,True
direction:local:spline:19,True,True,True,True,True
direction:local:spline:20,True,True,True,True,True
direction:local:spline:21,True,True,True,True,True
direction:local:spline:22,True,True,True,True,True
direction:local:spline:23,True,True,True,True,True
direction:local:spline:24,True,True,True,True,True
direction:local:spline:25,True,True,True,True,True
direction:local:spline:26,True,True,True,True,True
direction:local:spline:27,True,True,True,True,True
direction:local:spline:28,True,True,True,True,True
direction:local:spline:29,True,True,True,True,True
direction:local:basis:0,True,True,True,True,True
direction:local:basis:1,True,True,True,True,True
direction:local:basis:2,True,True,True,True,True
direction:local:basis:3,True,True,True,True,True
direction:local:basis:4,True,True,True,True,True
direction:local:basis:5,True,True,True,True,True
direction:local:basis:6,True,True,True,True,True
direction:local:basis:7,True,True,True,True,True
direction:local:basis:8,True,True,True,True,True
direction:local:basis:9,True,True,True,True,True
direction:local:basis:10,True,True,True,True,True
direction:local:basis:11,True,True,True,True,True
direction:local:basis:12,True,True,True,True,True
direction:local:basis:13,True,True,True,True,True
direction:local:basis:14,True,True,True,True,True
direction:local:basis:15,True,True,True,True,True
direction:local:basis:16,True,True,True,True,True
direction:local:basis:17,True,True,True,True,True
direction:local:basis:18,True,True,True,True,True
direction:local:basis:19,True,True,True,True,True
direction:local:basis:20,True,True,True,True,True
direction:local:basis:21,True,True,True,True,True
direction:local:basis:22,True,True,True,True,True
direction:local:basis:23,True,True,True,True,True
direction:local:basis:24,True,True,True,True,True
direction:local:basis:25,True,True,True,True,True
direction:local:basis:26,True,True,True,True,True
direction:local:basis:27,True,True,True,True,True
direction:local:basis:28,True,True,True,True,True
direction:local:basis:29,True,True,True,True,True
direction:local:ode:0,True,True,True,True,True
direction:local:ode:1,True,True,True,True,True
direction:local:ode:2,True,True,True,True,True
direction:local:ode:3,True,True,True,True,True
direction:local:ode:4,True,True,True,True,True
direction:local:ode:5,True,True,True,True,True
direction:local:ode:6,True,True,True,True,True
direction:local:ode:7,True,True,True,True,True
direction:local:ode:8,True,True,True,True,True
direction:local:ode:9,True,True,True,True,True
direction:local:ode:10,True,True,True,True,True
direction:local:ode:11,True,True,True,True,True
direction:local:ode:12,True,True,True,True,True
direction:local:ode:13,True,True,True,True,True
direction:local:ode:14,True,True,True,True,True
direction:local:ode:15,True,True,True,True,True
direction:local:ode:16,True,True,True,True,True
direction:local:ode:17,True,True,True,True,True
direction:local:ode:18,True,True,True,True,True
direction:local:ode:19,True,True,True,True,True
direction:local:ode:20,True,True,True,True,True
direction:local:ode:21,True,True,True,True,True
direction:local:ode:22,True,True,True,True,True
direction:local:ode:23,True,True,True,True,True
direction:local:ode:24,True,True,True,True,True
direction:local:ode:25,True,True,True,True,True
direction:local:ode:26,True,True,True,True,True
direction:local:ode:27,True,True,True,True,True
direction:local:ode:28,True,True,True,True,True
direction:local:ode:29,True,True,True,True,True
direction:medium:spline:0,True,True,True,True,True
direction:medium:spline:1,True,True,True,True,True
direction:medium:spline:2,True,True,True,True,True
direction:medium:spline:3,True,True,True,True,True
direction:medium:spline:4,True,True,True,True,True
direction:medium:spline:5,True,True,True,True,True
direction:medium:spline:6,True,True,True,True,True
direction:medium:spline:7,True,True,True,True,True
direction:medium:spline:8,True,True,True,True,True
direction:medium:spline:9,True,True,True,True,True
direction:medium:spline:10,True,True,True,True,True
direction:medium:spline:11,True,True,True,True,True
direction:medium:spline:12,True,True,True,True,True
direction:medium:spline:13,True,True,True,True,True
direction:medium:spline:14,True,True,True,True,True
direction:medium:spline:15,True,True,True,True,True
direction:medium:spline:16,True,True,True,True,True
direction:medium:spline:17,True,True,True,True,True
direction:medium:spline:18,True,True,True,True,True
direction:medium:spline:19,True,True,True,True,True
direction:medium:spline:20,True,True,True,True,True
direction:medium:spline:21,True,True,True,True,True
direction:medium:spline:22,True,True,True,True,True
direction:medium:spline:23,True,True,True,True,True
direction:medium:spline:24,True,True,True,True,True
direction:medium:spline:25,True,True,True,True,True
direction:medium:spline:26,True,True,True,True,True
direction:medium:spline:27,True,True,True,True,True
direction:medium:spline:28,True,True,True,True,True
direction:medium:spline:29,True,True,True,True,True
direction:medium:basis:0,True,True,True,True,True
