task_id,primitive,tier,generator,seed,horizon,V_raw,C_contiguous,H_valid,tau_v
direction:local:spline:0,direction,local,spline,0,0.45,1,1,0.6,0.5347327803180555
direction:local:spline:0,direction,local,spline,0,0.5,1,1,0.6,0.5347327803180555
direction:local:spline:0,direction,local,spline,0,0.6,1,1,0.6,0.5347327803180555
direction:local:spline:0,direction,local,spline,0,0.7,0,0,0.6,0.5347327803180555
direction:local:spline:0,direction,local,spline,0,0.8,0,0,0.6,0.5347327803180555
direction:local:spline:0,direction,local,spline,0,0.9,0,0,0.6,0.5347327803180555
direction:local:spline:0,direction,local,spline,0,1.0,0,0,0.6,0.5347327803180555
direction:local:spline:1,direction,local,spline,1,0.45,1,1,0.6,0.547599922390259
direction:local:spline:1,direction,local,spline,1,0.5,1,1,0.6,0.547599922390259
direction:local:spline:1,direction,local,spline,1,0.6,1,1,0.6,0.547599922390259
direction:local:spline:1,direction,local,spline,1,0.7,0,0,0.6,0.547599922390259
direction:local:spline:1,direction,local,spline,1,0.8,0,0,0.6,0.547599922390259
direction:local:spline:1,direction,local,spline,1,0.9,0,0,0.6,0.547599922390259
direction:local:spline:1,direction,local,spline,1,1.0,0,0,0.6,0.547599922390259
direction:local:spline:2,direction,local,spline,2,0.45,1,1,0.6,0.5423625576928056
direction:local:spline:2,direction,local,spline,2,0.5,1,1,0.6,0.5423625576928056
direction:local:spline:2,direction,local,spline,2,0.6,1,1,0.6,0.5423625576928056
direction:local:spline:2,direction,local,spline,2,0.7,0,0,0.6,0.5423625576928056
direction:local:spline:2,direction,local,spline,2,0.8,0,0,0.6,0.5423625576928056
direction:local:spline:2,direction,local,spline,2,0.9,0,0,0.6,0.5423625576928056
direction:local:spline:2,direction,local,spline,2,1.0,0,0,0.6,0.5423625576928056
direction:local:spline:3,direction,local,spline,3,0.45,1,1,0.6,0.5399257981981775
direction:local:spline:3,direction,local,spline,3,0.5,1,1,0.6,0.5399257981981775
direction:local:spline:3,direction,local,spline,3,0.6,1,1,0.6,0.5399257981981775
direction:local:spline:3,direction,local,spline,3,0.7,0,0,0.6,0.5399257981981775
direction:local:spline:3,direction,local,spline,3,0.8,0,0,0.6,0.5399257981981775
direction:local:spline:3,direction,local,spline,3,0.9,0,0,0.6,0.5399257981981775
direction:local:spline:3,direction,local,spline,3,1.0,0,0,0.6,0.5399257981981775
direction:local:spline:4,direction,local,spline,4,0.45,1,1,0.6,0.5467970942012017
direction:local:spline:4,direction,local,spline,4,0.5,1,1,0.6,0.5467970942012017
direction:local:spline:4,direction,local,spline,4,0.6,1,1,0.6,0.5467970942012017
direction:local:spline:4,direction,local,spline,4,0.7,0,0,0.6,0.5467970942012017
direction:local:spline:4,direction,local,spline,4,0.8,0,0,0.6,0.5467970942012017
direction:local:spline:4,direction,local,spline,4,0.9,0,0,0.6,0.5467970942012017
direction:local:spline:4,direction,local,spline,4,1.0,0,0,0.6,0.5467970942012017
direction:local:spline:5,direction,local,spline,5,0.45,1,1,0.6,0.5260147435308989
direction:local:spline:5,direction,local,spline,5,0.5,1,1,0.6,0.5260147435308989
direction:local:spline:5,direction,local,spline,5,0.6,1,1,0.6,0.5260147435308989
direction:local:spline:5,direction,local,spline,5,0.7,0,0,0.6,0.5260147435308989
direction:local:spline:5,direction,local,spline,5,0.8,0,0,0.6,0.5260147435308989
direction:local:spline:5,direction,local,spline,5,0.9,0,0,0.6,0.5260147435308989
direction:local:spline:5,direction,local,spline,5,1.0,0,0,0.6,0.5260147435308989
direction:local:spline:6,direction,local,spline,6,0.45,1,1,0.6,0.5532664097527209
direction:local:spline:6,direction,local,spline,6,0.5,1,1,0.6,0.5532664097527209
