knowledge_state,prefix_exposure,n_tasks,mean_D1,ci_2_5,ci_97_5,analysis_role,bootstrap_replicates,bootstrap_unit,source_rows_sha256
broad,high,2520,-0.00433814802387716,-0.0045834460023366,-0.004098490845578268,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
broad,low,2520,-0.33225401042281116,-0.35695467116149515,-0.3080527629436092,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
broad,medium,2520,-0.015261541225382673,-0.016125884405273662,-0.014408846136214487,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
covered_biased,high,2520,-0.0009753046405756972,-0.0012005573772408506,-0.0007706792884053667,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
covered_biased,low,2520,-0.16266872716563377,-0.17366887476879375,-0.15211008692182817,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
covered_biased,medium,2520,-0.009296080198491688,-0.010881319103220766,-0.007842524361794296,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,high,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,low,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,medium,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
existence_only,high,2520,-0.016295915683858162,-0.016890349797793427,-0.015724117231348582,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
existence_only,low,2520,-0.30583957443995663,-0.3241531899248447,-0.2879845146039964,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
existence_only,medium,2520,-0.03975346369445543,-0.04124499012971066,-0.038260727531749604,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
narrow,high,2520,-0.0003943475016705119,-0.0004935124998699302,-0.00030358253037541204,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
narrow,low,2520,-0.16442292544296475,-0.17458550229097342,-0.15402615303453432,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
narrow,medium,2520,-0.006914179366859952,-0.00807342042253147,-0.005798120404672246,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
uncovered_biased,high,2520,-0.007884512745839345,-0.008937104869604447,-0.00686557414188427,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
uncovered_biased,low,2520,-0.13092135366266017,-0.14193474489996,-0.12036581244363127,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
uncovered_biased,medium,2520,-0.021629108385232958,-0.023815299750423458,-0.019455110120370257,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
