metric,knowledge_state,exposure_change,analysis_role,n_tasks,mean_change,ci_2_5,ci_97_5,bootstrap_replicates,bootstrap_unit,source_rows_sha256
D1,broad,high_minus_low,primary,2520,0.32791586239893405,0.30440126730359524,0.35217556833401664,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,medium_minus_low,secondary_diagnostic,2520,0.3169924691974285,0.2934667160995328,0.340777313593893,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,high_minus_medium,secondary_diagnostic,2520,0.010923393201505512,0.010298695041237916,0.011562131003108211,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,high_minus_low,primary,2520,0.16169342252505808,0.15105057065000793,0.17236865020231257,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,medium_minus_low,secondary_diagnostic,2520,0.1533726469671421,0.14319292380203152,0.16411093385256698,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,high_minus_medium,secondary_diagnostic,2520,0.008320775557915992,0.007047865645519869,0.009664166842199638,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,high_minus_low,equivalence_audit,2520,0.0,0.0,0.0,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,medium_minus_low,equivalence_audit,2520,0.0,0.0,0.0,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,high_minus_medium,equivalence_audit,2520,0.0,0.0,0.0,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,existence_only,high_minus_low,primary,2520,0.2895436587560985,0.2714848380818313,0.3072945424016672,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,existence_only,medium_minus_low,secondary_diagnostic,2520,0.26608611074550115,0.2492344994386705,0.2835268505152169,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,existence_only,high_minus_medium,secondary_diagnostic,2520,0.023457548010597278,0.022365511746340886,0.024554307609825594,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,narrow,high_minus_low,primary,2520,0.16402857794129422,0.15375895150115462,0.17474424154738036,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,narrow,medium_minus_low,secondary_diagnostic,2520,0.1575087460761048,0.1474933662798166,0.16760244981260816,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,narrow,high_minus_medium,secondary_diagnostic,2520,0.006519831865189441,0.0054894711204265785,0.007613730791363067,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,high_minus_low,validity_failure_stratum,2520,0.12303684091682081,0.11296802400346515,0.1335748871593012,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,medium_minus_low,validity_failure_stratum,2520,0.1092922452774272,0.09925576662971414,0.11962874387212157,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,high_minus_medium,validity_failure_stratum,2520,0.013744595639393615,0.012393342727270057,0.015122039423285551,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,high_minus_low,primary,2520,-0.05756782993133687,-0.06409437528987914,-0.05137812363163153,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,medium_minus_low,secondary_diagnostic,2520,-0.04512111982658454,-0.05032203184733028,-0.040010271252173574,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,high_minus_medium,secondary_diagnostic,2520,-0.012446710104752328,-0.013820577597853736,-0.011117760615496153,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,high_minus_low,primary,2520,-0.008830952556013636,-0.009938192842430107,-0.0077389606251753494,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,medium_minus_low,secondary_diagnostic,2520,-0.005348005253457427,-0.006527385011372631,-0.004177399119000729,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,high_minus_medium,secondary_diagnostic,2520,-0.003482947302556208,-0.0040474250017850065,-0.002955677620141296,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,high_minus_low,equivalence_audit,2520,0.0,0.0,0.0,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,medium_minus_low,equivalence_audit,2520,0.0,0.0,0.0,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,high_minus_medium,equivalence_audit,2520,0.0,0.0,0.0,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,high_minus_low,primary,2520,-0.08102543635610614,-0.0937923722006462,-0.06874717947500793,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,medium_minus_low,secondary_diagnostic,2520,-0.07814834841419928,-0.08921897142311415,-0.0674559458462988,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,high_minus_medium,secondary_diagnostic,2520,-0.00287708794190687,-0.004545515197061224,-0.0012965970641860578,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,high_minus_low,primary,2520,-0.009291063845337963,-0.010268401326234291,-0.008336710338631889,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,medium_minus_low,secondary_diagnostic,2520,-0.005405395486830114,-0.006384165845880887,-0.004421486426333678,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,high_minus_medium,secondary_diagnostic,2520,-0.00388566835850785,-0.004468755255943728,-0.0033235858151031863,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,high_minus_low,validity_failure_stratum,2520,-0.003019818863840337,-0.0047300073162823515,-0.0013807541818167794,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,medium_minus_low,validity_failure_stratum,2520,-0.002718940050988054,-0.004408950166129469,-0.0011166256886866175,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,high_minus_medium,validity_failure_stratum,2520,-0.0003008788128522826,-0.0006913028800563352,8.325793674760438e-05,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
