metric,knowledge_state,prefix_exposure,window,n_tasks,mean_contrast,ci_2_5,ci_97_5,analysis_role,bootstrap_replicates,bootstrap_unit,source_rows_sha256
D1,broad,high,within_scope,2520,-0.00023151162995110005,-0.00025272274800583564,-0.00021092186217292153,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,high,post_scope,2520,-0.00433814802387716,-0.004565562407835875,-0.004107450526615909,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,low,within_scope,2520,-0.060177086405254133,-0.0646883700017008,-0.05588300404486792,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,low,post_scope,2520,-0.33225401042281116,-0.35608840064581565,-0.3080660653046695,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,medium,within_scope,2520,-0.0016049907467716312,-0.0017083930656408154,-0.0015028331227247647,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,medium,post_scope,2520,-0.015261541225382673,-0.016137659521844323,-0.014424199335184096,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,high,within_scope,2520,-7.69764651866435e-05,-9.51678765677104e-05,-6.060836448442603e-05,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,high,post_scope,2520,-0.0009753046405756972,-0.0011945675248542025,-0.000771214238317565,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,low,within_scope,2520,-0.02973348243797901,-0.031753919149951876,-0.02775763229606516,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,low,post_scope,2520,-0.16266872716563377,-0.17323333555228287,-0.15227140966668073,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,medium,within_scope,2520,-0.0010941166224099875,-0.0012727912168608794,-0.0009208287995427205,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,medium,post_scope,2520,-0.009296080198491688,-0.010816074842923105,-0.007798952571949328,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,high,within_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,high,post_scope,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
