metric,knowledge_state,prefix_exposure,window_change,n_tasks,mean_change,ci_2_5,ci_97_5,analysis_role,bootstrap_replicates,bootstrap_unit,source_rows_sha256
D1,broad,high,post_minus_within,2520,-0.0041066363939260605,-0.004334780048277785,-0.003883001576742835,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,low,post_minus_within,2520,-0.27207692401755706,-0.2923328603117343,-0.25240802533994067,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,broad,medium,post_minus_within,2520,-0.013656550478611043,-0.014431403067840862,-0.012909052762948769,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,high,post_minus_within,2520,-0.0008983281753890536,-0.0011086064335714936,-0.0007114896853886779,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,low,post_minus_within,2520,-0.13293524472765478,-0.1416993313653247,-0.1244078431156317,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,covered_biased,medium,post_minus_within,2520,-0.008201963576081703,-0.009564413581237198,-0.0069011856550685695,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,high,post_minus_within,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,low,post_minus_within,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,exact,medium,post_minus_within,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,existence_only,high,post_minus_within,2520,-0.016034716475338228,-0.016616644798245317,-0.015477396986382938,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,existence_only,low,post_minus_within,2520,-0.2521851171409673,-0.2672966178562477,-0.23761019070575207,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,existence_only,medium,post_minus_within,2520,-0.037249762886633536,-0.03861276336440639,-0.035879526584957536,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,narrow,high,post_minus_within,2520,-0.00036250903594286984,-0.00045735399947600074,-0.0002778825532404302,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,narrow,low,post_minus_within,2520,-0.13434532536714464,-0.14278438750957553,-0.12580398616055724,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,narrow,medium,post_minus_within,2520,-0.006096180772320513,-0.007167092209025416,-0.005095751357773637,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,high,post_minus_within,2520,-0.007331805444444397,-0.008321519783728321,-0.006405252043882317,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,low,post_minus_within,2520,-0.10753929775322392,-0.11614776993787383,-0.09925345692747464,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D1,uncovered_biased,medium,post_minus_within,2520,-0.019180282178708534,-0.021157058800428386,-0.01727839152093733,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,high,post_minus_within,2520,0.017687585591967897,0.016455307317457733,0.018986936946576386,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,low,post_minus_within,2520,0.06244486288419286,0.05656413998931692,0.06865997020191765,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,broad,medium,post_minus_within,2520,0.02778843980646841,0.025443956083762004,0.030182605713491847,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,high,post_minus_within,2520,0.0017205640134174912,0.0013592743973758748,0.002121038356942371,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,low,post_minus_within,2520,0.008720866373123774,0.007894821951231114,0.00961406641318437,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,covered_biased,medium,post_minus_within,2520,0.004714526866501481,0.003981196823858163,0.005491734797663877,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,high,post_minus_within,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,low,post_minus_within,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,exact,medium,post_minus_within,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,high,post_minus_within,2520,0.049677955166111475,0.04733016871048654,0.052079104774393044,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,low,post_minus_within,2520,0.1083488177371923,0.09686987692824668,0.12036039096179539,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,medium,post_minus_within,2520,0.04903160819817211,0.04569359265143493,0.05256048116735188,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,high,post_minus_within,2520,0.0010515825725249228,0.0007877807692337388,0.001346286812033901,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,low,post_minus_within,2520,0.008502622279104116,0.0077162486337045205,0.009308162064193683,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,medium,post_minus_within,2520,0.00442971221492144,0.0037440790626987,0.0051616877941999375,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,high,post_minus_within,2520,0.007353814562955673,0.006499893446576845,0.008262247752661137,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,low,post_minus_within,2520,0.008920099765551363,0.007768109448170777,0.010175505047965657,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,medium,post_minus_within,2520,0.0072537978854616035,0.0064020906260928035,0.008165778468917143,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
