task_id,proposal_index,prefix_exposure,policy,nrmse
0,0,high,closed_mechanism,0.37163051218696175
0,0,high,invariant_residual_MAP,0.03363022605172132
0,0,high,invariant_residual_ensemble,0.04296644345288794
0,0,high,evidence_weighted_residual_mixture,0.0280592257111914
0,0,high,free_baseline,0.012426389605980772
0,0,low,closed_mechanism,0.37163051218696175
0,0,low,invariant_residual_MAP,0.8303245241742172
0,0,low,invariant_residual_ensemble,0.7338311722233515
0,0,low,evidence_weighted_residual_mixture,0.7341006221363505
0,0,low,free_baseline,0.7969929626463796
0,0,medium,closed_mechanism,0.37163051218696175
0,0,medium,invariant_residual_MAP,0.2094896222488828
0,0,medium,invariant_residual_ensemble,0.13530711619116662
0,0,medium,evidence_weighted_residual_mixture,0.14148538621765455
0,0,medium,free_baseline,0.1552248286199427
1,1,high,closed_mechanism,0.5908047673883181
1,1,high,invariant_residual_MAP,0.0045911054753109215
1,1,high,invariant_residual_ensemble,0.10274598204559339
1,1,high,evidence_weighted_residual_mixture,0.01307373507248794
1,1,high,free_baseline,0.023874084743002084
1,1,low,closed_mechanism,0.5908047673883181
1,1,low,invariant_residual_MAP,0.11361094198125916
1,1,low,invariant_residual_ensemble,0.08124890522349132
1,1,low,evidence_weighted_residual_mixture,0.03336711590500718
1,1,low,free_baseline,0.9194293834823496
1,1,medium,closed_mechanism,0.5908047673883181
1,1,medium,invariant_residual_MAP,0.05831561295635899
1,1,medium,invariant_residual_ensemble,0.0880891458016258
1,1,medium,evidence_weighted_residual_mixture,0.030885771046235248
1,1,medium,free_baseline,0.008954332795173
2,2,high,closed_mechanism,0.422500796927924
2,2,high,invariant_residual_MAP,0.0485600655321279
2,2,high,invariant_residual_ensemble,0.019444116844668156
2,2,high,evidence_weighted_residual_mixture,0.006206486986822903
2,2,high,free_baseline,0.03316994015747362
2,2,low,closed_mechanism,0.422500796927924
2,2,low,invariant_residual_MAP,0.9332390781615758
2,2,low,invariant_residual_ensemble,0.8354360073769588
2,2,low,evidence_weighted_residual_mixture,0.837753869432895
2,2,low,free_baseline,0.8942905081291441
2,2,medium,closed_mechanism,0.422500796927924
2,2,medium,invariant_residual_MAP,0.029920834651885678
2,2,medium,invariant_residual_ensemble,0.05521183956600344
2,2,medium,evidence_weighted_residual_mixture,0.05088669228000993
2,2,medium,free_baseline,0.040657512451044764
3,3,high,closed_mechanism,0.15779359148753488
3,3,high,invariant_residual_MAP,0.008581345949409815
3,3,high,invariant_residual_ensemble,0.043853852469908916
3,3,high,evidence_weighted_residual_mixture,0.04227467383639175
3,3,high,free_baseline,0.043853852469909596
3,3,low,closed_mechanism,0.15779359148753488
3,3,low,invariant_residual_MAP,0.35282504881693527
3,3,low,invariant_residual_ensemble,0.2550409011706706
3,3,low,evidence_weighted_residual_mixture,0.25735401651369383
3,3,low,free_baseline,0.2519902884003679
3,3,medium,closed_mechanism,0.15779359148753488
3,3,medium,invariant_residual_MAP,0.1499959160944474
3,3,medium,invariant_residual_ensemble,0.15153926547897478
3,3,medium,evidence_weighted_residual_mixture,0.15153670561671598
3,3,medium,free_baseline,0.34909907584490596
4,4,high,closed_mechanism,0.5350716286490291
4,4,high,invariant_residual_MAP,0.05277508412942803
4,4,high,invariant_residual_ensemble,0.05411962911275654
4,4,high,evidence_weighted_residual_mixture,0.030744162051234026
4,4,high,free_baseline,0.01053684929558084
4,4,low,closed_mechanism,0.5350716286490291
4,4,low,invariant_residual_MAP,0.10910087021175474
4,4,low,invariant_residual_ensemble,0.0385365699828835
4,4,low,evidence_weighted_residual_mixture,0.018986252606572676
4,4,low,free_baseline,0.018947319798134785
4,4,medium,closed_mechanism,0.5350716286490291
4,4,medium,invariant_residual_MAP,0.028172567060397575
4,4,medium,invariant_residual_ensemble,0.07288454302271795
4,4,medium,evidence_weighted_residual_mixture,0.020819441405848377
4,4,medium,free_baseline,0.044574358809872185
5,5,high,closed_mechanism,0.587193299441839
5,5,high,invariant_residual_MAP,0.007299424043788779
5,5,high,invariant_residual_ensemble,0.09450151289461212
5,5,high,evidence_weighted_residual_mixture,0.010754199615757363
5,5,high,free_baseline,0.01030413763349813
5,5,low,closed_mechanism,0.587193299441839
5,5,low,invariant_residual_MAP,0.054869383646902976
5,5,low,invariant_residual_ensemble,0.08344102839315595
5,5,low,evidence_weighted_residual_mixture,0.056369164651845716
5,5,low,free_baseline,0.9529022943667222
5,5,medium,closed_mechanism,0.587193299441839
5,5,medium,invariant_residual_MAP,0.05825428878040456
5,5,medium,invariant_residual_ensemble,0.0870383876544256
